celltype	category
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	Adipose
A10.165.114.830.750.Subcutaneous.Fat	Adipose
A11.329.114.Adipocytes	Adipose
Adipose_Subcutaneous	Adipose
Adipose_Visceral_(Omentum)	Adipose
A02.835.583.443.800.800.Synovial.Fluid	Blood/Immune
A10.549.400.Lymph.Nodes	Blood/Immune
A10.549.Lymphoid.Tissue	Blood/Immune
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	Blood/Immune
A11.118.637.555.567.562.B.Lymphocytes	Blood/Immune
A11.118.637.555.567.569.200.700.T.Lymphocytes..Regulatory	Blood/Immune
A11.118.637.555.567.569.T.Lymphocytes	Blood/Immune
A11.118.637.Leukocytes	Blood/Immune
A11.329.372.600.Macrophages..Alveolar	Blood/Immune
A11.443.Erythroid.Cells	Blood/Immune
A11.627.340.360.Granulocyte.Precursor.Cells	Blood/Immune
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	Blood/Immune
A11.627.635.Myeloid.Progenitor.Cells	Blood/Immune
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	Blood/Immune
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	Blood/Immune
A11.872.378.Hematopoietic.Stem.Cells	Blood/Immune
A15.145.229.188.Blood.Platelets	Blood/Immune
A15.145.229.637.555.567.562.725.Plasma.Cells	Blood/Immune
A15.145.229.637.555.567.569.200.CD4.Positive.T.Lymphocytes	Blood/Immune
A15.145.229.637.555.Leukocytes..Mononuclear	Blood/Immune
A15.145.229.Blood.Cells	Blood/Immune
A15.145.300.Fetal.Blood	Blood/Immune
A15.145.846.Serum	Blood/Immune
A15.145.Blood	Blood/Immune
A15.378.316.580.Monocytes	Blood/Immune
A15.378.316.Bone.Marrow.Cells	Blood/Immune
A15.382.490.315.583.Neutrophils	Blood/Immune
A15.382.490.555.567.537.Killer.Cells..Natural	Blood/Immune
A15.382.490.555.567.622.Lymphocytes..Null	Blood/Immune
A15.382.490.555.567.Lymphocytes	Blood/Immune
A15.382.520.604.700.Spleen	Blood/Immune
A15.382.520.604.800.Palatine.Tonsil	Blood/Immune
A15.382.680.Phagocytes	Blood/Immune
A15.382.812.260.Dendritic.Cells	Blood/Immune
A15.382.812.522.Macrophages	Blood/Immune
A15.382.812.Mononuclear.Phagocyte.System	Blood/Immune
A15.382.Immune.System	Blood/Immune
Cells_EBV-transformed_lymphocytes	Blood/Immune
Spleen	Blood/Immune
Whole_Blood	Blood/Immune
A07.231.114.Arteries	Cardiovascular
A07.231.908.670.874.Umbilical.Veins	Cardiovascular
