Structure	id
L_bankssts_grayvol	LH_GrayVol_bankssts
L_caudalanteriorcingulate_grayvol	LH_GrayVol_caudalanteriorcingulate
L_caudalmiddlefrontal_grayvol	LH_GrayVol_caudalmiddlefrontal
L_cuneus_grayvol	LH_GrayVol_cuneus
L_entorhinal_grayvol	LH_GrayVol_entorhinal
L_fusiform_grayvol	LH_GrayVol_fusiform
L_inferiorparietal_grayvol	LH_GrayVol_inferiorparietal
L_inferiortemporal_grayvol	LH_GrayVol_inferiortemporal
L_isthmuscingulate_grayvol	LH_GrayVol_isthmuscingulate
L_lateraloccipital_grayvol	LH_GrayVol_lateraloccipital
L_lateralorbitofrontal_grayvol	LH_GrayVol_lateralorbitofrontal
L_lingual_grayvol	LH_GrayVol_lingual
L_medialorbitofrontal_grayvol	LH_GrayVol_medialorbitofrontal
L_middletemporal_grayvol	LH_GrayVol_middletemporal
L_parahippocampal_grayvol	LH_GrayVol_parahippocampal
L_paracentral_grayvol	LH_GrayVol_paracentral
L_parsopercularis_grayvol	LH_GrayVol_parsopercularis
L_parsorbitalis_grayvol	LH_GrayVol_parsorbitalis
L_parstriangularis_grayvol	LH_GrayVol_parstriangularis
L_pericalcarine_grayvol	LH_GrayVol_pericalcarine
L_postcentral_grayvol	LH_GrayVol_postcentral
L_posteriorcingulate_grayvol	LH_GrayVol_posteriorcingulate
L_precentral_grayvol	LH_GrayVol_precentral
L_precuneus_grayvol	LH_GrayVol_precuneus
L_rostralanteriorcingulate_grayvol	LH_GrayVol_rostralanteriorcingulate
L_rostralmiddlefrontal_grayvol	LH_GrayVol_rostralmiddlefrontal
L_superiorfrontal_grayvol	LH_GrayVol_superiorfrontal
L_superiorparietal_grayvol	LH_GrayVol_superiorparietal
L_superiortemporal_grayvol	LH_GrayVol_superiortemporal
L_supramarginal_grayvol	LH_GrayVol_supramarginal
L_frontalpole_grayvol	LH_GrayVol_frontalpole
L_temporalpole_grayvol	LH_GrayVol_temporalpole
L_transversetemporal_grayvol	LH_GrayVol_transversetemporal
L_insula_grayvol	LH_GrayVol_insula
R_bankssts_grayvol	RH_GrayVol_bankssts
R_caudalanteriorcingulate_grayvol	RH_GrayVol_caudalanteriorcingulate
R_caudalmiddlefrontal_grayvol	RH_GrayVol_caudalmiddlefrontal
R_cuneus_grayvol	RH_GrayVol_cuneus
R_entorhinal_grayvol	RH_GrayVol_entorhinal
R_fusiform_grayvol	RH_GrayVol_fusiform
R_inferiorparietal_grayvol	RH_GrayVol_inferiorparietal
R_inferiortemporal_grayvol	RH_GrayVol_inferiortemporal
R_isthmuscingulate_grayvol	RH_GrayVol_isthmuscingulate
R_lateraloccipital_grayvol	RH_GrayVol_lateraloccipital
R_lateralorbitofrontal_grayvol	RH_GrayVol_lateralorbitofrontal
R_lingual_grayvol	RH_GrayVol_lingual
R_medialorbitofrontal_grayvol	RH_GrayVol_medialorbitofrontal
R_middletemporal_grayvol	RH_GrayVol_middletemporal
R_parahippocampal_grayvol	RH_GrayVol_parahippocampal
R_paracentral_grayvol	RH_GrayVol_paracentral
R_parsopercularis_grayvol	RH_GrayVol_parsopercularis
R_parsorbitalis_grayvol	RH_GrayVol_parsorbitalis
R_parstriangularis_grayvol	RH_GrayVol_parstriangularis
R_pericalcarine_grayvol	RH_GrayVol_pericalcarine
R_postcentral_grayvol	RH_GrayVol_postcentral
R_posteriorcingulate_grayvol	RH_GrayVol_posteriorcingulate
R_precentral_grayvol	RH_GrayVol_precentral
R_precuneus_grayvol	RH_GrayVol_precuneus
R_rostralanteriorcingulate_grayvol	RH_GrayVol_rostralanteriorcingulate
R_rostralmiddlefrontal_grayvol	RH_GrayVol_rostralmiddlefrontal
R_superiorfrontal_grayvol	RH_GrayVol_superiorfrontal
R_superiorparietal_grayvol	RH_GrayVol_superiorparietal
R_superiortemporal_grayvol	RH_GrayVol_superiortemporal
R_supramarginal_grayvol	RH_GrayVol_supramarginal
R_frontalpole_grayvol	RH_GrayVol_frontalpole
R_temporalpole_grayvol	RH_GrayVol_temporalpole
R_transversetemporal_grayvol	RH_GrayVol_transversetemporal
R_insula_grayvol	RH_GrayVol_insula
