Structure	id
L_bankssts_surfarea	LH_SurfArea_bankssts
L_caudalanteriorcingulate_surfarea	LH_SurfArea_caudalanteriorcingulate
L_caudalmiddlefrontal_surfarea	LH_SurfArea_caudalmiddlefrontal
L_cuneus_surfarea	LH_SurfArea_cuneus
L_entorhinal_surfarea	LH_SurfArea_entorhinal
L_fusiform_surfarea	LH_SurfArea_fusiform
L_inferiorparietal_surfarea	LH_SurfArea_inferiorparietal
L_inferiortemporal_surfarea	LH_SurfArea_inferiortemporal
L_isthmuscingulate_surfarea	LH_SurfArea_isthmuscingulate
L_lateraloccipital_surfarea	LH_SurfArea_lateraloccipital
L_lateralorbitofrontal_surfarea	LH_SurfArea_lateralorbitofrontal
L_lingual_surfarea	LH_SurfArea_lingual
L_medialorbitofrontal_surfarea	LH_SurfArea_medialorbitofrontal
L_middletemporal_surfarea	LH_SurfArea_middletemporal
L_parahippocampal_surfarea	LH_SurfArea_parahippocampal
L_paracentral_surfarea	LH_SurfArea_paracentral
L_parsopercularis_surfarea	LH_SurfArea_parsopercularis
L_parsorbitalis_surfarea	LH_SurfArea_parsorbitalis
L_parstriangularis_surfarea	LH_SurfArea_parstriangularis
L_pericalcarine_surfarea	LH_SurfArea_pericalcarine
L_postcentral_surfarea	LH_SurfArea_postcentral
L_posteriorcingulate_surfarea	LH_SurfArea_posteriorcingulate
L_precentral_surfarea	LH_SurfArea_precentral
L_precuneus_surfarea	LH_SurfArea_precuneus
L_rostralanteriorcingulate_surfarea	LH_SurfArea_rostralanteriorcingulate
L_rostralmiddlefrontal_surfarea	LH_SurfArea_rostralmiddlefrontal
L_superiorfrontal_surfarea	LH_SurfArea_superiorfrontal
L_superiorparietal_surfarea	LH_SurfArea_superiorparietal
L_superiortemporal_surfarea	LH_SurfArea_superiortemporal
L_supramarginal_surfarea	LH_SurfArea_supramarginal
L_frontalpole_surfarea	LH_SurfArea_frontalpole
L_temporalpole_surfarea	LH_SurfArea_temporalpole
L_transversetemporal_surfarea	LH_SurfArea_transversetemporal
L_insula_surfarea	LH_SurfArea_insula
R_bankssts_surfarea	RH_SurfArea_bankssts
R_caudalanteriorcingulate_surfarea	RH_SurfArea_caudalanteriorcingulate
R_caudalmiddlefrontal_surfarea	RH_SurfArea_caudalmiddlefrontal
R_cuneus_surfarea	RH_SurfArea_cuneus
R_entorhinal_surfarea	RH_SurfArea_entorhinal
R_fusiform_surfarea	RH_SurfArea_fusiform
R_inferiorparietal_surfarea	RH_SurfArea_inferiorparietal
R_inferiortemporal_surfarea	RH_SurfArea_inferiortemporal
R_isthmuscingulate_surfarea	RH_SurfArea_isthmuscingulate
R_lateraloccipital_surfarea	RH_SurfArea_lateraloccipital
R_lateralorbitofrontal_surfarea	RH_SurfArea_lateralorbitofrontal
R_lingual_surfarea	RH_SurfArea_lingual
R_medialorbitofrontal_surfarea	RH_SurfArea_medialorbitofrontal
R_middletemporal_surfarea	RH_SurfArea_middletemporal
R_parahippocampal_surfarea	RH_SurfArea_parahippocampal
R_paracentral_surfarea	RH_SurfArea_paracentral
R_parsopercularis_surfarea	RH_SurfArea_parsopercularis
R_parsorbitalis_surfarea	RH_SurfArea_parsorbitalis
R_parstriangularis_surfarea	RH_SurfArea_parstriangularis
R_pericalcarine_surfarea	RH_SurfArea_pericalcarine
R_postcentral_surfarea	RH_SurfArea_postcentral
R_posteriorcingulate_surfarea	RH_SurfArea_posteriorcingulate
R_precentral_surfarea	RH_SurfArea_precentral
R_precuneus_surfarea	RH_SurfArea_precuneus
R_rostralanteriorcingulate_surfarea	RH_SurfArea_rostralanteriorcingulate
R_rostralmiddlefrontal_surfarea	RH_SurfArea_rostralmiddlefrontal
R_superiorfrontal_surfarea	RH_SurfArea_superiorfrontal
R_superiorparietal_surfarea	RH_SurfArea_superiorparietal
R_superiortemporal_surfarea	RH_SurfArea_superiortemporal
R_supramarginal_surfarea	RH_SurfArea_supramarginal
R_frontalpole_surfarea	RH_SurfArea_frontalpole
R_temporalpole_surfarea	RH_SurfArea_temporalpole
R_transversetemporal_surfarea	RH_SurfArea_transversetemporal
R_insula_surfarea	RH_SurfArea_insula
