Structure	id
L_bankssts_thickavg	LH_ThickAvg_bankssts
L_caudalanteriorcingulate_thickavg	LH_ThickAvg_caudalanteriorcingulate
L_caudalmiddlefrontal_thickavg	LH_ThickAvg_caudalmiddlefrontal
L_cuneus_thickavg	LH_ThickAvg_cuneus
L_entorhinal_thickavg	LH_ThickAvg_entorhinal
L_fusiform_thickavg	LH_ThickAvg_fusiform
L_inferiorparietal_thickavg	LH_ThickAvg_inferiorparietal
L_inferiortemporal_thickavg	LH_ThickAvg_inferiortemporal
L_isthmuscingulate_thickavg	LH_ThickAvg_isthmuscingulate
L_lateraloccipital_thickavg	LH_ThickAvg_lateraloccipital
L_lateralorbitofrontal_thickavg	LH_ThickAvg_lateralorbitofrontal
L_lingual_thickavg	LH_ThickAvg_lingual
L_medialorbitofrontal_thickavg	LH_ThickAvg_medialorbitofrontal
L_middletemporal_thickavg	LH_ThickAvg_middletemporal
L_parahippocampal_thickavg	LH_ThickAvg_parahippocampal
L_paracentral_thickavg	LH_ThickAvg_paracentral
L_parsopercularis_thickavg	LH_ThickAvg_parsopercularis
L_parsorbitalis_thickavg	LH_ThickAvg_parsorbitalis
L_parstriangularis_thickavg	LH_ThickAvg_parstriangularis
L_pericalcarine_thickavg	LH_ThickAvg_pericalcarine
L_postcentral_thickavg	LH_ThickAvg_postcentral
L_posteriorcingulate_thickavg	LH_ThickAvg_posteriorcingulate
L_precentral_thickavg	LH_ThickAvg_precentral
L_precuneus_thickavg	LH_ThickAvg_precuneus
L_rostralanteriorcingulate_thickavg	LH_ThickAvg_rostralanteriorcingulate
L_rostralmiddlefrontal_thickavg	LH_ThickAvg_rostralmiddlefrontal
L_superiorfrontal_thickavg	LH_ThickAvg_superiorfrontal
L_superiorparietal_thickavg	LH_ThickAvg_superiorparietal
L_superiortemporal_thickavg	LH_ThickAvg_superiortemporal
L_supramarginal_thickavg	LH_ThickAvg_supramarginal
L_frontalpole_thickavg	LH_ThickAvg_frontalpole
L_temporalpole_thickavg	LH_ThickAvg_temporalpole
L_transversetemporal_thickavg	LH_ThickAvg_transversetemporal
L_insula_thickavg	LH_ThickAvg_insula
R_bankssts_thickavg	RH_ThickAvg_bankssts
R_caudalanteriorcingulate_thickavg	RH_ThickAvg_caudalanteriorcingulate
R_caudalmiddlefrontal_thickavg	RH_ThickAvg_caudalmiddlefrontal
R_cuneus_thickavg	RH_ThickAvg_cuneus
R_entorhinal_thickavg	RH_ThickAvg_entorhinal
R_fusiform_thickavg	RH_ThickAvg_fusiform
R_inferiorparietal_thickavg	RH_ThickAvg_inferiorparietal
R_inferiortemporal_thickavg	RH_ThickAvg_inferiortemporal
R_isthmuscingulate_thickavg	RH_ThickAvg_isthmuscingulate
R_lateraloccipital_thickavg	RH_ThickAvg_lateraloccipital
R_lateralorbitofrontal_thickavg	RH_ThickAvg_lateralorbitofrontal
R_lingual_thickavg	RH_ThickAvg_lingual
R_medialorbitofrontal_thickavg	RH_ThickAvg_medialorbitofrontal
R_middletemporal_thickavg	RH_ThickAvg_middletemporal
R_parahippocampal_thickavg	RH_ThickAvg_parahippocampal
R_paracentral_thickavg	RH_ThickAvg_paracentral
R_parsopercularis_thickavg	RH_ThickAvg_parsopercularis
R_parsorbitalis_thickavg	RH_ThickAvg_parsorbitalis
R_parstriangularis_thickavg	RH_ThickAvg_parstriangularis
R_pericalcarine_thickavg	RH_ThickAvg_pericalcarine
R_postcentral_thickavg	RH_ThickAvg_postcentral
R_posteriorcingulate_thickavg	RH_ThickAvg_posteriorcingulate
R_precentral_thickavg	RH_ThickAvg_precentral
R_precuneus_thickavg	RH_ThickAvg_precuneus
R_rostralanteriorcingulate_thickavg	RH_ThickAvg_rostralanteriorcingulate
R_rostralmiddlefrontal_thickavg	RH_ThickAvg_rostralmiddlefrontal
R_superiorfrontal_thickavg	RH_ThickAvg_superiorfrontal
R_superiorparietal_thickavg	RH_ThickAvg_superiorparietal
R_superiortemporal_thickavg	RH_ThickAvg_superiortemporal
R_supramarginal_thickavg	RH_ThickAvg_supramarginal
R_frontalpole_thickavg	RH_ThickAvg_frontalpole
R_temporalpole_thickavg	RH_ThickAvg_temporalpole
R_transversetemporal_thickavg	RH_ThickAvg_transversetemporal
R_insula_thickavg	RH_ThickAvg_insula
