id	rho	pval	n
LH_SurfArea_bankssts	-0.0841261623968607	8.8896436940508e-52	32278
LH_SurfArea_caudalanteriorcingulate	-0.040428009521745	3.71476739737746e-13	32278
LH_SurfArea_caudalmiddlefrontal	-0.0517167544958717	1.44792394189154e-20	32278
LH_SurfArea_cuneus	-0.105582922517991	1.15634545036979e-80	32278
LH_SurfArea_entorhinal	-0.00774136948943884	0.164316004960844	32278
LH_SurfArea_fusiform	-0.156778404712423	1.12742841836066e-176	32278
LH_SurfArea_inferiorparietal	-0.0756458997670714	3.55342457967651e-42	32278
LH_SurfArea_inferiortemporal	-0.168641407848417	1.70033507611334e-204	32278
LH_SurfArea_isthmuscingulate	0.020732600193134	0.000195423164871308	32278
LH_SurfArea_lateraloccipital	-0.136550949215063	4.07207254793486e-134	32278
LH_SurfArea_lateralorbitofrontal	-0.185245200798418	4.77640866633675e-247	32278
LH_SurfArea_lingual	-0.106455472812811	5.60087462862402e-82	32278
LH_SurfArea_medialorbitofrontal	-0.0709470480151902	2.70004586698577e-37	32278
LH_SurfArea_middletemporal	-0.166262230211315	9.58404536217596e-199	32278
LH_SurfArea_parahippocampal	-0.145387787370487	5.87224575416935e-152	32278
LH_SurfArea_paracentral	0.0244043647722367	1.16135608875685e-05	32278
LH_SurfArea_parsopercularis	-0.0968491622317555	4.1547870236521e-68	32278
LH_SurfArea_parsorbitalis	-0.142306339406266	1.32390149234694e-145	32278
LH_SurfArea_parstriangularis	-0.0987071214602399	1.09545431702408e-70	32278
LH_SurfArea_pericalcarine	-0.0511947755513176	3.48734113113452e-20	32278
LH_SurfArea_postcentral	-0.0298707264477584	7.99437533188147e-08	32278
LH_SurfArea_posteriorcingulate	-0.078076851268013	7.99338088257784e-45	32278
LH_SurfArea_precentral	0.0029312439462826	0.598486873776472	32278
LH_SurfArea_precuneus	-0.0925087244502513	2.81913183026275e-62	32278
LH_SurfArea_rostralanteriorcingulate	-0.0268397676524362	1.41814808583239e-06	32278
LH_SurfArea_rostralmiddlefrontal	-0.116215404283182	1.94605295298649e-97	32278
LH_SurfArea_superiorfrontal	-0.0765964508155633	3.35154818299689e-43	32278
LH_SurfArea_superiorparietal	-0.0700993188709096	1.89946137214297e-36	32278
