varName	description	ntotal	top_rhoAbs	top_pvalue	top_fdr	NA	gap_gm_beta	gap_gm_se	gap_gm_rho	gap_gm_pvalue	gap_gm_fdr	NA.1	gap_wm_beta	gap_wm_se	gap_wm_rho	gap_wm_pvalue	gap_wm_fdr	NA.2	gap_gwm_beta	gap_gwm_se	gap_gwm_rho	gap_gwm_pvalue	gap_gwm_fdr	NA.3	n	varType	resType	custom_category	Path
2443	Diabetes diagnosed by doctor	32597	0.0860555575855351	7.94742602370385e-55	5.63313556560129e-51		0.161189862525805	0.010337269626146	0.0860555575855351	7.94742602370385e-55	5.63313556560129e-51		0.110273452643993	0.0101777091933874	0.0599090482302025	2.3370312461346e-27	3.59147309186947e-24		0.152110921950098	0.0106623044531293	0.0787801993392821	3.49426049757509e-46	1.23836592034061e-42		31795/802(32597)	CAT-SIN	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
4079	Diastolic blood pressure, automated reading	30771	0.0856228399211236	2.38158853467188e-51	8.44034976687714e-48		0.0240983877780137	0.00159571334040023	0.0856228399211236	2.38158853467188e-51	8.44034976687714e-48		0.0192281613170843	0.00161115563099877	0.0678039143097541	9.20164874562365e-33	6.52212863089804e-29		0.0247968061248033	0.00167833764486795	0.0837867354504052	3.12385832436131e-49	2.2141907803073e-45		30771	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
6150#100	Vascular/heart problems diagnosed by doctor	32602	0.0826554446712138	1.06853632656719e-50	2.52459516090275e-47		-0.0602080325308883	0.0040207652237543	-0.0826554446712138	1.06853632656719e-50	2.52459516090275e-47		-0.0343901504487886	0.00399636401118004	-0.0476091058168157	7.57820346650088e-18	3.15966506885637e-15		-0.0523278820832661	0.00418396816318888	-0.0691065057217216	6.80089554007441e-36	8.0341245980079e-33		6906/25696(32602)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#4	Vascular/heart problems diagnosed by doctor: High blood pressure	32602	0.0817022292978949	1.43881284410937e-49	2.5495763597618e-46		0.0609116153029787	0.0041155660180653	0.0817022292978949	1.43881284410937e-49	2.5495763597618e-46		0.0358958239992397	0.00409288819015376	0.0485197710398424	1.77396893115919e-18	1.07983747546474e-15		0.053593526473626	0.00428359316169229	0.0691322101122645	6.41223816137604e-36	8.0341245980079e-33		26221/6381(32602)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
20015	Sitting height	32490	0.0806054770300456	3.98617242714218e-48	5.65079803271675e-45		-0.0172334340326378	0.0011804092237672	-0.0806054770300456	3.98617242714218e-48	5.65079803271675e-45		-0.0132423299923577	0.00119254515109029	-0.0614339304166776	1.34047709138111e-28	3.16710054123644e-25		-0.0173874030793924	0.00124191422003839	-0.0773283088700124	2.06937229827889e-44	4.88923695006692e-41		32490	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20116-0	Smoking status	32574	0.0787211437011196	4.38160556318528e-46	5.17613670530954e-43		-999	-999	-0.0787211437011196	4.38160556318528e-46	5.17613670530954e-43		-999	-999	-0.057765651417923	1.58048742179299e-25	1.86708247427812e-22		-999	-999	-0.0749509026862692	6.45088288271887e-42	1.14309644681778e-38		20009/32574	CAT-SIN	MULTINOMIAL-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20003#1140884600	Treatment/medication code: metformin	32633	0.0702188755735867	4.83373334547598e-37	4.89450027896196e-34		0.183545764229574	0.0144362225244123	0.0702188755735867	4.83373334547598e-37	4.89450027896196e-34		0.124280355867274	0.0141796429665055	0.0484695007135884	1.853578999384e-18	1.07983747546474e-15		0.172029275994249	0.0148477929282548	0.0640209177691963	4.71063458144446e-31	3.7098864348087e-28		32234/399(32633)	CAT-MUL	LOGISTIC-BINARY	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
1558	Alcohol intake frequency.	32629	0.068842463417459	1.16530273035869e-35	1.17995225039748e-32		-0.0317586446054647	0.00263000776822027	-0.0611667591934324	1.76884818705447e-28	8.35839729989472e-26		-0.0331457733398615	0.00270225194391676	-0.0631753800273788	2.82206576490339e-30	1.00014010708176e-26		-0.0376724072040445	0.0028331440659268	-0.068842463417459	1.16530273035869e-35	1.17995225039748e-32		32629	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
12336	Ventricular rate	28261	0.0732163585569548	5.44107581724926e-35	4.82079317408284e-32		0.0203046381666796	0.00169574732036497	0.0709617645667281	5.81790008669612e-33	4.58191953494468e-30		0.0185865595297211	0.00171478883600505	0.0642798572135908	2.53348835487406e-27	3.59147309186947e-24		0.0220517063810728	0.00178450475446684	0.0732163585569548	5.44107581724926e-35	4.82079317408284e-32		28261	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
20416	Frequency of consuming six or more units of alcohol	21300	0.0816770429168494	5.77203759742673e-33	4.58191953494468e-30		0.0448749689520036	0.00343554164925633	0.0816770429168494	5.77203759742673e-33	4.58191953494468e-30		0.0313802701699169	0.00354121687771544	0.0566595104297455	1.21022126425287e-16	3.72958622653232e-14		0.0438728990710076	0.0037128117342211	0.0758021695034442	1.33608621991516e-28	8.60925375159878e-26		21300	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
20403	Amount of alcohol drunk on a typical drinking day	21270	0.0800688852393486	1.07424152533463e-31	7.61422393157186e-29		0.0443056368167472	0.0034626162790861	0.0800688852393486	1.07424152533463e-31	7.61422393157186e-29		0.0328780383918608	0.00355800878562962	0.0590292861281452	6.48790522206304e-18	2.87414201337393e-15		0.0442269575629774	0.00373462598689354	0.075953952911328	1.13582153503027e-28	8.05070304029455e-26		21270	CAT-SIN	ORDERED-LOGISTIC	Mental health	Online follow-up > Mental health > Alcohol use
6177#2	Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	15417	0.0927002224677676	6.63475329128772e-31	4.27519375714976e-28		0.0717300821872837	0.00620597175556257	0.0927002224677676	6.63475329128772e-31	4.27519375714976e-28		0.03649866436456	0.00609559842596085	0.0481749254245721	2.12156912642562e-09	3.19950680172442e-07		0.0584537137398792	0.00642112671915924	0.073130849733963	8.69877906038592e-20	1.98893374129082e-17		12769/2648(15417)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
