varName	description	ntotal	top_rhoAbs	top_pvalue	top_fdr	NA	gap_gm_beta	gap_gm_se	gap_gm_rho	gap_gm_pvalue	gap_gm_fdr	NA.1	gap_wm_beta	gap_wm_se	gap_wm_rho	gap_wm_pvalue	gap_wm_fdr	NA.2	gap_gwm_beta	gap_gwm_se	gap_gwm_rho	gap_gwm_pvalue	gap_gwm_fdr	NA.3	n	varType	resType	custom_category	Path
20015	Sitting height	17006	0.0863836222789252	1.2166500695222e-29	6.49326142103998e-26		-0.024323791680418	0.00214736238890138	-0.0863836222789252	1.2166500695222e-29	6.49326142103998e-26		-0.0192260247449632	0.00217994670384357	-0.0674074292974843	1.2522926635534e-18	3.34174297269225e-15		-0.0247379312255182	0.00226212571928183	-0.0834290332847762	9.54385897471332e-28	2.54677876740225e-24		17006	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
4079	Diastolic blood pressure, automated reading	16091	0.0879715400505511	3.98841129604092e-29	1.06430755434852e-25		0.0258984140644491	0.00230758498864114	0.0879715400505511	3.98841129604092e-29	1.06430755434852e-25		0.0211818261578312	0.00233957228021309	0.0711107498095449	1.52776018894524e-19	8.15365612840075e-16		0.0269430650487246	0.00242979739883273	0.0869288059339199	1.79041926438932e-28	9.5554676140458e-25		16091	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
2443	Diabetes diagnosed by doctor	17068	0.0740361837780349	3.06039805533564e-22	5.4444481404421e-19		0.165051794089163	0.0170212201220837	0.0740361837780349	3.06039805533564e-22	5.4444481404421e-19		0.100003169212679	0.0170977154873751	0.0447308909400797	4.93468701572897e-09	1.25411545728312e-06		0.147344383453887	0.0176279781448461	0.0638613259263827	6.28727620160945e-17	4.1943991359987e-14		16767/301(17068)	CAT-SIN	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6153#100	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	16958	0.0723723391941759	3.42878992857642e-21	4.57486296220309e-18		-0.051098039105125	0.00540824664606143	-0.0723723391941759	3.42878992857642e-21	4.57486296220309e-18		-0.035677029720994	0.00543674774386153	-0.0503343510277463	5.2871690910819e-11	2.35146845325868e-08		-0.0485794152681956	0.00565838605350055	-0.0657935952802997	9.0104424553182e-18	6.8698187691476e-15		4053/12905(16958)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
20116-0	Smoking status	17050	0.0714512827798569	8.50704820507322e-21	9.08042325409516e-18		-999	-999	-0.0714512827798569	8.50704820507322e-21	9.08042325409516e-18		-999	-999	-0.0539967463579685	1.65848213882999e-12	2.05428165322423e-09		-999	-999	-0.0687780925042497	2.22587400468747e-19	3.95982985433901e-16		11047/17050	CAT-SIN	MULTINOMIAL-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2734	Number of live births	17071	0.0699478313633885	5.14140314950247e-20	4.57327810148245e-17		-0.0383006979113853	0.00383444129295169	-0.0699478313633885	5.14140314950247e-20	4.57327810148245e-17		-0.0261111431757815	0.00395621526595668	-0.0472744017092399	6.2800172915314e-10	1.971556016759e-07		-0.0365254783237355	0.00412290915857172	-0.0634698409488261	9.65240995657709e-17	5.72387910425021e-14		17071	INTEGER	ORDERED-LOGISTIC	Maternity and sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
6150#100	Vascular/heart problems diagnosed by doctor	17067	0.068545126260398	2.8239982999474e-19	2.15309698954561e-16		-0.0552952360448216	0.00616117243785659	-0.068545126260398	2.8239982999474e-19	2.15309698954561e-16		-0.042306557692003	0.0061677743472458	-0.0524394050809248	6.89768295607884e-12	4.6016167420741e-09		-0.0552077982722918	0.0064236581151251	-0.0656532610154904	8.32422484100774e-18	6.8698187691476e-15		2889/14178(17067)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#4	Vascular/heart problems diagnosed by doctor: High blood pressure	17067	0.0681061201848119	4.76425344985724e-19	3.17835258273601e-16		0.0559881263728855	0.00627877931347695	0.0681061201848119	4.76425344985724e-19	3.17835258273601e-16		0.0437703430723486	0.00628656861111748	0.0532263730345024	3.33113734079313e-12	2.96304666463549e-09		0.0564080524995368	0.00654606973379222	0.0658254774358375	6.83273536019758e-18	6.8698187691476e-15		14327/2740(17067)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
1558	Alcohol intake frequency.	17081	0.0676467408739264	7.94258909477458e-19	1.0597399499703e-15		-0.0318447940931165	0.0037302485756386	-0.0603283740338988	2.82281057004536e-15	1.25544500102767e-12		-0.0333284465796564	0.00385668845033623	-0.0621396092938542	4.06729844896245e-16	7.2357239407042e-13		-0.0376952011520094	0.00401436531331638	-0.0676467408739264	7.94258909477458e-19	1.0597399499703e-15		17081	CAT-SIN	ORDERED-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
6153#2	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication	16958	0.0643085966159632	4.80686382232729e-17	2.85047024664008e-14		0.0643014846076548	0.00766341196220205	0.0643085966159632	4.80686382232729e-17	2.85047024664008e-14		0.0412505223879131	0.00760764989104129	0.0416078561933183	5.87148294720805e-08	1.11914658890176e-05		0.0586148849631824	0.00793982602646849	0.0566072877960427	1.54799130664263e-13	5.16351850221982e-11		15215/1743(16958)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
