id	structure	category	n	top_pval	top_fdr	top_rhoabs	NA	gap_gm_rho	gap_gm_pval	gap_gm_fdr	NA.1	gap_wm_rho	gap_wm_pval	gap_wm_fdr	NA.2	gap_gwm_rho	gap_gwm_pval	gap_gwm_fdr
Left.Accumbens.area	Accumbens area (left)	subcortical volume	16961	1e-307	5.5e-306	0.333929286027451		-0.288898350751956	1e-307	1.1e-305		-0.320329764225281	1e-307	2.2e-305		-0.333929286027451	1e-307	5.5e-306
Right.Lateral.Ventricle	Lateral ventricle (right)	subcortical volume	16961	1e-307	5.5e-306	0.308473140132229		0.289834012761877	1e-307	1.1e-305		0.278928613386864	1.44327641782943e-300	1.58760405961237e-298		0.308473140132229	1e-307	5.5e-306
Left.Lateral.Ventricle	Lateral ventricle (left)	subcortical volume	16961	1e-307	5.5e-306	0.297097199234576		0.276925769494627	4.01941159872276e-296	2.94756850573002e-294		0.271132783828126	1.78174945336552e-283	1.30661626580138e-281		0.297097199234576	1e-307	5.5e-306
Right.Accumbens.area	Accumbens area (right)	subcortical volume	16961	1e-307	5.5e-306	0.283687264384273		-0.260935896936221	5.79807460703275e-262	3.18894103386801e-260		-0.26077839063884	1.22505704940299e-261	6.73781377171644e-260		-0.283687264384273	1e-307	5.5e-306
Left.Amygdala	Amygdala (left)	subcortical volume	16961	1.49387420596517e-249	6.57304650624675e-248	0.254839564511657		-0.254839564511657	1.49387420596517e-249	6.57304650624675e-248		-0.213849999148612	1.32736011928279e-174	4.8669871040369e-173		-0.253715435444707	2.66914568516434e-247	1.17442410147231e-245
Right.Hippocampus	Hippocampus (right)	subcortical volume	16961	2.97386687511001e-230	1.090417854207e-228	0.245016299413094		-0.245016299413094	2.97386687511001e-230	1.090417854207e-228		-0.17417378177388	1.35550798195106e-115	3.72764695036542e-114		-0.225293014627619	4.5977184431767e-194	1.44499722499839e-192
Left.Hippocampus	Hippocampus (left)	subcortical volume	16961	3.59464569861605e-219	1.12974579099362e-217	0.239169092522027		-0.239169092522027	3.59464569861605e-219	1.12974579099362e-217		-0.173756694941812	4.83129506988609e-115	1.18098323930549e-113		-0.222096262405283	1.62694922499657e-188	4.47411036874057e-187
Left.Thalamus.Proper	Thalamus proper (left)	subcortical volume	16961	1.88969025418382e-200	8.31463711840881e-199	0.228911218544819		-0.188754018694176	8.94987051323429e-136	2.18774612545727e-134		-0.228911218544819	1.88969025418382e-200	8.31463711840881e-199		-0.22860428429022	6.64514542194187e-200	2.43655332137869e-198
Right.Amygdala	Amygdala (right)	subcortical volume	16961	1.00824986229367e-162	2.77268712130759e-161	0.206521828539681		-0.206521828539681	1.00824986229367e-162	2.77268712130759e-161		-0.166241173029542	2.45766708404069e-105	5.40686758488952e-104		-0.200265383216893	6.17934273884535e-153	1.51050600282886e-151
Right.Thalamus.Proper	Thalamus proper (right)	subcortical volume	16961	1.50501182072757e-139	4.73003715085808e-138	0.191349671699697		-0.140502502646744	1.71716947312373e-75	8.03781455504725e-75		-0.191349671699697	1.50501182072757e-139	4.73003715085808e-138		-0.182275519462309	1.35443301588609e-126	2.9797526349494e-125
