varName	description	ntotal	top_rhoAbs	top_pvalue	top_fdr	NA	gap_gm_beta	gap_gm_se	gap_gm_rho	gap_gm_pvalue	gap_gm_fdr	NA.1	gap_wm_beta	gap_wm_se	gap_wm_rho	gap_wm_pvalue	gap_wm_fdr	NA.2	gap_gwm_beta	gap_gwm_se	gap_gwm_rho	gap_gwm_pvalue	gap_gwm_fdr	NA.3	n	varType	resType	custom_category	Path
2443	Diabetes diagnosed by doctor	15529	0.0966591097469627	1.04203355322256e-33	5.15702405489845e-30		0.157332860574763	0.013003623580917	0.0966591097469627	1.04203355322256e-33	5.15702405489845e-30		0.114155945220706	0.0127001591112835	0.0719575392922541	2.47805070484467e-19	1.22638729382763e-15		0.153068313863293	0.0134130594621657	0.0912154676401668	3.57194811967759e-30	1.76775712442844e-26		15028/501(15529)	CAT-SIN	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#100	Vascular/heart problems diagnosed by doctor	15535	0.0961346356236014	2.26646701175617e-33	5.60837262059064e-30		-0.0639771159059918	0.00531533350860484	-0.0961346356236014	2.26646701175617e-33	5.60837262059064e-30		-0.0288334641258764	0.00525463647096345	-0.0439882891517919	4.07347611622688e-08	5.99841893099425e-06		-0.0504053101007306	0.00552109567834751	-0.0730619873417405	6.83581294786759e-20	3.75893758655519e-17		4017/11518(15535)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#4	Vascular/heart problems diagnosed by doctor: High blood pressure	15535	0.0952059974378819	9.33247353600358e-33	1.53954705098939e-29		0.0650648565609728	0.0054589315327646	0.0952059974378819	9.33247353600358e-33	1.53954705098939e-29		0.0308073413823571	0.00540047621197424	0.0457268772596595	1.16360271557672e-08	2.05666779978185e-06		0.0521681951726237	0.00567272487125726	0.0735932897918063	3.68157764245071e-20	2.60287539321265e-17		11894/3641(15535)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6177#2	Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	15417	0.0927002224677671	6.63475329129238e-31	8.2088485096515e-28		0.0717300821872835	0.00620597175556257	0.0927002224677671	6.63475329129238e-31	8.2088485096515e-28		0.0364986643645601	0.00609559842596087	0.0481749254245722	2.12156912642558e-09	4.77256618485463e-07		0.0584537137398793	0.00642112671915996	0.0731308497339634	8.69877906038179e-20	4.30502575698295e-17		12769/2648(15417)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
6177#100	Medication for cholesterol, blood pressure or diabetes	15417	0.0883284873889003	3.43348982402928e-28	3.39846822782418e-25		-0.0606754748226825	0.00551150434768611	-0.0883284873889003	3.43348982402928e-28	3.39846822782418e-25		-0.0291191393239289	0.00543682561801609	-0.0431013052435899	8.49372397090504e-08	1.10619578768445e-05		-0.0486853159339857	0.0057180273756008	-0.0684214992360799	1.66628063222573e-17	4.85083696993243e-15		3769/11648(15417)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
137	Number of treatments/medications taken	15530	0.0865312947869527	2.66747264374213e-27	2.2002203523133e-24		0.0442221546730371	0.00385951338982334	0.0865312947869527	2.66747264374213e-27	2.2002203523133e-24		0.0245839066743437	0.00392638465139581	0.0481651437814435	1.86786496799407e-09	4.40193510790602e-07		0.0379622666757968	0.00410898999985169	0.0710457106106176	6.95992266140514e-19	2.8703881042745e-16		15530	INTEGER	ORDERED-LOGISTIC	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
20116-0	Smoking status	15524	0.0838915940688662	9.72526239760625e-26	6.87576051510762e-23		-999	-999	-0.0838915940688662	9.72526239760625e-26	6.87576051510762e-23		-999	-999	-0.0582476353908575	3.61465526078658e-13	1.78889288856328e-10		-999	-999	-0.0784397952483552	1.09498880848171e-22	1.354774903294e-19		8962/15524	CAT-SIN	MULTINOMIAL-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
4079	Diastolic blood pressure, automated reading	14680	0.0851717556989615	3.91300465086538e-25	2.4206825021416e-22		0.0239965978091052	0.00231299093852931	0.0851717556989615	3.91300465086538e-25	2.4206825021416e-22		0.0189159454141883	0.0023285049854028	0.0668322841695006	4.8553861874631e-16	8.00976874725163e-13		0.0245215489849002	0.00243154398156675	0.0828162963961298	7.65095017719891e-24	1.26215174756525e-20		14680	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
20003#1140884600	Treatment/medication code: metformin	15549	0.0821636105848163	8.71417618070708e-25	4.79182865759104e-22		0.18294937683136	0.0178020329377955	0.0821636105848163	8.71417618070708e-25	4.79182865759104e-22		0.128046955105789	0.0173854433539917	0.0589759350378856	1.75310112960956e-13	1.15135202612713e-10		0.174584808681587	0.0183209395924503	0.0762203936070089	1.55077926852303e-21	1.5349613199841e-18		15290/259(15549)	CAT-MUL	LOGISTIC-BINARY	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
20529-0	Victim of physically violent crime	10509	0.0979732378118304	6.04487894812173e-24	2.99161059142544e-21		-999	-999	-0.0979732378118304	6.04487894812173e-24	2.99161059142544e-21		-999	-999	-0.00376107676507894	0.6998471138258	0.95228099111975		-999	-999	-0.00432526694426475	0.657505484362547	0.923113579419876		7954/10509	CAT-SIN	MULTINOMIAL-LOGISTIC	Mental health	Online follow-up > Mental health > Traumatic events
