id	structure	category	n	top_pval	top_fdr	top_rhoabs	NA	gap_gm_rho	gap_gm_pval	gap_gm_fdr	NA.1	gap_wm_rho	gap_wm_pval	gap_wm_fdr	NA.2	gap_gwm_rho	gap_gwm_pval	gap_gwm_fdr
Left.Accumbens.area	Accumbens area (left)	subcortical volume	15317	2.90169166495986e-301	6.38372166291169e-299	0.293221200840808		-0.257524324415096	1.85652206918029e-230	2.04217427609832e-228		-0.275050821163154	6.87150892131615e-264	1.51173196268955e-261		-0.293221200840808	2.90169166495986e-301	6.38372166291169e-299
Right.Lateral.Ventricle	Lateral ventricle (right)	subcortical volume	15317	6.61135990681485e-298	7.27249589749633e-296	0.291643145806926		0.263081459290984	8.7535131286416e-241	1.92577288830115e-238		0.273806609853231	1.96889595362963e-261	2.16578554899259e-259		0.291643145806926	6.61135990681485e-298	7.27249589749633e-296
Left.Lateral.Ventricle	Lateral ventricle (left)	subcortical volume	15317	5.71671052971907e-272	4.19225438846065e-270	0.279096754795767		0.252638521659978	1.38141885628159e-221	1.0130404946065e-219		0.263054224834274	9.84932036168212e-241	7.22283493190022e-239		0.279096754795767	5.71671052971907e-272	4.19225438846065e-270
Right.Accumbens.area	Accumbens area (right)	subcortical volume	15317	2.1945713737678e-216	1.20701425557229e-214	0.249723658511577		-0.227213787341212	1.70317853763844e-178	5.35284683257795e-177		-0.229475688283382	4.0166330090881e-182	2.20914815499845e-180		-0.249723658511577	2.1945713737678e-216	1.20701425557229e-214
Left.Amygdala	Amygdala (left)	subcortical volume	15317	3.27888222578003e-207	1.80338522417902e-205	0.244486029463789		-0.244486029463789	3.27888222578003e-207	1.80338522417902e-205		-0.199128471124911	1.00075085926494e-136	3.66941981730478e-135		-0.241620865728298	2.76612902752613e-202	1.2170967721115e-200
Right.Hippocampus	Hippocampus (right)	subcortical volume	15317	1.24781150487526e-205	5.49037062145114e-204	0.243570942786083		-0.243570942786083	1.24781150487526e-205	5.49037062145114e-204		-0.170990527937747	8.40607930909221e-101	1.84933744800029e-99		-0.224526320812391	3.08671769199969e-174	1.13179648706655e-172
Left.Hippocampus	Hippocampus (left)	subcortical volume	15317	6.29296326092862e-188	2.30741986234049e-186	0.233044875043886		-0.233044875043886	6.29296326092862e-188	2.30741986234049e-186		-0.162257254128285	7.92984772970866e-91	1.58596954594173e-89		-0.212674185471258	4.02809483191849e-156	1.2659726614601e-154
Left.Thalamus.Proper	Thalamus proper (left)	subcortical volume	15317	1.28880709277276e-154	5.67075120820014e-153	0.211656707670309		-0.16369446379508	1.97491131218489e-92	2.41378049267042e-91		-0.211656707670309	1.28880709277276e-154	5.67075120820014e-153		-0.208018692781852	2.67511621764954e-149	7.35656959853623e-148
LH_ThickAvg_superiorfrontal	Superiorfrontal (left)	cortical thickness	15317	1.39579253929918e-148	3.41193731828688e-147	0.207522472928276		-0.203597509221671	5.67998337993805e-143	1.56199542948296e-141		-0.179523006491046	4.42023208330026e-111	1.21556382290757e-109		-0.207522472928276	1.39579253929918e-148	3.41193731828688e-147
RH_ThickAvg_superiorfrontal	Superiorfrontal (right)	cortical thickness	15317	1.51043140138194e-135	3.32294908304027e-134	0.198272832697675		-0.192133305598744	2.99949271201496e-127	7.33209329603657e-126		-0.173174400202162	2.20850030374678e-103	5.39855629804768e-102		-0.198272832697675	1.51043140138194e-135	3.32294908304027e-134
Right.Thalamus.Proper	Thalamus proper (right)	subcortical volume	15317	1.55943082986695e-119	4.90106832243899e-118	0.186229161726642		-0.125991545767724	3.24306773996937e-55	1.20927949625977e-54		-0.186229161726642	1.55943082986695e-119	4.90106832243899e-118		-0.174939725382493	1.70940583002357e-105	3.41881166004714e-104
Right.Amygdala	Amygdala (right)	subcortical volume	15317	1.2158033235839e-112	2.67476731188458e-111	0.180781112954554		-0.180781112954554	1.2158033235839e-112	2.67476731188458e-111		-0.128014287221748	5.8612206323849e-57	4.77580940416547e-56		-0.16690919154088	4.51404251984226e-96	5.51716307980721e-95
LH_GrayVol_precentral	Precentral (left)	cortical volume	15317	2.62007766945954e-104	5.24015533891908e-103	0.173950828537408		-0.173950828537408	2.62007766945954e-104	5.24015533891908e-103		-0.106564621960413	6.45709179426312e-40	3.08817433638671e-39		-0.150691181878351	1.84955321970946e-78	1.50704336420771e-77
RH_ThickAvg_supramarginal	Supramarginal (right)	cortical thickness	15317	3.99001189101895e-104	7.31502180020141e-103	0.173797927285353		-0.167453731958633	1.07261300965009e-96	1.47484288826887e-95		-0.155190280373733	3.71171929374488e-83	6.28137111249134e-82		-0.173797927285353	3.99001189101895e-104	7.31502180020141e-103
LH_ThickAvg_precentral	Precentral (left)	cortical thickness	15317	8.21386938090468e-104	1.39003943369156e-102	0.173535108357283		-0.16261286547756	3.1903346828555e-91	3.69407173804321e-90		-0.158793274291623	5.05404474520502e-87	9.26574869954254e-86		-0.173535108357283	8.21386938090468e-104	1.39003943369156e-102
LH_ThickAvg_supramarginal	Supramarginal (left)	cortical thickness	15317	1.22839828955821e-103	1.93034016930576e-102	0.173388425555848		-0.172306892987572	2.3621097835787e-102	3.71188680276653e-101		-0.151024855080013	8.38730129608254e-79	1.15325392821135e-77		-0.173388425555848	1.22839828955821e-103	1.93034016930576e-102
RH_ThickAvg_inferiorparietal	Inferiorparietal (right)	cortical thickness	15317	3.52777434038365e-103	5.17406903256269e-102	0.173003317672634		-0.172899048717516	4.69206386906743e-103	8.60211709329029e-102		-0.148515640800215	3.06864598623733e-76	3.75056731651229e-75		-0.173003317672634	3.52777434038365e-103	5.17406903256269e-102
RH_ThickAvg_superiortemporal	Superiortemporal (right)	cortical thickness	15317	1.46584302854556e-102	2.48065743292326e-101	0.172481921806907		-0.172481921806907	1.46584302854556e-102	2.48065743292326e-101		-0.131774833340296	2.83051895558475e-60	2.83051895558475e-59		-0.163490015051822	3.34648256061352e-92	3.87487454386829e-91
LH_GrayVol_superiorfrontal	Superiorfrontal (left)	cortical volume	15317	4.41337586989946e-101	6.47295127585254e-100	0.171228764298267		-0.171228764298267	4.41337586989946e-101	6.47295127585254e-100		-0.117146003712582	6.3051691700102e-48	3.96324919257784e-47		-0.157549243576637	1.11928945315629e-85	1.23121839847192e-84
LH_ThickAvg_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical thickness	15317	6.29505289524567e-100	8.6556977309628e-99	0.170243804393671		-0.164481885561895	2.57395608631303e-93	3.33100199405216e-92		-0.149202336990214	6.16426137503907e-77	7.97727942652115e-76		-0.170243804393671	6.29505289524567e-100	8.6556977309628e-99
RH_ThickAvg_precentral	Precentral (right)	cortical thickness	15317	2.62258965323909e-99	3.39393955125059e-98	0.169712467785422		-0.160102332199028	1.88822974496626e-88	2.07705271946289e-87		-0.153999068016238	6.71955473981767e-82	1.05593003054278e-80		-0.169712467785422	2.62258965323909e-99	3.39393955125059e-98
LH_ThickAvg_precuneus	Precuneus (left)	cortical thickness	15317	1.16950088406816e-87	1.22519140235712e-86	0.159377528852307		-0.159377528852307	1.16950088406816e-87	1.22519140235712e-86		-0.128520792897015	2.12365257899534e-57	1.79693679761144e-56		-0.153868212017746	9.22339965682254e-82	8.82238228043895e-81
LH_ThickAvg_superiortemporal	Superiortemporal (left)	cortical thickness	15317	1.24129918315648e-85	1.24129918315648e-84	0.157507514697617		-0.157507514697617	1.24129918315648e-85	1.24129918315648e-84		-0.124224641223682	1.02379034580999e-53	7.26560890574832e-53		-0.151294901689554	4.41660437029949e-79	4.04855400610787e-78
LH_ThickAvg_paracentral	Paracentral (left)	cortical thickness	15317	1.45250157413901e-84	1.52166831576468e-83	0.156512047118646		-0.135247112528277	2.00578930817255e-63	9.19320099579085e-63		-0.152976948349802	7.91603840353155e-81	1.16101896585129e-79		-0.156512047118646	1.45250157413901e-84	1.52166831576468e-83
RH_ThickAvg_rostralmiddlefrontal	Rostralmiddlefrontal (right)	cortical thickness	15317	2.71176530992561e-82	2.71176530992561e-81	0.154373335651457		-0.151320368751882	4.15713676595518e-79	3.51757726350054e-78		-0.133383179870391	1.00802601005188e-61	1.05602724862578e-60		-0.154373335651457	2.71176530992561e-82	2.71176530992561e-81
RH_GrayVol_superiorfrontal	Superiorfrontal (right)	cortical volume	15317	6.24094024397966e-81	5.96959501598054e-80	0.153075788092853		-0.153075788092853	6.24094024397966e-81	5.96959501598054e-80		-0.110215952789245	1.35764276184525e-42	6.94607924665012e-42		-0.144616814704332	2.40638573769963e-72	1.70775762030296e-71
RH_ThickAvg_precuneus	Precuneus (right)	cortical thickness	15317	1.92708046318656e-79	1.76649042458768e-78	0.151643372739164		-0.151643372739164	1.92708046318656e-79	1.76649042458768e-78		-0.12939780752039	3.62604232949136e-58	3.1909172499524e-57		-0.15076603987408	1.54912145671773e-78	1.31079507876116e-77
LH_ThickAvg_inferiorparietal	Inferiorparietal (left)	cortical thickness	15317	3.37875582732323e-79	2.97330512804444e-78	0.151407540206823		-0.151407540206823	3.37875582732323e-79	2.97330512804444e-78		-0.111895148360804	7.42781261573549e-44	3.98565554990685e-43		-0.140628889172225	1.79368814153485e-68	1.1606217386402e-67
RH_ThickAvg_paracentral	Paracentral (right)	cortical thickness	15317	6.12537913538255e-79	5.39033363913664e-78	0.151157248177813		-0.132895317433733	2.78435884555806e-61	1.15577159626938e-60		-0.146346946550902	4.6393676777732e-74	5.37189941636897e-73		-0.151157248177813	6.12537913538255e-79	5.39033363913664e-78
RH_GrayVol_precentral	Precentral (right)	cortical volume	15317	1.21068765503088e-78	9.86486237432569e-78	0.150870076128338		-0.150870076128338	1.21068765503088e-78	9.86486237432569e-78		-0.0926449572357136	1.51900535238554e-30	5.66408775465795e-30		-0.130762857889746	2.25913179034615e-59	1.15583486947943e-58
RH_GrayVol_parsorbitalis	Parsorbitalis (right)	cortical volume	15317	1.39697349928135e-77	1.09762203514963e-76	0.149834527275192		-0.149834527275192	1.39697349928135e-77	1.09762203514963e-76		-0.103329005126138	1.27710156414273e-37	5.97792221513618e-37		-0.136304554923318	2.12011251317461e-64	1.16606188224604e-63
RH_ThickAvg_superiorparietal	Superiorparietal (right)	cortical thickness	15317	1.33188073280258e-76	1.0464777186306e-75	0.148873140896282		-0.144032719598839	9.0270615893998e-72	5.6741529990513e-71		-0.129858244326007	1.4264865722161e-58	1.30761269119809e-57		-0.148873140896282	1.33188073280258e-76	1.0464777186306e-75
LH_GrayVol_superiortemporal	Superiortemporal (left)	cortical volume	15317	1.4459908627337e-76	1.09695858552212e-75	0.148837970912925		-0.148837970912925	1.4459908627337e-76	1.09695858552212e-75		-0.0871376957736726	3.35927636620768e-27	1.17308063581855e-26		-0.126206025619696	2.12564052732292e-55	9.54369216349066e-55
LH_GrayVol_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical volume	15317	2.75553463969569e-76	2.02072540244351e-75	0.14856178959996		-0.14856178959996	2.75553463969569e-76	2.02072540244351e-75		-0.114919998805341	3.53812047284862e-46	2.10374730818026e-45		-0.141921673082739	1.02493255099478e-69	6.83288367329853e-69
LH_GrayVol_precuneus	Precuneus (left)	cortical volume	15317	1.24688954757375e-75	8.84889356342661e-75	0.147913105830518		-0.147913105830518	1.24688954757375e-75	8.84889356342661e-75		-0.0926604733278398	1.48540933405489e-30	5.63431126710476e-30		-0.127157821553416	3.23195600957141e-56	1.54571809153415e-55
LH_ThickAvg_parsopercularis	Parsopercularis (left)	cortical thickness	15317	6.20348991590765e-74	4.70609579827477e-73	0.146220372689725		-0.140454651148738	2.63258690957523e-68	1.52412926343829e-67		-0.130588532454768	3.22562547690548e-59	3.08538089095307e-58		-0.146220372689725	6.20348991590765e-74	4.70609579827477e-73
RH_GrayVol_inferiorparietal	Inferiorparietal (right)	cortical volume	15317	9.64301116398149e-74	6.62957017523727e-73	0.146027976324812		-0.146027976324812	9.64301116398149e-74	6.62957017523727e-73		-0.0913147762740925	1.01905683987438e-29	3.67528696348137e-29		-0.125042590296629	2.08381267557525e-54	8.98899585542265e-54
LH_GrayVol_fusiform	Fusiform (left)	cortical volume	15317	1.47168314989006e-73	9.81122099926707e-73	0.145843341892017		-0.145843341892017	1.47168314989006e-73	9.81122099926707e-73		-0.103148617934686	1.70660957522133e-37	7.82196055309776e-37		-0.133259616063922	1.30433134456838e-61	6.99885111719619e-61
RH_ThickAvg_parstriangularis	Parstriangularis (right)	cortical thickness	15317	2.33345498137795e-72	1.70775762030296e-71	0.14463038218347		-0.139958342748868	7.83188173781302e-68	4.30753495579716e-67		-0.126715956227182	7.76267357131522e-56	5.88892477823913e-55		-0.14463038218347	2.33345498137795e-72	1.70775762030296e-71
LH_GrayVol_lateralorbitofrontal	Lateralorbitofrontal (left)	cortical volume	15317	3.96248105021221e-72	2.5639583266079e-71	0.144396760480613		-0.144396760480613	3.96248105021221e-72	2.5639583266079e-71		-0.0965776621519248	4.64982704331014e-33	1.96723451832352e-32		-0.12954687006304	2.68179617664374e-58	1.31110035302583e-57
RH_GrayVol_middletemporal	Middletemporal (right)	cortical volume	15317	2.97408681209902e-71	1.81749749628273e-70	0.143503859004653		-0.143503859004653	2.97408681209902e-71	1.81749749628273e-70		-0.0762226480356397	3.5578012661621e-21	9.43031660910436e-21		-0.115125412607176	2.44793254600041e-46	8.82860918229656e-46
RH_ThickAvg_parsopercularis	Parsopercularis (right)	cortical thickness	15317	2.13211239517484e-70	1.4658272716827e-69	0.142625691252822		-0.136491202076819	1.42326734243235e-64	6.80693076815472e-64		-0.127388292131241	2.04380491312458e-56	1.60584671745503e-55		-0.142625691252822	2.13211239517484e-70	1.4658272716827e-69
RH_GrayVol_fusiform	Fusiform (right)	cortical volume	15317	1.93563354925388e-68	1.15091724550231e-67	0.140594321725888		-0.140594321725888	1.93563354925388e-68	1.15091724550231e-67		-0.100663916533674	8.78714440050609e-36	3.94524850634967e-35		-0.130373393917653	5.00271844259165e-59	2.50135922129583e-58
RH_ThickAvg_caudalmiddlefrontal	Caudalmiddlefrontal (right)	cortical thickness	15317	3.09828811117762e-68	1.94749538416879e-67	0.140380617215186		-0.133743424725689	4.7487109373947e-62	2.08943281245367e-61		-0.12536068657721	1.11877060142752e-54	8.20431774380181e-54		-0.140380617215186	3.09828811117762e-68	1.94749538416879e-67
RH_GrayVol_lateralorbitofrontal	Lateralorbitofrontal (right)	cortical volume	15317	4.1020836455692e-68	2.31399590262878e-67	0.14025296274683		-0.14025296274683	4.1020836455692e-68	2.31399590262878e-67		-0.096085515930768	9.72308916883278e-33	4.0359992776287e-32		-0.1263578497459	1.57552808590698e-55	7.22117039374032e-55
LH_GrayVol_middletemporal	Middletemporal (left)	cortical volume	15317	5.6029439515376e-67	3.00645773009335e-66	0.139057964114597		-0.139057964114597	5.6029439515376e-67	3.00645773009335e-66		-0.0787596081090177	1.66804664009322e-22	4.89293681094011e-22		-0.114402683788266	8.91995174565387e-46	3.06623341256852e-45
Left.Pallidum	Pallidum (left)	subcortical volume	15317	3.66859321543887e-67	4.03545253698276e-66	0.139252251968551		-0.0724952059622838	2.66458709954615e-19	4.2173321000011e-19		-0.139252251968551	3.66859321543887e-67	4.03545253698276e-66		-0.120708628666095	8.49609280191379e-51	3.39843712076552e-50
RH_GrayVol_parstriangularis	Parstriangularis (right)	cortical volume	15317	1.25790629931427e-66	6.58903299640808e-66	0.1386861449386		-0.1386861449386	1.25790629931427e-66	6.58903299640808e-66		-0.0951460047078773	3.93388643658719e-32	1.57355457463488e-31		-0.126939400046758	4.98592084010093e-56	2.33383528685575e-55
RH_GrayVol_superiortemporal	Superiortemporal (right)	cortical volume	15317	1.71061150450538e-66	8.75196583700427e-66	0.13854454639994		-0.13854454639994	1.71061150450538e-66	8.75196583700427e-66		-0.0634610985951606	3.83936958825558e-15	7.60956134609214e-15		-0.106408614940502	8.36356373448136e-40	2.66664350954478e-39
