varName	description	top_deltaP	top_rhoAbs	top_pvalue	top_fdr	NA	a_gap_gm_beta	a_gap_gm_se	a_gap_gm_rho	a_gap_gm_pvalue	a_gap_gm_fdr	NA.1	b_gap_gm_beta	b_gap_gm_se	b_gap_gm_rho	b_gap_gm_pvalue	b_gap_gm_fdr	NA.2	gap_gm_deltaP	NA.3	a_gap_wm_beta	a_gap_wm_se	a_gap_wm_rho	a_gap_wm_pvalue	a_gap_wm_fdr	NA.4	b_gap_wm_beta	b_gap_wm_se	b_gap_wm_rho	b_gap_wm_pvalue	b_gap_wm_fdr	NA.5	gap_wm_deltaP	NA.6	a_gap_gwm_beta	a_gap_gwm_se	a_gap_gwm_rho	a_gap_gwm_pvalue	a_gap_gwm_fdr	NA.7	b_gap_gwm_beta	b_gap_gwm_se	b_gap_gwm_rho	b_gap_gwm_pvalue	b_gap_gwm_fdr	NA.8	gap_gwm_deltaP	NA.9	a_n	b_n	a_varType	a_resType	custom_category	Path
2443	Diabetes diagnosed by doctor	0.506372582205727	0.0966591097469627	1.04203355322256e-33	5.15702405489845e-30		0.157332860574763	0.013003623580917	0.0966591097469627	1.04203355322256e-33	5.15702405489845e-30		0.165051794089163	0.0170212201220837	0.0740361837780349	3.06039805533564e-22	5.4444481404421e-19		0.718577086159226		0.114155945220706	0.0127001591112835	0.0719575392922541	2.47805070484467e-19	1.22638729382763e-15		0.100003169212679	0.0170977154873751	0.0447308909400797	4.93468701572897e-09	1.25411545728312e-06		0.506372582205727		0.153068313863293	0.0134130594621657	0.0912154676401668	3.57194811967759e-30	1.76775712442844e-26		0.147344383453887	0.0176279781448461	0.0638613259263827	6.28727620160945e-17	4.1943991359987e-14		0.796092074470979		15028/501(15529)	16767/301(17068)	CAT-SIN	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#100	Vascular/heart problems diagnosed by doctor	0.0963515591515711	0.0961346356236014	2.26646701175617e-33	5.60837262059064e-30		-0.0639771159059918	0.00531533350860484	-0.0961346356236014	2.26646701175617e-33	5.60837262059064e-30		-0.0552952360448216	0.00616117243785659	-0.068545126260398	2.8239982999474e-19	2.15309698954561e-16		0.285995885484599		-0.0288334641258764	0.00525463647096345	-0.0439882891517919	4.07347611622688e-08	5.99841893099425e-06		-0.042306557692003	0.0061677743472458	-0.0524394050809248	6.89768295607884e-12	4.6016167420741e-09		0.0963515591515711		-0.0504053101007306	0.00552109567834751	-0.0730619873417405	6.83581294786759e-20	3.75893758655519e-17		-0.0552077982722918	0.0064236581151251	-0.0656532610154904	8.32422484100774e-18	6.8698187691476e-15		0.570727700951406		4017/11518(15535)	2889/14178(17067)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
6150#4	Vascular/heart problems diagnosed by doctor: High blood pressure	0.11778844561058	0.0952059974378819	9.33247353600358e-33	1.53954705098939e-29		0.0650648565609728	0.0054589315327646	0.0952059974378819	9.33247353600358e-33	1.53954705098939e-29		0.0559881263728855	0.00627877931347695	0.0681061201848119	4.76425344985724e-19	3.17835258273601e-16		0.275295590620654		0.0308073413823571	0.00540047621197424	0.0457268772596595	1.16360271557672e-08	2.05666779978185e-06		0.0437703430723486	0.00628656861111748	0.0532263730345024	3.33113734079313e-12	2.96304666463549e-09		0.11778844561058		0.0521681951726237	0.00567272487125726	0.0735932897918063	3.68157764245071e-20	2.60287539321265e-17		0.0564080524995368	0.00654606973379222	0.0658254774358375	6.83273536019758e-18	6.8698187691476e-15		0.624504784569776		11894/3641(15535)	14327/2740(17067)	CAT-MUL	LOGISTIC-BINARY	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
20015	Sitting height	0.233230558304518	0.0863836222789252	1.2166500695222e-29	6.49326142103998e-26		-0.0206895574021245	0.00216405326242199	-0.0765036714113198	1.33406016832289e-21	5.50188647752499e-19		-0.024323791680418	0.00214736238890138	-0.0863836222789252	1.2166500695222e-29	6.49326142103998e-26		0.233230558304518		-0.0160413370961427	0.00217854476632664	-0.0590268680638543	1.87602858313698e-13	1.15135202612713e-10		-0.0192260247449632	0.00217994670384357	-0.0674074292974843	1.2522926635534e-18	3.34174297269225e-15		0.301442167953283		-0.0210249657610031	0.00227539599603812	-0.0739610292282728	2.75732098407051e-20	2.27433025836083e-17		-0.0247379312255182	0.00226212571928183	-0.0834290332847762	9.54385897471332e-28	2.54677876740225e-24		0.247183138322587		15484	17006	CONTINUOUS	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
4079	Diastolic blood pressure, automated reading	0.481156585552554	0.0879715400505511	3.98841129604092e-29	1.06430755434852e-25		0.0239965978091052	0.00231299093852931	0.0851717556989615	3.91300465086538e-25	2.4206825021416e-22		0.0258984140644491	0.00230758498864114	0.0879715400505511	3.98841129604092e-29	1.06430755434852e-25		0.560508763251335		0.0189159454141883	0.0023285049854028	0.0668322841695006	4.8553861874631e-16	8.00976874725163e-13		0.0211818261578312	0.00233957228021309	0.0711107498095449	1.52776018894524e-19	8.15365612840075e-16		0.492425517051288		0.0245215489849002	0.00243154398156675	0.0828162963961298	7.65095017719891e-24	1.26215174756525e-20		0.0269430650487246	0.00242979739883273	0.0869288059339199	1.79041926438932e-28	9.5554676140458e-25		0.481156585552554		14680	16091	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure
137	Number of treatments/medications taken	0.00056684936030984	0.0865312947869527	2.66747264374213e-27	2.2002203523133e-24		0.0442221546730371	0.00385951338982334	0.0865312947869527	2.66747264374213e-27	2.2002203523133e-24		0.0250131258185622	0.00401981695492313	0.0445020663739406	5.81111388773659e-09	8.16155653127636e-07		0.00056684936030984		0.0245839066743437	0.00392638465139581	0.0481651437814435	1.86786496799407e-09	4.40193510790602e-07		0.0160801308828687	0.00415006972274747	0.0282148918680397	0.000225046827519921	0.012255866515039		0.13662746968944		0.0379622666757968	0.00410898999985169	0.0710457106106176	6.95992266140514e-19	2.8703881042745e-16		0.0230929310889775	0.00431497566879557	0.0389943365773802	3.38997542149249e-07	3.23076764723311e-05		0.012577445596184		15530	17084	INTEGER	ORDERED-LOGISTIC	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
20116-0	Smoking status	1	0.0838915940688662	9.72526239760625e-26	6.87576051510762e-23		-999	-999	-0.0838915940688662	9.72526239760625e-26	6.87576051510762e-23		-999	-999	-0.0714512827798569	8.50704820507322e-21	9.08042325409516e-18		1		-999	-999	-0.0582476353908575	3.61465526078658e-13	1.78889288856328e-10		-999	-999	-0.0539967463579685	1.65848213882999e-12	2.05428165322423e-09		1		-999	-999	-0.0784397952483552	1.09498880848171e-22	1.354774903294e-19		-999	-999	-0.0687780925042497	2.22587400468747e-19	3.95982985433901e-16		1		8962/15524	11047/17050	CAT-SIN	MULTINOMIAL-LOGISTIC	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20003#1140884600	Treatment/medication code: metformin	0.720193135806724	0.0821636105848163	8.71417618070708e-25	4.79182865759104e-22		0.18294937683136	0.0178020329377955	0.0821636105848163	8.71417618070708e-25	4.79182865759104e-22		0.184011972290232	0.0246684306102434	0.0569916014970259	8.59844311143933e-14	2.41525741503956e-11		0.972135922035562		0.128046955105789	0.0173854433539917	0.0589759350378856	1.75310112960956e-13	1.15135202612713e-10		0.117259329439251	0.0245912357562029	0.0364624847572398	1.85372972498207e-06	0.000210496926430411		0.720193135806724		0.174584808681587	0.0183209395924503	0.0762203936070089	1.55077926852303e-21	1.5349613199841e-18		0.167256924353765	0.0254142116727092	0.0502996784498402	4.62895801928822e-11	9.88189957957649e-09		0.815064868067972		15290/259(15549)	16944/140(17084)	CAT-MUL	LOGISTIC-BINARY	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
20529-0	Victim of physically violent crime	1	0.0979732378118304	6.04487894812173e-24	2.99161059142544e-21		-999	-999	-0.0979732378118304	6.04487894812173e-24	2.99161059142544e-21		-999	-999	-0.0101506083718941	0.261312208949918	0.692808375144418		1		-999	-999	-0.00376107676507894	0.6998471138258	0.95228099111975		-999	-999	-0.0126079970368889	0.1629327334202	0.621744015370113		1		-999	-999	-0.00432526694426475	0.657505484362547	0.923113579419876		-999	-999	-0.012461238985992	0.167884890074309	0.60255659605016		1		7954/10509	10568/12247	CAT-SIN	MULTINOMIAL-LOGISTIC	Mental health	Online follow-up > Mental health > Traumatic events
12336	Ventricular rate	0.027878744052441	0.0864295833620043	7.14774261988907e-24	8.18506596387878e-21		0.0241108921295005	0.0024110388374781	0.0856439598314726	1.81927107703913e-23	8.18506596387878e-21		0.0166052903322684	0.00241596167150279	0.0564209547195147	6.50545152079225e-12	1.38878379065873e-09		0.027878744052441		0.0212721418168953	0.00243097668698691	0.0750374940113378	2.35841778481149e-18	5.83590480851603e-15		0.0162133636647879	0.00245373709969313	0.0542509889190417	4.02450416847467e-11	1.95261624974085e-08		0.143032138747119		0.0255903990153178	0.00253546609611106	0.0864295833620043	7.14774261988907e-24	1.26215174756525e-20		0.0187409596794863	0.00254608720490497	0.0604018622743782	1.91744902062523e-13	6.01966201357462e-11		0.0566219157184193		13488	14773	INTEGER	LINEAR	Physical measures	UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead
