id	structure	category	a_n	b_n	top_deltaP	top_rhoAbs	top_pvalue	top_fdr	NA	a_gap_gm_rho	a_gap_gm_pval	a_gap_gm_fdr	NA.1	b_gap_gm_rho	b_gap_gm_pval	b_gap_gm_fdr	NA.2	gap_gm_deltaP	NA.3	a_gap_wm_rho	a_gap_wm_pval	a_gap_wm_fdr	NA.4	b_gap_wm_rho	b_gap_wm_pval	b_gap_wm_fdr	NA.5	gap_wm_deltaP	NA.6	a_gap_gwm_rho	a_gap_gwm_pval	a_gap_gwm_fdr	NA.7	b_gap_gwm_rho	b_gap_gwm_pval	b_gap_gwm_fdr	NA.8	gap_gwm_deltaP
Left.Accumbens.area	Accumbens area (left)	subcortical volume	15317	16961	8.27741994169351e-06	0.333929286027451	1e-307	5.5e-306		-0.257524324415096	1.85652206918029e-230	2.04217427609832e-228		-0.288898350751956	1e-307	1.1e-305		0.00235164886498551		-0.275050821163154	6.87150892131615e-264	1.51173196268955e-261		-0.320329764225281	1e-307	2.2e-305		8.27741994169351e-06		-0.293221200840808	2.90169166495986e-301	6.38372166291169e-299		-0.333929286027451	1e-307	5.5e-306		5.10301243243916e-05
Right.Lateral.Ventricle	Lateral ventricle (right)	subcortical volume	15317	16961	0.00935860281246836	0.308473140132229	1e-307	5.5e-306		0.263081459290984	8.7535131286416e-241	1.92577288830115e-238		0.289834012761877	1e-307	1.1e-305		0.00935860281246836		0.273806609853231	1.96889595362963e-261	2.16578554899259e-259		0.278928613386864	1.44327641782943e-300	1.58760405961237e-298		0.618858242501925		0.291643145806926	6.61135990681485e-298	7.27249589749633e-296		0.308473140132229	1e-307	5.5e-306		0.0970794144784921
Left.Lateral.Ventricle	Lateral ventricle (left)	subcortical volume	15317	16961	0.0191230700783076	0.297097199234576	1e-307	5.5e-306		0.252638521659978	1.38141885628159e-221	1.0130404946065e-219		0.276925769494627	4.01941159872276e-296	2.94756850573002e-294		0.0191230700783076		0.263054224834274	9.84932036168212e-241	7.22283493190022e-239		0.271132783828126	1.78174945336552e-283	1.30661626580138e-281		0.435175107153867		0.279096754795767	5.71671052971907e-272	4.19225438846065e-270		0.297097199234576	1e-307	5.5e-306		0.0782448616373734
Right.Accumbens.area	Accumbens area (right)	subcortical volume	15317	16961	0.00103631373094659	0.283687264384273	1e-307	5.5e-306		-0.227213787341212	1.70317853763844e-178	5.35284683257795e-177		-0.260935896936221	5.79807460703275e-262	3.18894103386801e-260		0.0012949871464889		-0.229475688283382	4.0166330090881e-182	2.20914815499845e-180		-0.26077839063884	1.22505704940299e-261	6.73781377171644e-260		0.00280937354433397		-0.249723658511577	2.1945713737678e-216	1.20701425557229e-214		-0.283687264384273	1e-307	5.5e-306		0.00103631373094659
Left.Amygdala	Amygdala (left)	subcortical volume	15317	16961	0.167757029508533	0.254839564511657	1.49387420596517e-249	6.57304650624675e-248		-0.244486029463789	3.27888222578003e-207	1.80338522417902e-205		-0.254839564511657	1.49387420596517e-249	6.57304650624675e-248		0.321919993803016		-0.199128471124911	1.00075085926494e-136	3.66941981730478e-135		-0.213849999148612	1.32736011928279e-174	4.8669871040369e-173		0.167757029508533		-0.241620865728298	2.76612902752613e-202	1.2170967721115e-200		-0.253715435444707	2.66914568516434e-247	1.17442410147231e-245		0.247735745955477
Right.Hippocampus	Hippocampus (right)	subcortical volume	15317	16961	0.768512120946644	0.245016299413094	2.97386687511001e-230	1.090417854207e-228		-0.243570942786083	1.24781150487526e-205	5.49037062145114e-204		-0.245016299413094	2.97386687511001e-230	1.090417854207e-228		0.890331097412126		-0.170990527937747	8.40607930909221e-101	1.84933744800029e-99		-0.17417378177388	1.35550798195106e-115	3.72764695036542e-114		0.768512120946644		-0.224526320812391	3.08671769199969e-174	1.13179648706655e-172		-0.225293014627619	4.5977184431767e-194	1.44499722499839e-192		0.942250975211096
Left.Hippocampus	Hippocampus (left)	subcortical volume	15317	16961	0.288445196804243	0.239169092522027	3.59464569861605e-219	1.12974579099362e-217		-0.233044875043886	6.29296326092862e-188	2.30741986234049e-186		-0.239169092522027	3.59464569861605e-219	1.12974579099362e-217		0.560693497190845		-0.162257254128285	7.92984772970866e-91	1.58596954594173e-89		-0.173756694941812	4.83129506988609e-115	1.18098323930549e-113		0.288445196804243		-0.212674185471258	4.02809483191849e-156	1.2659726614601e-154		-0.222096262405283	1.62694922499657e-188	4.47411036874057e-187		0.375002263071098
Left.Thalamus.Proper	Thalamus proper (left)	subcortical volume	15317	16961	0.0203318058519357	0.228911218544819	1.88969025418382e-200	8.31463711840881e-199		-0.16369446379508	1.97491131218489e-92	2.41378049267042e-91		-0.188754018694176	8.94987051323429e-136	2.18774612545727e-134		0.0203318058519357		-0.211656707670309	1.28880709277276e-154	5.67075120820014e-153		-0.228911218544819	1.88969025418382e-200	8.31463711840881e-199		0.103776836261402		-0.208018692781852	2.67511621764954e-149	7.35656959853623e-148		-0.22860428429022	6.64514542194187e-200	2.43655332137869e-198		0.0524842157273731
Right.Amygdala	Amygdala (right)	subcortical volume	15317	16961	0.000455740503813917	0.206521828539681	1.00824986229367e-162	2.77268712130759e-161		-0.180781112954554	1.2158033235839e-112	2.67476731188458e-111		-0.206521828539681	1.00824986229367e-162	2.77268712130759e-161		0.0164306093527944		-0.128014287221748	5.8612206323849e-57	4.77580940416547e-56		-0.166241173029542	2.45766708404069e-105	5.40686758488952e-104		0.000455740503813917		-0.16690919154088	4.51404251984226e-96	5.51716307980721e-95		-0.200265383216893	6.17934273884535e-153	1.51050600282886e-151		0.00195530342687644
LH_ThickAvg_superiorfrontal	Superiorfrontal (left)	cortical thickness	15317	16961	0.00313291415554184	0.207522472928276	1.39579253929918e-148	3.41193731828688e-147		-0.203597509221671	5.67998337993805e-143	1.56199542948296e-141		-0.187823251534401	1.95784384038134e-134	4.30725644883895e-133		0.141174485847367		-0.179523006491046	4.42023208330026e-111	1.21556382290757e-109		-0.147472205461955	4.65811654326354e-83	7.31989742512842e-82		0.00313291415554184		-0.207522472928276	1.39579253929918e-148	3.41193731828688e-147		-0.181439247419322	1.95809646159275e-125	3.9161929231855e-124		0.0150178015576745
