id	structure	category	n	top_pval	top_fdr	top_rhoabs	NA	gap_gm_rho	gap_gm_pval	gap_gm_fdr	NA.1	gap_wm_rho	gap_wm_pval	gap_wm_fdr	NA.2	gap_gwm_rho	gap_gwm_pval	gap_gwm_fdr
Left.Accumbens.area	Accumbens area (left)	subcortical volume	32278	1e-307	2.75e-306	0.314063786487395		-0.273635281139382	1e-307	3.14285714285714e-306		-0.29820653212196	1e-307	3.66666666666667e-306		-0.314063786487395	1e-307	2.75e-306
Right.Lateral.Ventricle	Lateral ventricle (right)	subcortical volume	32278	1e-307	2.75e-306	0.298605906113928		0.274210730674628	1e-307	3.14285714285714e-306		0.276079117784338	1e-307	3.66666666666667e-306		0.298605906113928	1e-307	2.75e-306
Left.Lateral.Ventricle	Lateral ventricle (left)	subcortical volume	32278	1e-307	2.75e-306	0.286560321374385		0.262629821325888	1e-307	3.14285714285714e-306		0.266629494814751	1e-307	3.66666666666667e-306		0.286560321374385	1e-307	2.75e-306
Right.Accumbens.area	Accumbens area (right)	subcortical volume	32278	1e-307	2.75e-306	0.266818262566466		-0.244131879642535	1e-307	3.14285714285714e-306		-0.245277335921545	1e-307	3.66666666666667e-306		-0.266818262566466	1e-307	2.75e-306
Left.Amygdala	Amygdala (left)	subcortical volume	32278	1e-307	2.75e-306	0.250193553451058		-0.250193553451058	1e-307	3.14285714285714e-306		-0.20757870028416	1e-307	3.66666666666667e-306		-0.248508005021413	1e-307	2.75e-306
Right.Hippocampus	Hippocampus (right)	subcortical volume	32278	1e-307	2.75e-306	0.245212036292928		-0.245212036292928	1e-307	3.14285714285714e-306		-0.174459682375496	6.5409474643918e-219	1.79876055270775e-217		-0.22639969469747	1e-307	2.75e-306
Left.Hippocampus	Hippocampus (left)	subcortical volume	32278	1e-307	2.75e-306	0.236934811484149		-0.236934811484149	1e-307	3.14285714285714e-306		-0.169427197443345	2.11254091526574e-206	5.16398890398292e-205		-0.218562387231354	1e-307	2.75e-306
Left.Thalamus.Proper	Thalamus proper (left)	subcortical volume	32278	1e-307	2.75e-306	0.221918815743315		-0.177301930104282	3.7939033992576e-226	6.42045190643594e-225		-0.221918815743315	1e-307	3.66666666666667e-306		-0.219737639225064	1e-307	2.75e-306
LH_ThickAvg_superiorfrontal	Superiorfrontal (left)	cortical thickness	32278	7.50403815368352e-278	2.06361049226297e-276	0.196341979194675		-0.196341979194675	7.50403815368352e-278	2.06361049226297e-276		-0.164770730615835	3.58814176332137e-195	7.89391187930701e-194		-0.195455268591089	2.56351972031737e-275	6.26638153855357e-274
Right.Amygdala	Amygdala (right)	subcortical volume	32278	1.16054220419863e-271	2.83688094359665e-270	0.194168076618185		-0.194168076618185	1.16054220419863e-271	2.83688094359665e-270		-0.148107825393971	1.12938657772669e-157	1.91126959307594e-156		-0.184382384374566	1.02358002371806e-244	2.04716004743612e-243
Right.Thalamus.Proper	Thalamus proper (right)	subcortical volume	32278	2.57752562728675e-262	8.1007948286155e-261	0.190834701592695		-0.134586652419524	2.66825618103719e-130	1.17403271965636e-129		-0.190834701592695	2.57752562728675e-262	8.1007948286155e-261		-0.180407262233816	3.3924976710726e-234	6.2195790636331e-233
RH_ThickAvg_superiorfrontal	Superiorfrontal (right)	cortical thickness	32278	4.65180559394579e-253	1.02339723066807e-251	0.187470665517501		-0.18492168639504	3.66406158676158e-246	8.06093549087548e-245		-0.160618905819691	1.94987377343481e-185	3.89974754686962e-184		-0.187470665517501	4.65180559394579e-253	1.02339723066807e-251
LH_GrayVol_superiorfrontal	Superiorfrontal (left)	cortical volume	32278	1.76851696542781e-230	3.53703393085562e-229	0.178980244195294		-0.178980244195294	1.76851696542781e-230	3.53703393085562e-229		-0.119062015319382	3.35445385018981e-102	2.45993282347253e-101		-0.161392485331416	3.13279760115803e-187	4.05420866032216e-186
RH_ThickAvg_superiortemporal	Superiortemporal (right)	cortical thickness	32278	7.74338654711857e-227	1.41962086697174e-225	0.177570474012035		-0.177570474012035	7.74338654711857e-227	1.41962086697174e-225		-0.127450876487101	6.04561369989847e-117	5.32014005591065e-116		-0.163526686089526	3.15731837770835e-192	4.63073362063891e-191
RH_ThickAvg_inferiorparietal	Inferiorparietal (right)	cortical thickness	32278	2.17813632728431e-220	3.42278565716106e-219	0.17504399234434		-0.17504399234434	2.17813632728431e-220	3.42278565716106e-219		-0.141747942381292	1.84845300263978e-144	2.25922033655973e-143		-0.170768887310701	1.0657926054928e-209	1.80364902468012e-208
LH_GrayVol_precentral	Precentral (left)	cortical volume	32278	1.78133581936206e-201	2.61262586839769e-200	0.167401519569574		-0.167401519569574	1.78133581936206e-201	2.61262586839769e-200		-0.098097329858446	7.86512579882848e-70	3.46065535148453e-69		-0.14174613130767	1.86416986897098e-144	1.32295926185037e-143
RH_ThickAvg_supramarginal	Supramarginal (right)	cortical thickness	32278	6.71277410842621e-198	1.05486450275269e-196	0.165914544311478		-0.164234861718474	6.69983924071875e-194	8.67038019387132e-193		-0.14351673591	4.49041985511152e-148	6.17432730077834e-147		-0.165914544311478	6.71277410842621e-198	1.05486450275269e-196
LH_ThickAvg_supramarginal	Supramarginal (left)	cortical thickness	32278	2.6333594075008e-197	3.6208691853136e-196	0.165666357995867		-0.165666357995867	2.6333594075008e-197	3.6208691853136e-196		-0.137235076134804	1.89787822555215e-135	2.08766604810736e-134		-0.162533684614629	6.80351629838487e-190	9.3548349102792e-189
RH_GrayVol_superiorfrontal	Superiorfrontal (right)	cortical volume	32278	2.4674422088431e-191	3.01576269969712e-190	0.163147445151068		-0.163147445151068	2.4674422088431e-191	3.01576269969712e-190		-0.116648464011358	3.7766454461412e-98	2.59644374422208e-97		-0.152486151836328	4.0242499517969e-167	3.68889578914716e-166
LH_GrayVol_superiortemporal	Superiortemporal (left)	cortical volume	32278	2.83606861281054e-188	3.28386892009642e-187	0.161840518587152		-0.161840518587152	2.83606861281054e-188	3.28386892009642e-187		-0.0903656180731025	1.71173388702061e-59	6.38273652787346e-59		-0.13458585582912	2.67769014107413e-130	1.51049187445207e-129
