label	top_p	top_FDR	NA.	gap_gm_outcome_bxy	gap_gm_outcome_se	gap_gm_outcome_p	gap_gm_outcome_nsnp	gap_gm_outcome_FDR	NA.2	gap_wm_outcome_bxy	gap_wm_outcome_se	gap_wm_outcome_p	gap_wm_outcome_nsnp	gap_wm_outcome_FDR	NA.4	gap_gwm_outcome_bxy	gap_gwm_outcome_se	gap_gwm_outcome_p	gap_gwm_outcome_nsnp	gap_gwm_outcome_FDR
Diastolic Blood Pressure (Evangelou et al. 2018)	1.38479e-08	1.661748e-07		0.4885	0.111722	1.22861e-05	183	0.0001474332		0.38524	0.110451	0.000486881	185	0.005842572		0.610485	0.10757	1.38479e-08	180	1.661748e-07
Systolic Blood Pressure (Evangelou et al. 2018)	5.78984e-05	0.0003473904		0.443255	0.110229	5.78984e-05	177	0.0003473904		0.232851	0.109504	0.0334684	176	0.2008104		0.32642	0.105104	0.00189845	176	0.0113907
HDL-c (Willer et al. 2013)	0.0143721	0.0574884		-0.143857	0.0587694	0.0143721	164	0.0574884		0.000560003	0.058196	0.992322	165	0.992322		-0.0694229	0.0557202	0.212794	165	0.48578
Schizophrenia (Trubetskoy et al. 2022)	0.0519738	0.1559214		0.0657282	0.0338221	0.0519738	204	0.1559214		0.0561086	0.0335061	0.0940172	203	0.267562		0.0377554	0.0323305	0.24289	202	0.48578
Type-2-Diabetes (Scptt et al. 2017)	0.0944397	0.267562		0.041988	0.0438262	0.338034	48	0.507051		0.068374	0.0438911	0.119278	47	0.267562		0.0704472	0.0421227	0.0944397	47	0.3777588
Educational attainment (Okbay et al. 2016)	0.126932	0.267562		-0.0495268	0.289454	0.864142	32	0.864142		0.438066	0.28701	0.126932	32	0.267562		-0.0762648	0.282517	0.7872	30	0.889562
Triglyceride (Willer et al. 2013)	0.133781	0.267562		0.0745347	0.0523255	0.154319	109	0.3703656		0.0801499	0.0534562	0.133781	110	0.267562		0.0684742	0.0506766	0.176632	109	0.48578
Waist-Hip-Ratio (Shungin et al. 2015)	0.20606	0.41212		0.222752	0.176162	0.20606	47	0.41212		0.0568561	0.17485	0.745052	47	0.868049454545454		0.0424948	0.168935	0.801392	46	0.889562
Pulse Pressure (Evangelou et al. 2018)	0.258534	0.443201142857143		0.113741	0.143384	0.427626	117	0.5131512		-0.160643	0.142179	0.258534	116	0.443201142857143		-0.097825	0.136689	0.474192	116	0.711288
LDL-c (Willer et al. 2013)	0.288864	0.495195428571429		0.031167	0.0383932	0.416915	143	0.5131512		0.0354833	0.038363	0.354999	141	0.5324985		0.0388731	0.0366514	0.288864	144	0.495195428571429
Body-Mass-Index (Locke et al. 2015)	0.292985	0.50226		0.156541	0.148861	0.292985	88	0.50226		-0.0404267	0.149381	0.786677	85	0.868049454545454		0.0196718	0.141668	0.889562	88	0.889562
Coronary Artery Disease (Nikpay et al. 2015)	0.589637	0.643240363636363		0.0286433	0.0531059	0.589637	50	0.643240363636363		-0.0136363	0.0526699	0.795712	50	0.868049454545454		0.00721051	0.0504886	0.886437	50	0.889562
