trait	top_p	top_FDR	NA	gap_gm_outcome_bxy	gap_gm_outcome_se	gap_gm_outcome_p	gap_gm_outcome_nsnp	gap_gm_outcome_FDR	NA.2	gap_wm_outcome_bxy	gap_wm_outcome_se	gap_wm_outcome_p	gap_wm_outcome_nsnp	gap_wm_outcome_FDR	NA.4	gap_gwm_outcome_bxy	gap_gwm_outcome_se	gap_gwm_outcome_p	gap_gwm_outcome_nsnp	gap_gwm_outcome_FDR
mr_dbp_evangelou_2018	6.3392e-12	7.60704e-11		0.0413429	0.006565	3.02552e-10	1119	3.630624e-09		0.035574	0.00651676	4.79231e-08	1113	5.750772e-07		0.0430374	0.00626289	6.3392e-12	1116	7.60704e-11
mr_height_wood_2014	9.39101e-06	5.634606e-05		-0.188655	0.0425786	9.39101e-06	817	5.634606e-05		-0.152887	0.0422256	0.000293797	817	0.001762782		-0.162353	0.0406119	6.3965e-05	810	0.00038379
mr_sbp_evangelou_2018	0.000120476	0.000481904		0.0149554	0.00388942	0.000120476	1047	0.000481904		0.00233331	0.00384489	0.543944	1050	0.815916		0.00938234	0.00369356	0.0110792	1045	0.0443168
mr_hdlc_willer_2013	0.0192672	0.0578016		-0.135259	0.0577951	0.0192672	165	0.0578016		-0.00692451	0.0572827	0.903784	166	0.957722		-0.0865701	0.0547985	0.114155	166	0.22831
mr_trigl_willer_2013	0.0269616	0.0876465		0.149054	0.0729886	0.0411355	110	0.0987252		0.159847	0.0722613	0.0269616	110	0.1078464		0.151002	0.0692488	0.0292155	110	0.0876465
mr_scz_trubetskoy_2022	0.0519738	0.1039476		0.0657282	0.0338221	0.0519738	204	0.1039476		0.0561086	0.0335061	0.0940172	203	0.269676		0.0377554	0.0323305	0.24289	202	0.399474
mr_t2d_scott_2017	0.0944397	0.22665528		0.041988	0.0438262	0.338034	48	0.507051		0.068374	0.0438911	0.119278	47	0.269676		0.0704472	0.0421227	0.0944397	47	0.22665528
mr_eduPruned_okbay_2016	0.134838	0.269676		-0.0179056	0.270249	0.947174	34	0.947174		0.400616	0.267918	0.134838	34	0.269676		-0.0743565	0.264375	0.778515	32	0.849289090909091
mr_ldlc_willer_2013	0.266316	0.399474		0.0409417	0.0495004	0.408181	144	0.5130336		0.047803	0.0499771	0.33882	142	0.580834285714286		0.0524139	0.0471523	0.266316	145	0.399474
mr_bmi_locke_2015	0.280471	0.480807428571429		0.131959	0.122268	0.280471	88	0.480807428571429		-0.00648473	0.122325	0.957722	85	0.957722		0.0399171	0.115989	0.730736	88	0.849289090909091
mr_whr_shungin_2015	0.427528	0.5130336		0.128218	0.161599	0.427528	46	0.5130336		0.0466239	0.159276	0.769733	47	0.9548544		0.0437922	0.153747	0.775772	46	0.849289090909091
mr_cad_nikpay_2015	0.589637	0.643240363636363		0.0286433	0.0531059	0.589637	50	0.643240363636363		-0.0136363	0.0526699	0.795712	50	0.9548544		0.00721051	0.0504886	0.886437	50	0.886437
