annot	ref.count	ref.prop	top_pvalue	top_fdr	NA	gap_gm_count	gap_gm_prop	gap_gm_enrichment	gap_gm_fisher.P	gap_gm_fdr	NA.1	gap_wm_count	gap_wm_prop	gap_wm_enrichment	gap_wm_fisher.P	gap_wm_fdr	NA.2	gap_gwm_count	gap_gwm_prop	gap_gwm_enrichment	gap_gwm_fisher.P	gap_gwm_fdr
intergenic	7340829	0.449384483183869	1e-307	5.5e-307		1402	0.193914246196404	0.431510774075976	1e-307	1.1e-306		916	0.124659771366358	0.277401147638987	1e-307	5.5e-307		1589	0.192746239689471	0.428911648937837	1e-307	1.1e-306
intronic	6228556	0.38129432234994	1e-307	5.5e-307		3765	0.520746887966805	1.36573470267643	1.59893942015739e-127	8.79416681086564e-127		4488	0.610778443113772	1.60185559373008	1e-307	5.5e-307		4578	0.555312954876274	1.45638925713304	4.73749103770231e-224	2.60562007073627e-223
ncRNA_intronic	1884461	0.115361294012591	9.46929141581429e-125	3.47207351913191e-124		1544	0.213554633471646	1.85118098145066	9.46929141581429e-125	3.47207351913191e-124		1379	0.187670114316821	1.6268031311814	1.52964904180801e-72	5.60871315329604e-72		1429	0.173338185346919	1.50256796987732	4.01217213183428e-54	1.47112978167257e-53
UTR5	46406	0.00284084213467316	1.7642331459269e-16	4.85164115129898e-16		58	0.00802213001383126	2.82385631919466	9.42450543811042e-12	2.59173899548037e-11		59	0.00802939575394665	2.82641391999434	6.08238618780676e-12	1.33812496131749e-11		73	0.00885492479378942	3.11700699088941	1.7642331459269e-16	4.85164115129898e-16
UTR3	155448	0.0095160804238821	2.68744249749078e-16	7.39046686809965e-16		114	0.0157676348547718	1.65694636367305	5.71407838781915e-07	1.25709724532021e-06		148	0.020141535111595	2.11657890795528	2.68744249749078e-16	7.39046686809965e-16		156	0.0189228529839884	1.98851335225147	8.43834584023988e-15	1.85643608485277e-14
ncRNA_exonic	164533	0.0100722380499112	4.21854201594067e-06	7.73399369589123e-06		107	0.0147994467496542	1.46933051783707	0.000154317934645413	0.00028291621351659		113	0.0153783342406097	1.52680408906194	2.37453913287491e-05	4.353321743604e-05		128	0.0155264434740417	1.54150878852378	4.21854201594067e-06	7.73399369589123e-06
exonic	157410	0.00963618843293758	0.0422516735712434	0.0663954870405253		84	0.0116182572614108	1.20569012761293	0.0913190236437666	0.143501322868776		88	0.0119760479041916	1.24282002033669	0.0422516735712434	0.0663954870405253		97	0.0117661329451722	1.22103599644796	0.054823822240019	0.086151720662887
downstream	184076	0.0112686044214562	0.250486633368417	0.344419120881573		74	0.0102351313969571	0.908287398701185	0.435332400167131	0.553147781653001		83	0.011295590636908	1.00239481433925	0.955905505628176	1		104	0.0126152353226589	1.11950289945742	0.250486633368417	0.344419120881573
upstream	171164	0.0104781688389259	0.452575457716092	0.553147781653001		82	0.0113416320885201	1.08240593016467	0.452575457716092	0.553147781653001		74	0.0100707675557975	0.961119038126688	0.774614142006171	1		90	0.0109170305676856	1.04188343741221	0.665219998146518	0.8130466644013
ncRNA_splicing	826	5.05653493780982e-05	1	1		0	0	0	1	1		0	0	0	1	1		0	0	0	1	1
splicing	1588	9.72128024363438e-05	1	1		0	0	0	1	1		0	0	0	1	1		0	0	0	1	1
