locus	trait	sbayes_count	finemap_count	total_count	overlap_count	prop_overlap	prop_sbayes_in_finemap	prop_finemap_in_sbayes
1	white matter	3	21	21	3	0.142857142857143	1	0.142857142857143
2	white matter	6	5	10	1	0.1	0.166666666666667	0.2
2	grey and white matter	9	4	11	2	0.181818181818182	0.222222222222222	0.5
3	white matter	6	30	31	5	0.161290322580645	0.833333333333333	0.166666666666667
3	grey and white matter	2	35	35	2	0.0571428571428571	1	0.0571428571428571
5	grey matter	7	2	7	2	0.285714285714286	0.285714285714286	1
5	white matter	6	9	11	4	0.363636363636364	0.666666666666667	0.444444444444444
7	grey matter	5	171	172	4	0.0232558139534884	0.8	0.0233918128654971
8	white matter	32	66	77	21	0.272727272727273	0.65625	0.318181818181818
8	grey and white matter	11	115	117	9	0.0769230769230769	0.818181818181818	0.0782608695652174
9	grey matter	17	436	439	14	0.0318906605922551	0.823529411764706	0.0321100917431193
9	grey and white matter	16	279	281	14	0.0498220640569395	0.875	0.050179211469534
10	grey matter	8	523	523	8	0.0152963671128107	1	0.0152963671128107
10	grey and white matter	6	123	123	6	0.048780487804878	1	0.048780487804878
11	grey and white matter	6	264	265	5	0.0188679245283019	0.833333333333333	0.0189393939393939
11	grey matter	9	267	267	9	0.0337078651685393	1	0.0337078651685393
11	white matter	5	253	254	4	0.015748031496063	0.8	0.0158102766798419
12	white matter	11	94	95	10	0.105263157894737	0.909090909090909	0.106382978723404
13	white matter	14	139	140	13	0.0928571428571429	0.928571428571429	0.0935251798561151
14	white matter	7	7	8	6	0.75	0.857142857142857	0.857142857142857
14	grey and white matter	5	7	8	4	0.5	0.8	0.571428571428571
15	grey and white matter	15	26	33	8	0.242424242424242	0.533333333333333	0.307692307692308
16	white matter	12	37	37	12	0.324324324324324	1	0.324324324324324
17	grey and white matter	12	121	123	10	0.0813008130081301	0.833333333333333	0.0826446280991736
18	grey and white matter	1	12	12	1	0.0833333333333333	1	0.0833333333333333
18	white matter	1	12	12	1	0.0833333333333333	1	0.0833333333333333
18	grey matter	2	13	14	1	0.0714285714285714	0.5	0.0769230769230769
19	white matter	8	25	25	8	0.32	1	0.32
19	grey and white matter	11	28	30	9	0.3	0.818181818181818	0.321428571428571
20	grey and white matter	18	89	89	18	0.202247191011236	1	0.202247191011236
