locus	trait	sbayes_count	susieR_count	total_count	overlap_count	prop_overlap	prop_sbayes_in_susieR	prop_susieR_in_sbayes
1	white matter	3	22	22	3	0.136363636363636	1	0.136363636363636
2	white matter	6	6	11	1	0.0909090909090909	0.166666666666667	0.166666666666667
2	grey and white matter	9	4	11	2	0.181818181818182	0.222222222222222	0.5
3	white matter	6	30	31	5	0.161290322580645	0.833333333333333	0.166666666666667
3	grey and white matter	2	35	35	2	0.0571428571428571	1	0.0571428571428571
5	grey matter	7	4	7	4	0.571428571428571	0.571428571428571	1
5	white matter	6	10	12	4	0.333333333333333	0.666666666666667	0.4
7	grey matter	5	176	177	4	0.0225988700564972	0.8	0.0227272727272727
8	white matter	32	67	78	21	0.269230769230769	0.65625	0.313432835820896
9	grey and white matter	16	279	281	14	0.0498220640569395	0.875	0.050179211469534
11	grey and white matter	6	262	263	5	0.0190114068441065	0.833333333333333	0.0190839694656489
11	grey matter	9	265	265	9	0.0339622641509434	1	0.0339622641509434
11	white matter	5	253	254	4	0.015748031496063	0.8	0.0158102766798419
12	white matter	11	95	96	10	0.104166666666667	0.909090909090909	0.105263157894737
13	white matter	14	139	140	13	0.0928571428571429	0.928571428571429	0.0935251798561151
14	white matter	7	7	8	6	0.75	0.857142857142857	0.857142857142857
14	grey and white matter	5	6	8	3	0.375	0.6	0.5
15	grey and white matter	15	35	42	8	0.19047619047619	0.533333333333333	0.228571428571429
16	white matter	12	42	42	12	0.285714285714286	1	0.285714285714286
17	grey and white matter	12	101	103	10	0.0970873786407767	0.833333333333333	0.099009900990099
18	grey and white matter	1	12	12	1	0.0833333333333333	1	0.0833333333333333
18	white matter	1	12	12	1	0.0833333333333333	1	0.0833333333333333
18	grey matter	2	13	14	1	0.0714285714285714	0.5	0.0769230769230769
19	white matter	8	26	26	8	0.307692307692308	1	0.307692307692308
19	grey and white matter	11	28	30	9	0.3	0.818181818181818	0.321428571428571
21	grey matter	12	18	23	7	0.304347826086957	0.583333333333333	0.388888888888889
22	grey matter	15	32	36	11	0.305555555555556	0.733333333333333	0.34375
22	grey and white matter	15	53	58	10	0.172413793103448	0.666666666666667	0.188679245283019
23	grey and white matter	12	36	39	9	0.230769230769231	0.75	0.25
23	white matter	12	36	39	9	0.230769230769231	0.75	0.25
25	grey and white matter	2	34	34	2	0.0588235294117647	1	0.0588235294117647
25	white matter	5	35	36	4	0.111111111111111	0.8	0.114285714285714
25	grey matter	39	39	55	23	0.418181818181818	0.58974358974359	0.58974358974359
26	grey matter	10	93	95	8	0.0842105263157895	0.8	0.0860215053763441
26	grey and white matter	9	93	97	5	0.0515463917525773	0.555555555555556	0.0537634408602151
27	grey and white matter	17	107	113	11	0.0973451327433628	0.647058823529412	0.102803738317757
27	grey matter	26	113	127	12	0.094488188976378	0.461538461538462	0.106194690265487
28	grey matter	11	95	100	6	0.06	0.545454545454545	0.0631578947368421
30	white matter	4	15	16	3	0.1875	0.75	0.2
30	grey and white matter	3	15	15	3	0.2	1	0.2
31	grey matter	12	60	69	3	0.0434782608695652	0.25	0.05
36	grey and white matter	16	7	20	3	0.15	0.1875	0.428571428571429
36	grey matter	17	4	18	3	0.166666666666667	0.176470588235294	0.75
37	white matter	3	16	18	1	0.0555555555555556	0.333333333333333	0.0625
37	grey and white matter	10	34	38	6	0.157894736842105	0.6	0.176470588235294
38	grey and white matter	17	166	168	15	0.0892857142857143	0.88235294117647	0.0903614457831325
40	white matter	1	1	1	1	1	1	1
40	grey and white matter	1	1	1	1	1	1	1
41	white matter	15	110	119	6	0.0504201680672269	0.4	0.0545454545454545
42	white matter	8	5	10	3	0.3	0.375	0.6
42	grey and white matter	27	8	27	8	0.296296296296296	0.296296296296296	1
43	white matter	23	82	89	16	0.179775280898876	0.695652173913043	0.195121951219512
43	grey and white matter	8	122	122	8	0.0655737704918033	1	0.0655737704918033
44	white matter	9	51	51	9	0.176470588235294	1	0.176470588235294
44	grey and white matter	11	53	54	10	0.185185185185185	0.909090909090909	0.188679245283019
45	grey matter	39	72	84	27	0.321428571428571	0.692307692307692	0.375
46	grey matter	6	15	17	4	0.235294117647059	0.666666666666667	0.266666666666667
47	white matter	30	47	59	18	0.305084745762712	0.6	0.382978723404255
47	grey and white matter	4	48	49	3	0.0612244897959184	0.75	0.0625
48	grey matter	10	79	79	10	0.126582278481013	1	0.126582278481013
48	grey and white matter	3	16	16	3	0.1875	1	0.1875
49	white matter	5	1760	1764	1	0.000566893424036281	0.2	0.000568181818181818
49	grey and white matter	8	1698	1706	0	0	0	0
49	grey matter	5	1805	1810	0	0	0	0
50	grey matter	4	10	10	4	0.4	1	0.4
50	grey and white matter	4	24	24	4	0.166666666666667	1	0.166666666666667
51	white matter	18	21	25	14	0.56	0.777777777777778	0.666666666666667
52	grey and white matter	7	71	72	6	0.0833333333333333	0.857142857142857	0.0845070422535211
53	grey and white matter	4	4	5	3	0.6	0.75	0.75
53	white matter	4	4	6	2	0.333333333333333	0.5	0.5
54	grey matter	9	133	135	7	0.0518518518518519	0.777777777777778	0.0526315789473684
55	white matter	23	8	25	6	0.24	0.260869565217391	0.75
55	grey and white matter	7	11	12	6	0.5	0.857142857142857	0.545454545454545
