locus	trait	susieR_count	finemap_count	total_count	overlap_count	prop_overlap	prop_susieR_in_finemap	prop_finemap_in_susieR
1	white matter	22	21	22	21	0.954545454545455	0.954545454545455	1
2	white matter	6	5	6	5	0.833333333333333	0.833333333333333	1
2	grey and white matter	4	4	4	4	1	1	1
3	white matter	30	30	30	30	1	1	1
3	grey and white matter	35	35	35	35	1	1	1
5	grey matter	4	2	4	2	0.5	0.5	1
5	white matter	10	9	10	9	0.9	0.9	1
7	grey matter	176	171	176	171	0.971590909090909	0.971590909090909	1
8	white matter	67	66	67	66	0.985074626865672	0.985074626865672	1
9	grey and white matter	279	279	282	276	0.978723404255319	0.989247311827957	0.989247311827957
11	grey and white matter	262	264	264	262	0.992424242424242	1	0.992424242424242
11	grey matter	265	267	270	262	0.97037037037037	0.988679245283019	0.9812734082397
11	white matter	253	253	254	252	0.992125984251969	0.99604743083004	0.99604743083004
12	white matter	95	94	95	94	0.989473684210526	0.989473684210526	1
13	white matter	139	139	139	139	1	1	1
14	white matter	7	7	7	7	1	1	1
14	grey and white matter	6	7	7	6	0.857142857142857	1	0.857142857142857
15	grey and white matter	35	26	35	26	0.742857142857143	0.742857142857143	1
16	white matter	42	37	42	37	0.880952380952381	0.880952380952381	1
17	grey and white matter	101	121	121	101	0.834710743801653	1	0.834710743801653
18	grey and white matter	12	12	12	12	1	1	1
18	white matter	12	12	12	12	1	1	1
18	grey matter	13	13	13	13	1	1	1
19	white matter	26	25	26	25	0.961538461538462	0.961538461538462	1
19	grey and white matter	28	28	28	28	1	1	1
21	grey matter	18	18	18	18	1	1	1
22	grey matter	32	37	37	32	0.864864864864865	1	0.864864864864865
22	grey and white matter	53	51	53	51	0.962264150943396	0.962264150943396	1
23	grey and white matter	36	35	36	35	0.972222222222222	0.972222222222222	1
23	white matter	36	35	36	35	0.972222222222222	0.972222222222222	1
24	grey and white matter	20	19	20	19	0.95	0.95	1
24	grey matter	26	30	30	26	0.866666666666667	1	0.866666666666667
25	grey and white matter	34	35	35	34	0.971428571428571	1	0.971428571428571
25	white matter	35	36	36	35	0.972222222222222	1	0.972222222222222
25	grey matter	39	39	39	39	1	1	1
26	grey matter	93	92	93	92	0.989247311827957	0.989247311827957	1
26	grey and white matter	93	91	93	91	0.978494623655914	0.978494623655914	1
27	grey and white matter	107	106	110	103	0.936363636363636	0.962616822429907	0.971698113207547
27	grey matter	113	106	119	100	0.840336134453782	0.884955752212389	0.943396226415094
28	grey matter	20 | 95	19 | 95	21 | 97	18 | 93	0.857142857142857 | 0.958762886597938	0.9 | 0.978947368421053	0.947368421052632 | 0.978947368421053
28	grey and white matter	19	19	19	19	1	1	1
30	white matter	15	15	15	15	1	1	1
30	grey and white matter	15	15	15	15	1	1	1
31	grey matter	60	60	60	60	1	1	1
34	grey matter	2	2	2	2	1	1	1
35	white matter	1	1	1	1	1	1	1
36	grey and white matter	7	3	7	3	0.428571428571429	0.428571428571429	1
36	grey matter	4	8	8	4	0.5	1	0.5
37	white matter	16	16	16	16	1	1	1
37	grey and white matter	34	33	34	33	0.970588235294118	0.970588235294118	1
38	grey and white matter	166	162	168	160	0.952380952380952	0.963855421686747	0.987654320987654
40	white matter	1	1	1	1	1	1	1
40	grey and white matter	1	1	1	1	1	1	1
41	white matter	110	114	122	102	0.836065573770492	0.927272727272727	0.894736842105263
42	white matter	5	5	5	5	1	1	1
42	grey and white matter	8	7	8	7	0.875	0.875	1
43	white matter	82	85	85	82	0.964705882352941	1	0.964705882352941
43	grey and white matter	122	122	122	122	1	1	1
44	white matter	51	51	51	51	1	1	1
44	grey and white matter	53	53	53	53	1	1	1
45	grey matter	72	67	72	67	0.930555555555556	0.930555555555556	1
46	grey matter	15	14	15	14	0.933333333333333	0.933333333333333	1
47	white matter	47	47	47	47	1	1	1
47	grey and white matter	48	48	48	48	1	1	1
48	grey matter	79	43	79	43	0.544303797468354	0.544303797468354	1
48	grey and white matter	33 | 16	32 | 13	33 | 16	32 | 13	0.96969696969697 | 0.8125	0.96969696969697 | 0.8125	1 | 1
49	white matter	1760	1750	1760	1750	0.994318181818182	0.994318181818182	1
49	grey and white matter	1698	1688	1698	1688	0.994110718492344	0.994110718492344	1
49	grey matter	1805	1794	1805	1794	0.993905817174515	0.993905817174515	1
50	grey matter	10	14	14	10	0.714285714285714	1	0.714285714285714
50	grey and white matter	24	23	24	23	0.958333333333333	0.958333333333333	1
51	white matter	21	20	21	20	0.952380952380952	0.952380952380952	1
52	grey and white matter	71	69	73	67	0.917808219178082	0.943661971830986	0.971014492753623
53	grey and white matter	4	4	4	4	1	1	1
53	white matter	4	6	6	4	0.666666666666667	1	0.666666666666667
54	grey matter	133	86	133	86	0.646616541353383	0.646616541353383	1
55	white matter	8	8	8	8	1	1	1
55	grey and white matter	11	11	11	11	1	1	1
56	grey matter	1 | 10	1 | 1	1 | 11	1 | 0	1 | 0	1 | 0	1 | 0
56	grey and white matter	8	10	10	8	0.8	1	0.8
58	grey matter	41 | 60	41 | 60	42 | 63	40 | 57	0.952380952380952 | 0.904761904761905	0.975609756097561 | 0.95	0.975609756097561 | 0.95
59	white matter	54	54	54	54	1	1	1
59	grey and white matter	38	38	38	38	1	1	1
59	grey matter	48	47	48	47	0.979166666666667	0.979166666666667	1
