trait	top_gsmr_p	top_gsmr_fdr	NA	gap_gm_exposure_n_snps_total	gap_gm_exposure_n_snps_HEIDI	gap_gm_exposure_gsmr_beta	gap_gm_exposure_gsmr_se	gap_gm_exposure_gsmr_p	gap_gm_exposure_gsmr_fdr	gap_gm_exposure_ivw_p	gap_gm_exposure_divw_p	gap_gm_exposure_pivw_p	gap_gm_exposure_median_p	gap_gm_exposure_egger_p	gap_gm_exposure_ml_p	gap_gm_exposure_mbe_p	gap_gm_exposure_cm_p	gap_gm_exposure_lasso_p	gap_gm_exposure_sum_p05	NA.1	gap_wm_exposure_n_snps_total	gap_wm_exposure_n_snps_HEIDI	gap_wm_exposure_gsmr_beta	gap_wm_exposure_gsmr_se	gap_wm_exposure_gsmr_p	gap_wm_exposure_gsmr_fdr	gap_wm_exposure_ivw_p	gap_wm_exposure_divw_p	gap_wm_exposure_pivw_p	gap_wm_exposure_median_p	gap_wm_exposure_egger_p	gap_wm_exposure_ml_p	gap_wm_exposure_mbe_p	gap_wm_exposure_cm_p	gap_wm_exposure_lasso_p	gap_wm_exposure_sum_p05	NA.3	gap_gwm_exposure_n_snps_total	gap_gwm_exposure_n_snps_HEIDI	gap_gwm_exposure_gsmr_beta	gap_gwm_exposure_gsmr_se	gap_gwm_exposure_gsmr_p	gap_gwm_exposure_gsmr_fdr	gap_gwm_exposure_ivw_p	gap_gwm_exposure_divw_p	gap_gwm_exposure_pivw_p	gap_gwm_exposure_median_p	gap_gwm_exposure_egger_p	gap_gwm_exposure_ml_p	gap_gwm_exposure_mbe_p	gap_gwm_exposure_cm_p	gap_gwm_exposure_lasso_p	gap_gwm_exposure_sum_p05	NA.5
mr_ldlc_willer_2013	0.00105547	0.01161017		19	17	0.00374826	0.00759103	0.621465	0.678925	0.180842775208591	0.186496819979922	0.166	0.608100896818436	0.917722776786186	0.177544159197749	0.803535900249976	1	0.156572216738516	0		28	26	-0.000789501	0.00556866	0.887257	0.932837	0.675724944960697	0.672375095155604	0.664	0.757489860570829	0.536504169731988	0.687463076552456	0.276890205360946	0.26824485146089	0.165226999490586	0		34	28	0.0197938	0.00604333	0.00105547	0.01161017	0.921949377272919	0.921768726876837	0.918	0.0210579400566067	0.753805168093719	0.921299533783844	0.139693288595412	0.019304842839682	1	3	
mr_cad_nikpay_2015	0.00266823	0.0131802825		21	18	0.0382797	0.0155082	0.013574	0.074657	0.750798951348607	0.745815593390075	0.753	0.207640718944233	0.927801744673533	0.738124085456946	0.14388961191044	0.282317347249623	0.11135047093941	1		32	31	0.0335768	0.0111789	0.00266823	0.0131802825	0.292990504374341	0.286001089833748	0.306	0.0666966025346887	0.907878817214995	0.293572585996799	0.172942064964358	0.0922867591301631	1	1		36	33	0.0195226	0.0119266	0.101653	0.2641562	0.898986924575059	0.89686806968216	0.909	0.399661711034848	0.778258252291008	0.897859550187535	0.187071696888165	0.20790134592916	0.53603739193298	0	
mr_sbp_noUKB_evangelou_2018	0.00331174	0.0131802825		21	18	-0.00261061	0.0041708	0.531364	0.678925	0.978573065593968	0.977908328317511	0.977	0.998651525392079	0.00760966377918537	0.97899569619178	0.62931073121254	1	0.267995498141757	1		32	31	-0.0090251	0.00307267	0.00331174	0.0131802825	0.022448529103938	0.0201398224819296	0.02	0.433395215529163	0.187917210108292	0.0233584374195391	0.31294739605187	1	0.399184058735414	5		36	35	-0.00496153	0.00319177	0.120071	0.2641562	0.158113923610452	0.148990747784907	0.138	0.570812169663756	0.00321555596234013	0.160042841424927	0.586919316903857	0.31413413057211	0.874347017385765	1	
mr_dbp_noUKB_evangelou_2018	0.00389442	0.0131802825		21	14	-0.0039114	0.00443562	0.377876	0.678925	0.836237964473908	0.831187258422508	0.846	0.799193433837702	0.010919864324678	0.820822540724751	0.806557782651028	0.18862150317096	0.115260422288671	1		32	30	-0.00872544	0.00302275	0.00389442	0.0131802825	0.0174010997045217	0.0155256579094054	0.014	0.114745628826906	0.142919845979844	0.0193424348089988	0.210562833719364	0.301597755086227	0.0575607903955514	5		36	31	-0.00596296	0.00323302	0.0651255	0.2641562	0.183891061037265	0.173543120706547	0.173	0.194687673301364	0.0216837406112635	0.199737103885552	0.246002047308841	1	0.859624986437376	1	
mr_pp_noUKB_evangelou_2018	0.00479283	0.0131802825		21	21	-0.00381201	0.00394038	0.333333	0.678925	0.473454424241801	0.461173487719266	0.418	0.683781946649152	0.0843740885707425	0.475418899935301	0.584686481102085	0.275052636242962	0.473454424241801	0		32	28	-0.00900159	0.00319133	0.00479283	0.0131802825	0.210066036170476	0.201984791251509	0.221	0.116218001318394	0.619487604103009	0.209831099001466	0.156147428853182	0.192807037569047	0.150515071003701	1		36	35	-0.00188391	0.0031916	0.55501	0.6263026	0.457944483451018	0.448887264952674	0.444	0.725176112115308	0.0773040001783314	0.444997111314488	0.280627002677011	0.140831163643782	0.382300624163529	0	
mr_bmi_locke_2015	0.0128087	0.074657		19	18	0.0113914	0.00457662	0.0128087	0.074657	0.433629211416999	0.422778153742309	0.404	0.167256486094363	0.996979915409709	0.429530605282163	0.145582252821153	0.0520496730042671	0.0133472212761259	2		27	25	0.00437188	0.0036605	0.232345	0.511159	0.819099926948603	0.816777813785665	0.809	0.356344441335239	0.627993537757256	0.817759389231291	0.321737957716525	0.0663209244492443	0.984220276290683	0		34	31	0.00591804	0.00367856	0.107662	0.2641562	0.732809823950689	0.726729481008192	0.732	0.379337909878518	0.784225128273757	0.727598848414568	0.264783278468902	0.0654998023721354	0.58786799945393	0	
mr_scz_trubetskoy_2022	0.0306868	0.112518266666667		21	17	0.0317391	0.0146865	0.0306868	0.112518266666667	0.715487717609045	0.707740515329319	0.711	0.320332663737623	0.576744006185464	0.701916090478437	0.430403330841804	0.40693662855431	0.0828975210791571	1		33	28	0.000937862	0.0111285	0.932837	0.932837	0.968360075207881	0.96819037955367	0.968	0.390083529059029	0.188006410512964	0.966301883756349	0.369950427824577	0.736287773130254	1	0		36	29	0.00896602	0.0118998	0.451174	0.6263026	0.783057094519118	0.778747187722324	0.771	0.474147705467606	0.439072154579421	0.782458628946841	0.605017282542057	0.837804969102771	0.453904125704185	0	
mr_t2d_scott_2017	0.158028	0.434577		21	20	0.0257301	0.0182259	0.158028	0.434577	0.165802046490939	0.154605611280513	0.162	0.260905448492566	0.684754514180076	0.16722397215205	0.246553873888952	0.156149402018014	0.263793650406722	0		33	30	0.0075126	0.0143278	0.600045	0.825061875	0.510987769701442	0.509841712148367	0.522	0.361590281671609	0.110228370983116	0.505335813402223	0.307971393898618	0.241931191237259	0.735346560900252	0		36	34	0.00331995	0.0148351	0.822921	0.822921	0.821559421514665	0.818597353589834	0.813	0.460869155343175	0.749258422297379	0.817841760411652	0.3445205770825	0.15623368132617	0.29324940542883	0	
mr_trigl_willer_2013	0.292615	0.536460833333333		19	17	-0.00301807	0.00729125	0.678925	0.678925	0.300240388470489	0.300309818825419	0.294	0.269241377782701	0.529215896545227	0.28206585780499	0.440309979855587	1	0.71702693190321	0		28	27	0.00574424	0.00545822	0.292615	0.536460833333333	0.301867453675831	0.296076752159333	0.275	0.998676780361328	0.622758073269923	0.299228538110667	0.579559585705646	0.618516272644793	0.571883339498475	0		33	31	-0.00540543	0.00562479	0.336552	0.617012	0.542304624054478	0.535992499581603	0.52	0.293976129959783	0.848639617642852	0.532620500999147	0.360165743008809	0.3715760681801	0.376695049728627	0	
mr_hdlc_willer_2013	0.484651	0.6263026		19	18	0.00339834	0.00704285	0.629434	0.678925	0.55993274048486	0.558758575451173	0.547	0.63751742771354	0.0858808193179648	0.556166989306425	0.565877471291614	1	0.490543852234975	0		28	26	-0.00384175	0.00549731	0.484651	0.761594428571429	0.591532890777644	0.586503447326174	0.577	0.910393883716132	0.560733372644308	0.592506289018086	0.678842179861131	0.771831780034926	0.551235680019497	0		33	32	-0.00311278	0.00547075	0.569366	0.6263026	0.953651090819889	0.952938875113496	0.962	0.943965852173854	0.354822365384812	0.953848380257536	0.882640825056122	0.797362941031577	0.93259140573855	0	
