label	top_gsmr_p	top_gsmr_fdr	NA.	gap_gm_exposure_n_snps_total	gap_gm_exposure_n_snps_HEIDI	gap_gm_exposure_gsmr_beta	gap_gm_exposure_gsmr_se	gap_gm_exposure_gsmr_p	gap_gm_exposure_gsmr_fdr	gap_gm_exposure_ivw_p	gap_gm_exposure_divw_p	gap_gm_exposure_pivw_p	gap_gm_exposure_median_p	gap_gm_exposure_egger_p	gap_gm_exposure_ml_p	gap_gm_exposure_mbe_p	gap_gm_exposure_cm_p	gap_gm_exposure_mrpresso_p	gap_gm_exposure_sum_p05	NA.1	gap_gm_outcome_n_snps_total	gap_gm_outcome_n_snps_HEIDI	gap_gm_outcome_gsmr_beta	gap_gm_outcome_gsmr_se	gap_gm_outcome_gsmr_p	gap_gm_outcome_gsmr_fdr	gap_gm_outcome_ivw_p	gap_gm_outcome_divw_p	gap_gm_outcome_pivw_p	gap_gm_outcome_median_p	gap_gm_outcome_egger_p	gap_gm_outcome_ml_p	gap_gm_outcome_mbe_p	gap_gm_outcome_cm_p	gap_gm_outcome_mrpresso_p	gap_gm_outcome_sum_p05	NA.2	gap_wm_exposure_n_snps_total	gap_wm_exposure_n_snps_HEIDI	gap_wm_exposure_gsmr_beta	gap_wm_exposure_gsmr_se	gap_wm_exposure_gsmr_p	gap_wm_exposure_gsmr_fdr	gap_wm_exposure_ivw_p	gap_wm_exposure_divw_p	gap_wm_exposure_pivw_p	gap_wm_exposure_median_p	gap_wm_exposure_egger_p	gap_wm_exposure_ml_p	gap_wm_exposure_mbe_p	gap_wm_exposure_cm_p	gap_wm_exposure_mrpresso_p	gap_wm_exposure_sum_p05	NA.3	gap_wm_outcome_n_snps_total	gap_wm_outcome_n_snps_HEIDI	gap_wm_outcome_gsmr_beta	gap_wm_outcome_gsmr_se	gap_wm_outcome_gsmr_p	gap_wm_outcome_gsmr_fdr	gap_wm_outcome_ivw_p	gap_wm_outcome_divw_p	gap_wm_outcome_pivw_p	gap_wm_outcome_median_p	gap_wm_outcome_egger_p	gap_wm_outcome_ml_p	gap_wm_outcome_mbe_p	gap_wm_outcome_cm_p	gap_wm_outcome_mrpresso_p	gap_wm_outcome_sum_p05	NA.4	gap_gwm_exposure_n_snps_total	gap_gwm_exposure_n_snps_HEIDI	gap_gwm_exposure_gsmr_beta	gap_gwm_exposure_gsmr_se	gap_gwm_exposure_gsmr_p	gap_gwm_exposure_gsmr_fdr	gap_gwm_exposure_ivw_p	gap_gwm_exposure_divw_p	gap_gwm_exposure_pivw_p	gap_gwm_exposure_median_p	gap_gwm_exposure_egger_p	gap_gwm_exposure_ml_p	gap_gwm_exposure_mbe_p	gap_gwm_exposure_cm_p	gap_gwm_exposure_mrpresso_p	gap_gwm_exposure_sum_p05	NA.5	gap_gwm_outcome_n_snps_total	gap_gwm_outcome_n_snps_HEIDI	gap_gwm_outcome_gsmr_beta	gap_gwm_outcome_gsmr_se	gap_gwm_outcome_gsmr_p	gap_gwm_outcome_gsmr_fdr	gap_gwm_outcome_ivw_p	gap_gwm_outcome_divw_p	gap_gwm_outcome_pivw_p	gap_gwm_outcome_median_p	gap_gwm_outcome_egger_p	gap_gwm_outcome_ml_p	gap_gwm_outcome_mbe_p	gap_gwm_outcome_cm_p	gap_gwm_outcome_mrpresso_p	gap_gwm_outcome_sum_p05
Diastolic Blood Pressure (Evangelou et al. 2018)	6.93829e-10	8.325948e-09		21	14	-0.0039114	0.00443562	0.377876	0.678925	0.836237964473908	0.831187258422508	0.846	0.799193433837702	0.010919864324678	0.820822540724751	0.806557782651028	0.18862150317096	0.838327882579462	1		146	135	0.55873	0.0928593	1.77731e-09	2.132772e-08	0.0342487877459561	0.0332255205783773	0.034	0.000381116498223336	0.0270933404287454	0.0315736777037643	0.0297270484323092	1.9126517019265e-06	0.035955757109684	10		32	30	-0.00872544	0.00302275	0.00389442	0.0131802825	0.0174010997045217	0.0155256579094054	0.014	0.114745628826906	0.142919845979844	0.0193424348089988	0.210562833719364	0.301597755086227	0.0237486007887267	6		146	137	0.421704	0.0922155	4.80728e-06	5.768736e-05	0.171456766304407	0.169000371701701	0.164	0.0153595628912938	0.0319688864190577	0.16438645166811	0.34460956789104	0.00527564401873012	0.173572724183793	4		36	31	-0.00596296	0.00323302	0.0651255	0.2641562	0.183891061037265	0.173543120706547	0.173	0.194687673301364	0.0216837406112635	0.199737103885552	0.246002047308841	1	0.192489840737147	1		146	135	0.549962	0.0891711	6.93829e-10	8.325948e-09	0.0617171256734045	0.0602083886968594	0.054	0.000136210037514049	0.0212158760330166	0.0595891771604844	0.00656308675185355	5.60659135089676e-07	0.0637349118513798	5
Systolic Blood Pressure (Evangelou et al. 2018)	2.04236e-06	1.225416e-05		21	18	-0.00261061	0.0041708	0.531364	0.678925	0.978573065593968	0.977908328317511	0.977	0.998651525392079	0.00760966377918537	0.97899569619178	0.62931073121254	1	0.978839252524526	1		144	138	0.42975	0.0904892	2.04236e-06	1.225416e-05	0.0634150061628998	0.0622092089814547	0.066	0.00049116165009758	0.367300385653276	0.0604008387954876	0.0566547837748176	5.08268032240886e-06	0.0654729152897058	3		32	31	-0.0090251	0.00307267	0.00331174	0.0131802825	0.022448529103938	0.0201398224819296	0.02	0.433395215529163	0.187917210108292	0.0233584374195391	0.31294739605187	1	0.0294633651810608	6		144	137	0.30837	0.0915339	0.000754634	0.004527804	0.355297503794646	0.353085315562921	0.361	0.202772642784778	0.666979742893652	0.353207975460922	0.423243244614018	0.000267157652526693	0.356854691696124	2		36	35	-0.00496153	0.00319177	0.120071	0.2641562	0.158113923610452	0.148990747784907	0.138	0.570812169663756	0.00321555596234013	0.160042841424927	0.586919316903857	0.31413413057211	0.166942324844755	1		144	137	0.382378	0.088038	1.40337e-05	8.42022e-05	0.13809844733935	0.136281607108621	0.13	0.00057141500551742	0.471358293589073	0.135453028060928	0.0125912151708541	4.14396877921373e-06	0.140298990728785	4
Type-2-Diabetes (Scptt et al. 2017)	0.000564564	0.002258256		21	20	0.0257301	0.0182259	0.158028	0.434577	0.165802046490939	0.154605611280513	0.162	0.260905448492566	0.684754514180076	0.16722397215205	0.246553873888952	0.156149402018014	0.181061752371162	0		41	39	0.0770226	0.0353596	0.0293863	0.07052712	0.138474938497079	0.134168613673692	0.142	0.111255511223247	0.841709189344851	0.130660382647326	0.119210936746675	0.0287674376465797	0.146310259511056	2		33	30	0.0075126	0.0143278	0.600045	0.825061875	0.510987769701442	0.509841712148367	0.522	0.361590281671609	0.110228370983116	0.505335813402223	0.307971393898618	0.241931191237259	0.515688051668759	0		41	38	0.115351	0.0354737	0.00114704	0.00458816	0.171612045477975	0.1670755015352	0.158	0.0187389611265414	0.230443125307128	0.166104512140772	0.02068655267894	0.000298657408491542	0.179246108730268	4		36	34	0.00331995	0.0148351	0.822921	0.822921	0.821559421514665	0.818597353589834	0.813	0.460869155343175	0.749258422297379	0.817841760411652	0.3445205770825	0.15623368132617	0.822871233829801	0		41	37	0.118356	0.0343251	0.000564564	0.002258256	0.152416069735871	0.148055073955621	0.144	0.0436030763066419	0.431203160839085	0.146960978541561	0.0244570671021635	0.000911617751081739	0.160182905758441	4
LDL-c (Willer et al. 2013)	0.00105547	0.01161017		19	17	0.00374826	0.00759103	0.621465	0.678925	0.180842775208591	0.186496819979922	0.166	0.608100896818436	0.917722776786186	0.177544159197749	0.803535900249976	1	0.197503011742509	0		80	74	-0.0143879	0.0438892	0.743046	0.810595636363636	0.700153671384216	0.669387514589027	0.664	0.0230640220351916	0.242155877093994	0.701764707307551	0.43855074054846	0.152376899440774	0.701188599410703	1		28	26	-0.000789501	0.00556866	0.887257	0.932837	0.675724944960697	0.672375095155604	0.664	0.757489860570829	0.536504169731988	0.687463076552456	0.276890205360946	0.26824485146089	0.679033454071138	0		80	72	-0.0192182	0.0438125	0.660918	0.866395	0.941960274429622	0.935809017920582	0.946	0.152237870181657	0.339157949341198	0.942522109146908	0.405574244731635	0.541671759134209	0.94214429475254	0		34	28	0.0197938	0.00604333	0.00105547	0.01161017	0.921949377272919	0.921768726876837	0.918	0.0210579400566067	0.753805168093719	0.921299533783844	0.139693288595412	0.019304842839682	0.922542085599507	3		80	74	-0.00890111	0.0419848	0.832101	0.907746545454545	0.808439177668303	0.787066877765752	0.786	0.235499254114082	0.264482797039224	0.807555290175648	0.428556326912078	0.142907490790456	0.809067481957463	0
Coronary Artery Disease (Nikpay et al. 2015)	0.00266823	0.0131802825		21	18	0.0382797	0.0155082	0.013574	0.074657	0.750798951348607	0.745815593390075	0.753	0.207640718944233	0.927801744673533	0.738124085456946	0.14388961191044	0.282317347249623	0.754090811364784	1		44	42	0.0433107	0.0427151	0.31061	0.414146666666667	0.902452999709945	0.902290685910554	0.907	0.880582054900104	0.212363814340922	0.901792480370683	0.246040917169782	0.145069008406467	0.903024046267759	0		32	31	0.0335768	0.0111789	0.00266823	0.0131802825	0.292990504374341	0.286001089833748	0.306	0.0666966025346887	0.907878817214995	0.293572585996799	0.172942064964358	0.0922867591301631	0.301119086056542	1		44	40	0.107858	0.0466439	0.0207573	0.0622719	0.767469448802024	0.767399997619326	0.758	0.564388478439558	0.150574328422872	0.759783647104719	0.657822087189831	0.0832024194910184	0.768892672563692	1		36	33	0.0195226	0.0119266	0.101653	0.2641562	0.898986924575059	0.89686806968216	0.909	0.399661711034848	0.778258252291008	0.897859550187535	0.187071696888165	0.20790134592916	0.899713419187678	0		44	40	0.113986	0.0448504	0.0110384	0.0331152	0.908426665297107	0.908386848793893	0.915	0.878969373040153	0.163123144827973	0.913195272912093	0.87804188609854	0.0969004304952005	0.90896211738351	1
Pulse Pressure (Evangelou et al. 2018)	0.00479283	0.0131802825		21	21	-0.00381201	0.00394038	0.333333	0.678925	0.473454424241801	0.461173487719266	0.418	0.683781946649152	0.0843740885707425	0.475418899935301	0.584686481102085	0.275052636242962	0.481743068303726	0		100	96	-0.0231923	0.116396	0.842065	0.842065	0.782187744820743	0.780605551159721	0.783	0.661088512724513	0.54750794024086	0.781938579927561	0.210085080634621	0.0405252353402755	0.782764104837659	1		32	28	-0.00900159	0.00319133	0.00479283	0.0131802825	0.210066036170476	0.201984791251509	0.221	0.116218001318394	0.619487604103009	0.209831099001466	0.156147428853182	0.192807037569047	0.219437140122548	1		100	98	-0.0194474	0.115594	0.866395	0.866395	0.536427099869885	0.533472329112879	0.526	0.834145997703697	0.757350012672185	0.541723031290048	0.425760562990542	0.100166936590409	0.537846813300416	0		36	35	-0.00188391	0.0031916	0.55501	0.6263026	0.457944483451018	0.448887264952674	0.444	0.725176112115308	0.0773040001783314	0.444997111314488	0.280627002677011	0.140831163643782	0.462896863390532	0		100	97	-0.00315834	0.110967	0.977294	0.977294	0.823847950074997	0.822549247748847	0.822	0.74286900560552	0.622723599057975	0.822169928075203	0.147418802204777	0.47510673720938	0.824306551287512	0
Triglyceride (Willer et al. 2013)	0.0202239	0.07052712		19	17	-0.00301807	0.00729125	0.678925	0.678925	0.300240388470489	0.300309818825419	0.294	0.269241377782701	0.529215896545227	0.28206585780499	0.440309979855587	1	0.313957800826273	0		60	57	0.14987	0.0645386	0.0202239	0.07052712	0.0763649193258614	0.0604462063501116	0.069	0.309782362866488	0.453686501937468	0.0755295681287784	0.743131609807343	0.475274556965958	0.0815281089042006	1		28	27	0.00574424	0.00545822	0.292615	0.536460833333333	0.301867453675831	0.296076752159333	0.275	0.998676780361328	0.622758073269923	0.299228538110667	0.579559585705646	0.618516272644793	0.311027270862946	0		60	53	-0.0181877	0.0663285	0.783927	0.866395	0.320237361837028	0.28932097682414	0.3	0.939409711461696	0.343974993662384	0.316428442872714	0.352412282525479	0.562659736884379	0.324296504768239	0		33	31	-0.00540543	0.00562479	0.336552	0.617012	0.542304624054478	0.535992499581603	0.52	0.293976129959783	0.848639617642852	0.532620500999147	0.360165743008809	0.3715760681801	0.546606889110667	0		60	56	0.0557333	0.0620997	0.369463	0.5541945	0.15745546821053	0.132555218532601	0.137	0.841203798307314	0.308392054131248	0.155174966251316	0.548945780394069	0.562566576699043	0.162710316054722	0
HDL-c (Willer et al. 2013)	0.0293456	0.07052712		19	18	0.00339834	0.00704285	0.629434	0.678925	0.55993274048486	0.558758575451173	0.547	0.63751742771354	0.0858808193179648	0.556166989306425	0.565877471291614	1	0.567164959097406	0		104	95	-0.116598	0.0535145	0.0293456	0.07052712	0.259446372010791	0.263519593617545	0.272	0.785004004535761	0.567994782985124	0.256673323969908	0.853101079715924	0.92393596510279	0.262066464647871	1		28	26	-0.00384175	0.00549731	0.484651	0.761594428571429	0.591532890777644	0.586503447326174	0.577	0.910393883716132	0.560733372644308	0.592506289018086	0.678842179861131	0.771831780034926	0.595927266914622	0		104	95	0.063943	0.0535793	0.232703	0.465406	0.448261327643443	0.452222687652088	0.453	0.567136148073109	0.591962994830943	0.444446927890343	0.681495977557375	0.752002347110316	0.449992988085564	0		33	32	-0.00311278	0.00547075	0.569366	0.6263026	0.953651090819889	0.952938875113496	0.962	0.943965852173854	0.354822365384812	0.953848380257536	0.882640825056122	0.797362941031577	0.954012530420469	0		104	94	-0.0152865	0.0514563	0.766407	0.907746545454545	0.913742071567413	0.914532243630573	0.915	0.902990543378075	0.545226679721835	0.915621250391917	0.876429662870832	0.255067909002952	0.91395280363593	0
Body-Mass-Index (Locke et al. 2015)	0.0128087	0.074657		19	18	0.0113914	0.00457662	0.0128087	0.074657	0.433629211416999	0.422778153742309	0.404	0.167256486094363	0.996979915409709	0.429530605282163	0.145582252821153	0.0520496730042671	0.443809670699045	1		75	72	0.138573	0.118942	0.244	0.366	0.26546199231208	0.264465046749481	0.271	0.278042943923234	0.0592782319436786	0.259207476254856	0.298723373263254	0.356016026459535	0.269066051315833	0		27	25	0.00437188	0.0036605	0.232345	0.511159	0.819099926948603	0.816777813785665	0.809	0.356344441335239	0.627993537757256	0.817759389231291	0.321737957716525	0.0663209244492443	0.820889260837399	0		75	69	-0.0248534	0.119934	0.835834	0.866395	0.78514307896678	0.78498114850539	0.778	0.43584328811409	0.837895292493513	0.784057009078035	0.371000235906822	0.121595065647407	0.785902387575994	0		34	31	0.00591804	0.00367856	0.107662	0.2641562	0.732809823950689	0.726729481008192	0.732	0.379337909878518	0.784225128273757	0.727598848414568	0.264783278468902	0.0654998023721354	0.734974148391774	0		75	71	0.0883988	0.113937	0.437834	0.583778666666667	0.573304494270071	0.572884898717372	0.575	0.126164127111577	0.358573974467202	0.57383998622507	0.308982154934092	0.13495863328749	0.575007046792466	0
Schizophrenia (Trubetskoy et al. 2022)	0.0306868	0.112518266666667		21	17	0.0317391	0.0146865	0.0306868	0.112518266666667	0.715487717609045	0.707740515329319	0.711	0.320332663737623	0.576744006185464	0.701916090478437	0.430403330841804	0.40693662855431	0.719313210642431	1		174	168	0.0374171	0.0281737	0.18415	0.315685714285714	0.82361187808929	0.82265995402676	0.829	0.836894561176276	0.0149182413936693	0.827814191407863	0.83088214558629	0.112543033765363	0.823874838325862	1		33	28	0.000937862	0.0111285	0.932837	0.932837	0.968360075207881	0.96819037955367	0.968	0.390083529059029	0.188006410512964	0.966301883756349	0.369950427824577	0.736287773130254	0.96860651625542	0		174	169	0.0213457	0.0279924	0.44573	0.764108571428571	0.66127452029932	0.659539504399294	0.653	0.62954436836774	0.00804055703959716	0.669888765621417	0.631350332078613	0.928700643134243	0.661821122627175	1		36	29	0.00896602	0.0118998	0.451174	0.6263026	0.783057094519118	0.778747187722324	0.771	0.474147705467606	0.439072154579421	0.782458628946841	0.605017282542057	0.837804969102771	0.784676118443208	0		174	170	0.0283538	0.0267052	0.288356	0.494324571428571	0.934146468962094	0.933779738922925	0.932	0.791450193933326	0.0069437336697491	0.934394707652285	0.961798591483706	0.770782553253955	0.934241995015841	1
