label	top_gsmr_p	top_gsmr_fdr	NA.	gap_gm_outcome_n_snps_total	gap_gm_outcome_n_snps_HEIDI	gap_gm_outcome_gsmr_beta	gap_gm_outcome_gsmr_se	gap_gm_outcome_gsmr_p	gap_gm_outcome_gsmr_fdr	gap_gm_outcome_ivw_p	gap_gm_outcome_divw_p	gap_gm_outcome_pivw_p	gap_gm_outcome_median_p	gap_gm_outcome_egger_p	gap_gm_outcome_ml_p	gap_gm_outcome_mbe_p	gap_gm_outcome_cm_p	gap_gm_outcome_lasso_p	gap_gm_outcome_sum_p05	NA.2	gap_wm_outcome_n_snps_total	gap_wm_outcome_n_snps_HEIDI	gap_wm_outcome_gsmr_beta	gap_wm_outcome_gsmr_se	gap_wm_outcome_gsmr_p	gap_wm_outcome_gsmr_fdr	gap_wm_outcome_ivw_p	gap_wm_outcome_divw_p	gap_wm_outcome_pivw_p	gap_wm_outcome_median_p	gap_wm_outcome_egger_p	gap_wm_outcome_ml_p	gap_wm_outcome_mbe_p	gap_wm_outcome_cm_p	gap_wm_outcome_lasso_p	gap_wm_outcome_sum_p05	NA.4	gap_gwm_outcome_n_snps_total	gap_gwm_outcome_n_snps_HEIDI	gap_gwm_outcome_gsmr_beta	gap_gwm_outcome_gsmr_se	gap_gwm_outcome_gsmr_p	gap_gwm_outcome_gsmr_fdr	gap_gwm_outcome_ivw_p	gap_gwm_outcome_divw_p	gap_gwm_outcome_pivw_p	gap_gwm_outcome_median_p	gap_gwm_outcome_egger_p	gap_gwm_outcome_ml_p	gap_gwm_outcome_mbe_p	gap_gwm_outcome_cm_p	gap_gwm_outcome_lasso_p	gap_gwm_outcome_sum_p05
Diastolic Blood Pressure (Evangelou et al. 2018)	6.93829e-10	8.325948e-09		146	135	0.55873	0.0928593	1.77731e-09	2.132772e-08	0.0342487877459561	0.0332255205783773	0.034	0.000381116498223336	0.0270933404287454	0.0315736777037643	0.0297270484323092	1.9126517019265e-06	1.27951498407429e-08	10		146	137	0.421704	0.0922155	4.80728e-06	5.768736e-05	0.171456766304407	0.169000371701701	0.164	0.0153595628912938	0.0319688864190577	0.16438645166811	0.34460956789104	0.00527564401873012	3.06472322443774e-05	5		146	135	0.549962	0.0891711	6.93829e-10	8.325948e-09	0.0617171256734045	0.0602083886968594	0.054	0.000136210037514049	0.0212158760330166	0.0595891771604844	0.00656308675185355	5.60659135089676e-07	8.78700653584383e-08	6
Systolic Blood Pressure (Evangelou et al. 2018)	2.04236e-06	1.225416e-05		144	138	0.42975	0.0904892	2.04236e-06	1.225416e-05	0.0634150061628998	0.0622092089814547	0.066	0.00049116165009758	0.367300385653276	0.0604008387954876	0.0566547837748176	5.08268032240886e-06	1.21592630132334e-07	4		144	137	0.30837	0.0915339	0.000754634	0.004527804	0.355297503794646	0.353085315562921	0.361	0.202772642784778	0.666979742893652	0.353207975460922	0.423243244614018	0.000267157652526693	0.00130727042386832	3		144	137	0.382378	0.088038	1.40337e-05	8.42022e-05	0.13809844733935	0.136281607108621	0.13	0.00057141500551742	0.471358293589073	0.135453028060928	0.0125912151708541	4.14396877921373e-06	2.08399110700921e-06	5
Type-2-Diabetes (Scptt et al. 2017)	0.000564564	0.002258256		41	39	0.0770226	0.0353596	0.0293863	0.07052712	0.138474938497079	0.134168613673692	0.142	0.111255511223247	0.841709189344851	0.130660382647326	0.119210936746675	0.0287674376465797	0.0342798644977635	3		41	38	0.115351	0.0354737	0.00114704	0.00458816	0.171612045477975	0.1670755015352	0.158	0.0187389611265414	0.230443125307128	0.166104512140772	0.02068655267894	0.000298657408491542	4.29102075048008e-05	5		41	37	0.118356	0.0343251	0.000564564	0.002258256	0.152416069735871	0.148055073955621	0.144	0.0436030763066419	0.431203160839085	0.146960978541561	0.0244570671021635	0.000911617751081739	0.000556897372362515	5
Coronary Artery Disease (Nikpay et al. 2015)	0.0110384	0.0331152		44	42	0.0433107	0.0427151	0.31061	0.414146666666667	0.902452999709945	0.902290685910554	0.907	0.880582054900104	0.212363814340922	0.901792480370683	0.246040917169782	0.145069008406467	0.307257794373371	0		44	40	0.107858	0.0466439	0.0207573	0.0622719	0.767469448802024	0.767399997619326	0.758	0.564388478439558	0.150574328422872	0.759783647104719	0.657822087189831	0.0832024194910184	0.0122559598238465	2		44	40	0.113986	0.0448504	0.0110384	0.0331152	0.908426665297107	0.908386848793893	0.915	0.878969373040153	0.163123144827973	0.913195272912093	0.87804188609854	0.0969004304952005	0.161012337775945	1
Triglyceride (Willer et al. 2013)	0.0202239	0.07052712		60	57	0.14987	0.0645386	0.0202239	0.07052712	0.0763649193258614	0.0604462063501116	0.069	0.309782362866488	0.453686501937468	0.0755295681287784	0.743131609807343	0.475274556965958	0.148588381149493	1		60	53	-0.0181877	0.0663285	0.783927	0.866395	0.320237361837028	0.28932097682414	0.3	0.939409711461696	0.343974993662384	0.316428442872714	0.352412282525479	0.562659736884379	0.818690691908597	0		60	56	0.0557333	0.0620997	0.369463	0.5541945	0.15745546821053	0.132555218532601	0.137	0.841203798307314	0.308392054131248	0.155174966251316	0.548945780394069	0.562566576699043	0.203731007044912	0
HDL-c (Willer et al. 2013)	0.0293456	0.07052712		104	95	-0.116598	0.0535145	0.0293456	0.07052712	0.259446372010791	0.263519593617545	0.272	0.785004004535761	0.567994782985124	0.256673323969908	0.853101079715924	0.92393596510279	0.686867524254418	1		104	95	0.063943	0.0535793	0.232703	0.465406	0.448261327643443	0.452222687652088	0.453	0.567136148073109	0.591962994830943	0.444446927890343	0.681495977557375	0.752002347110316	0.582376725857023	0		104	94	-0.0152865	0.0514563	0.766407	0.907746545454545	0.913742071567413	0.914532243630573	0.915	0.902990543378075	0.545226679721835	0.915621250391917	0.876429662870832	0.255067909002952	0.810520545855604	0
Waist-Hip-Ratio (Shungin et al. 2015)	0.106138	0.212276		38	38	0.237154	0.146772	0.106138	0.212276	0.223222854536781	0.220369640889518	0.241	0.409765937627252	0.126425570423119	0.217025696221405	0.38656647435679	0.622839201647902	0.349827718418509	0		38	37	0.0436067	0.147692	0.7678	0.866395	0.567125907255517	0.565130312918122	0.594	0.890854512835947	0.141658658475788	0.560507270280407	0.847902244674915	0.37600572504297	0.443509926054404	0		38	38	0.178645	0.140058	0.202129	0.4167	0.362332915733037	0.359855274100504	0.387	0.950687531163003	0.0886367429802857	0.353053843585193	0.58495894457788	0.461096256241538	0.401187729926472	0
Educational attainment (Okbay et al. 2016)	0.109757	0.2634168		28	28	0.12658	0.232258	0.585757	0.7029084	0.689761504766569	0.685338769752329	0.69	0.471542469563205	0.134055482536039	0.68004930908143	0.704884336247753	0.59615613979093	1	0		28	28	0.370258	0.231515	0.109757	0.2634168	0.196250935849571	0.189221219794556	0.192	0.599077626018799	0.21730129093771	0.192392243752057	0.898788934657861	0.174905634515512	0.196250935849571	0		28	28	0.27891	0.221688	0.20835	0.4167	0.346569724873822	0.33925892146351	0.338	0.951627855667778	0.143415816969834	0.337905694723265	0.88846516610558	0.539380233029664	0.346569724873822	0
Schizophrenia (Trubetskoy et al. 2022)	0.18415	0.315685714285714		174	168	0.0374171	0.0281737	0.18415	0.315685714285714	0.82361187808929	0.82265995402676	0.829	0.836894561176276	0.0149182413936693	0.827814191407863	0.83088214558629	0.112543033765363	0.521798763178417	1		174	169	0.0213457	0.0279924	0.44573	0.764108571428571	0.66127452029932	0.659539504399294	0.653	0.62954436836774	0.00804055703959716	0.669888765621417	0.631350332078613	0.928700643134243	0.841216807720666	1		174	170	0.0283538	0.0267052	0.288356	0.494324571428571	0.934146468962094	0.933779738922925	0.932	0.791450193933326	0.0069437336697491	0.934394707652285	0.961798591483706	0.770782553253955	0.664235177064796	1
Body-Mass-Index (Locke et al. 2015)	0.244	0.366		75	72	0.138573	0.118942	0.244	0.366	0.26546199231208	0.264465046749481	0.271	0.278042943923234	0.0592782319436786	0.259207476254856	0.298723373263254	0.356016026459535	0.110014329322879	0		75	69	-0.0248534	0.119934	0.835834	0.866395	0.78514307896678	0.78498114850539	0.778	0.43584328811409	0.837895292493513	0.784057009078035	0.371000235906822	0.121595065647407	0.182897916855826	0		75	71	0.0883988	0.113937	0.437834	0.583778666666667	0.573304494270071	0.572884898717372	0.575	0.126164127111577	0.358573974467202	0.57383998622507	0.308982154934092	0.13495863328749	0.629310083989446	0
