annotation	Prop._SNPs	top_Enrichment	top_Enrichment_p	top_Enrichment_FDR	NA	gap_gm_Prop._h2	gap_gm_Enrichment	gap_gm_Enrichment_p	gap_gm_Enrichment_FDR	NA.1	gap_wm_Prop._h2	gap_wm_Enrichment	gap_wm_Enrichment_p	gap_wm_Enrichment_FDR	NA.2	gap_gwm_Prop._h2	gap_gwm_Enrichment	gap_gwm_Enrichment_p	gap_gwm_Enrichment_FDR
CNS	0.148408052863545	3.36697945352618	3.59243396174848e-12	3.59243396174848e-11		0.475847623984913	3.20634638621958	5.94353749146108e-08	5.94353749146108e-07		0.499686864729385	3.36697945352618	3.59243396174848e-12	3.59243396174848e-11		0.499629695119065	3.36659423446821	5.40999909890085e-11	5.40999909890085e-10
Connective or bone	0.114068254176747	3.28018964962916	1.22334148061574e-06	6.11670740307872e-06		0.374165506701832	3.28018964962916	1.98179542521931e-06	9.90897712609656e-06		0.326253022051075	2.86015617934813	5.81160207268663e-06	2.51078196372737e-05		0.345408870506751	3.02808939261529	1.22334148061574e-06	6.11670740307872e-06
Other	0.201650048254039	2.5370873414316	3.11640654336913e-06	1.03880218112304e-05		0.49992463423597	2.47916942527166	8.57353108617113e-06	2.85784369539038e-05		0.509343881509323	2.52588028576938	7.53234589118211e-06	2.51078196372737e-05		0.511603784824393	2.5370873414316	3.11640654336913e-06	1.03880218112304e-05
Kidney	0.0424479534936075	3.78458828925495	0.000427406956748586	0.00106851739187146		0.160648027694746	3.78458828925495	0.00453712708946473	0.0113428177236618		0.15745208480616	3.70929743008391	0.000427406956748586	0.00106851739187146		0.156718890737122	3.69202465227736	0.00160219848380353	0.00400549620950883
Adrenal or pancreas	0.0928530844421362	1.87858085631547	0.757352607416303	0.999552981207452		0.137129446212715	1.47684319844184	0.805806389623249	0.999581500570282		0.17443202688284	1.87858085631547	0.945540985198949	0.999870226593532		0.128903647976871	1.38825380709028	0.757352607416303	0.999552981207452
Immune or hematopoietic	0.232526090983314	1.67841719174154	0.936981855281374	0.999552981207452		0.390275788634852	1.67841719174154	0.977857092333803	0.999581500570282		0.349961793278724	1.50504311924221	0.960943917862251	0.999870226593532		0.342901504140122	1.47467969159955	0.936981855281374	0.999552981207452
Liver	0.0718033187841492	2.47405225026634	0.977317723990875	0.999552981207452		0.168195164284947	2.3424427607666	0.977317723990875	0.999581500570282		0.177645162414516	2.47405225026634	0.994893530195907	0.999870226593532		0.173379970710453	2.41465121175885	0.991853081563841	0.999552981207452
Cardiovascular	0.110699110693072	2.87348865779895	0.996715257078399	0.999552981207452		0.27687560895697	2.50115477191723	0.996715257078399	0.999581500570282		0.318092639004972	2.87348865779895	0.999829003400003	0.999870226593532		0.287334856121664	2.59563834183221	0.99861554231106	0.999552981207452
Gastrointestinal	0.167287099706617	2.2705191526639	0.997966192963532	0.999552981207452		0.373924222956693	2.23522449496984	0.997966192963532	0.999581500570282		0.37982856387747	2.2705191526639	0.999263746922226	0.999870226593532		0.372139643592082	2.2245567305831	0.998472122780732	0.999552981207452
Skeletal muscle	0.103076935206727	2.79358620906727	0.999552981207452	0.999552981207452		0.2794360242019	2.71094618443469	0.999581500570282	0.999581500570282		0.287954304666434	2.79358620906727	0.999870226593532	0.999870226593532		0.267717632671748	2.59726030983385	0.999552981207452	0.999552981207452
