annotation	Prop._SNPs	top_Enrichment	top_Enrichment_p	top_Enrichment_FDR	NA	gap_gm_Prop._h2	gap_gm_Enrichment	gap_gm_Enrichment_p	gap_gm_Enrichment_FDR	NA.1	gap_wm_Prop._h2	gap_wm_Enrichment	gap_wm_Enrichment_p	gap_wm_Enrichment_FDR	NA.2	gap_gwm_Prop._h2	gap_gwm_Enrichment	gap_gwm_Enrichment_p	gap_gwm_Enrichment_FDR
Super Enhancer (Hnisz)	0.167206746204891	2.62135847319029	1.26421416009054e-18	3.91906389628069e-17		0.425822644004846	2.54668339447892	2.62594034452577e-16	8.1404150680299e-15		0.425895090486768	2.54711666935309	1.99103461426159e-17	6.17220730421094e-16		0.438308820938768	2.62135847319029	1.26421416009054e-18	3.91906389628069e-17
H3K27ac (Hnisz)	0.389043808427187	1.89479774667874	7.4835484776002e-11	1.15995001402803e-09		0.71839599947888	1.8465683913161	7.4835484776002e-11	1.15995001402803e-09		0.721343560857841	1.85414481668289	0.999999999998313	0.999999999998313		0.73715933156715	1.89479774667874	0.999999999999604	0.999999999999604
Conserved (Mammal)	0.0214394549784698	12.3967490017872	2.11282232437057e-05	0.000327487460277438		0.252832961950624	11.7928819647947	4.79747461091265e-05	0.000470009371570857		0.250351167634392	11.6771236902152	8.44910428217567e-05	0.000873074109158152		0.265779542103207	12.3967490017872	2.11282232437057e-05	0.000327487460277438
Conserved (Vertebrate)	0.0294360542974948	8.81849292856664	6.06463705252718e-05	0.000470009371570857		0.259581636667362	8.81849292856664	6.06463705252718e-05	0.000470009371570857		0.187618362358406	6.37376057477831	0.993905474304872	0.999999999998313		0.227024510096773	7.71246403483141	0.999323602640647	0.999999999999604
Conserved (Primate)	0.0192690716687812	11.6267818612786	6.23785279570022e-05	0.000873074109158152		0.224037292962263	11.6267818612786	0.000658569785762056	0.00255195791982797		0.208963986053878	10.8445279381275	6.23785279570022e-05	0.000873074109158152		0.202796696418276	10.5244663523068	0.000118151851016391	0.00122090246050271
H3K9ac	0.125302311178078	3.31986896558308	0.000351796840911606	0.00218114041365196		0.358588583194898	2.86178746284478	0.000351796840911606	0.00218114041365196		0.415987254195935	3.31986896558308	0.999984310638807	0.999999999998313		0.38732029337665	3.09108658679245	0.999953411875954	0.999999999999604
H3K27ac (PGC2)	0.268521272457252	2.16701060702643	0.0004343580112605	0.00239933570365189		0.5818884456271	2.16701060702643	0.000541785481469782	0.00239933570365189		0.523549655011014	1.94975113226593	0.000856878008043865	0.00664080456233995		0.559548226200724	2.08381340174754	0.0004343580112605	0.00336627458726888
Conserved (Lindblad-Toh)	0.0246705380614743	9.95978100771523	0.000513547315033248	0.00239933570365189		0.245713156434787	9.95978100771523	0.000513547315033248	0.00239933570365189		0.201414817895763	8.16418423440442	0.997627267603476	0.999999999998313		0.219401214370568	8.8932480444432	0.998789824130198	0.999999999999604
Flanking Bivalent TSS/Enhancer	0.013549378568832	9.25697802687226	0.000850466640415727	0.00527289317057751		0.125426299689452	9.25697802687226	0.002310729438087	0.00795917917563299		0.113452417015728	8.37325611941389	0.00219848103451949	0.0136305824140208		0.117763679388153	8.69144505704847	0.000850466640415727	0.00527289317057751
Weak Enhancer	0.0209056661632411	6.67667763849771	0.00520659533206968	0.0269007425490267		0.0893592047500852	4.27440121029042	0.0863942665600716	0.167388891460139		0.13958039379001	6.67667763849771	0.00520659533206968	0.0269007425490267		0.13304222780404	6.36393151814368	0.0114316185385388	0.0590633624491173
