trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Sitting height	Physical measures	0.1337	3.6227e-08	3.5828503e-05		-0.1337	0.0278	-4.8069	1.5332e-06	0.000216619257142857		-0.1182	0.0225	-5.2435	1.576e-07	0.0001558664		-0.1329	0.0241	-5.5083	3.6227e-08	3.5828503e-05		0.3432	0.0191	1.1492	0.0469	-0.0311	0.0088	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20015
Overall health rating	Medical history and conditions	0.1385	2.5619e-07	0.000186329578		0.1385	0.0269	5.1531	2.5619e-07	0.000186329578		0.0464	0.0327	1.4209	0.1553	0.538112152777778		0.0926	0.0299	3.1009	0.0019	0.0417577777777778		0.0972	0.0032	1.0391	0.0111	0.0149	0.0059	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2178
Number of self-reported non-cancer illnesses	Medical history and conditions	0.146	7.5817e-07	0.000186329578		0.146	0.0295	4.9458	7.5817e-07	0.000186329578		0.0706	0.0301	2.343	0.0191	0.258765753424658		0.1104	0.0294	3.7559	2e-04	0.0116352941176471		0.0657	0.0025	1.023	0.0099	0.0194	0.0055	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=135
Heel bone mineral density (BMD)	Physical measures	0.134	8.187e-07	0.000186329578		-0.134	0.0272	-4.9309	8.187e-07	0.000186329578		-0.1207	0.0356	-3.3925	7e-04	0.0629363636363636		-0.134	0.0318	-4.2174	2.4717e-05	0.003492159		0.3012	0.0348	1.09	0.0371	-0.0041	0.0075	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3148
Heel quantitative ultrasound index (QUI), direct entry	Physical measures	0.135	9.4147e-07	0.000186329578		-0.1337	0.0273	-4.9035	9.4147e-07	0.000186329578		-0.1222	0.0357	-3.4203	6e-04	0.0629363636363636		-0.135	0.0319	-4.2273	2.3653e-05	0.003492159		0.2995	0.0347	1.0899	0.037	-0.0037	0.0075	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3147
Heel bone mineral density (BMD) T-score, automated	Physical measures	0.135	9.4201e-07	0.000186329578		-0.1337	0.0273	-4.9034	9.4201e-07	0.000186329578		-0.1223	0.0357	-3.4208	6e-04	0.0629363636363636		-0.135	0.0319	-4.2276	2.3616e-05	0.003492159		0.2995	0.0347	1.0899	0.037	-0.0037	0.0075	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=78
Average total household income before tax	Sociodemographics	0.1596	1.3674e-06	0.000216619257142857		-0.1596	0.033	-4.8297	1.3674e-06	0.000216619257142857		-0.1189	0.0296	-4.0162	5.9143e-05	0.01462310675		-0.1446	0.0304	-4.7509	2.0253e-06	0.00100151085		0.0931	0.0039	1.0455	0.0113	0.0077	0.0066	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=738
Number of treatments/medications taken	Medications	0.1445	1.9263e-06	0.0002381388375		0.1445	0.0303	4.761	1.9263e-06	0.0002381388375		0.0872	0.0307	2.8411	0.0045	0.143564516129032		0.119	0.0298	3.9968	6.4212e-05	0.00705618533333333		0.0667	0.0027	1.0319	0.0087	0.0265	0.0058	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=137
Medication for cholesterol, blood pressure or diabetes: None of the above	Medications	0.1627	6.1279e-06	0.000573943672727273		-0.1627	0.036	-4.5219	6.1279e-06	0.000573943672727273		-0.0987	0.0381	-2.5879	0.0097	0.203505769230769		-0.1344	0.0368	-3.6486	3e-04	0.014835		0.1015	0.0054	1.0415	0.0108	-0.0233	0.0062	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Fractured/broken bones in last 5 years	Medical history and conditions	0.2194	6.1582e-06	0.000573943672727273		0.2194	0.0485	4.5209	6.1582e-06	0.000573943672727273		0.0961	0.0476	2.0197	0.0434	0.323166197183099		0.1596	0.0461	3.4611	5e-04	0.0176607142857143		0.0182	0.002	1.0105	0.0075	-0.0065	0.0053	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2463
