p2	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
06_rt_davies_2018	0.137	1.2059e-06	4.58242e-05		0.0811	0.0281	2.8838	0.0039	0.0164666666666667		0.137	0.0282	4.8547	1.2059e-06	4.58242e-05		0.1206	0.0272	4.4362	9.1579e-06	0.000306546		0.0748	0.0031	1.0213	0.0095	0.0185	0.0056
03_stroke_mishra_2022	0.2168	1.0911e-05	0.00026372		0.2168	0.0493	4.3983	1.0911e-05	0.00026372		0.1555	0.0453	3.4311	6e-04	0.0076		0.1944	0.046	4.2221	2.4201e-05	0.000306546		0.006	5e-04	1.0733	0.0074	-6e-04	0.0055
08_dbp_evangelou_2018	0.1148	1.388e-05	0.00026372		0.1148	0.0264	4.3458	1.388e-05	0.00026372		0.0738	0.0285	2.5946	0.0095	0.0722		0.0971	0.0277	3.5073	5e-04	0.0038		0.135	0.006	1.09	0.0331	0.0313	0.0081
07_height_yengo_2022	0.0803	2.2173e-05	0.000306546		-0.0803	0.0208	-3.8705	1e-04	0.00126666666666667		-0.0657	0.0174	-3.7767	2e-04	0.0038		-0.0774	0.0182	-4.2418	2.2173e-05	0.000306546		0.3904	0.0177	2.2458	0.1967	-0.0179	0.0128
06_ea_okbay_2022	0.0834	2e-04	0.0019		-0.0834	0.0227	-3.6692	2e-04	0.0019		-0.0678	0.0237	-2.8686	0.0041	0.03895		-0.0795	0.0228	-3.4817	5e-04	0.0038		0.1367	0.0039	0.9758	0.0183	0.0163	0.0079
02_cpd_saunders_2022	0.0966	9e-04	0.00684		0.0966	0.029	3.3339	9e-04	0.00684		0.0595	0.0273	2.1822	0.0291	0.1254		0.0804	0.0277	2.9028	0.0037	0.0234333333333333		0.0833	0.0121	1.0524	0.023	-0.002	0.0057
02_cof_zhong_2019	0.1129	0.0012	0.00705714285714286		0.1129	0.0347	3.2509	0.0012	0.00705714285714286		0.0745	0.0408	1.8238	0.0682	0.161975		0.0983	0.0377	2.6083	0.0091	0.0426444444444444		0.0537	0.0049	1.0068	0.0111	0.0076	0.0053
08_diabetes_xue_2018	0.1045	0.0013	0.00705714285714286		0.1045	0.0325	3.2161	0.0013	0.00705714285714286		0.0078	0.0352	0.2213	0.8248	0.903555555555556		0.0516	0.0333	1.5494	0.1213	0.219495238095238		0.0533	0.0034	1.0429	0.0185	0.0053	0.0074
02_smkInit_saunders_2022	0.0713	0.003	0.01425		0.0713	0.024	2.9676	0.003	0.01425		0.0103	0.0235	0.438	0.6614	0.837773333333333		0.0397	0.0235	1.6881	0.0914	0.18259		0.0878	0.0029	1.0487	0.0143	0.0163	0.0061
02_dpw_saunders_2022	0.1088	0.006	0.02584		0.099	0.0365	2.7086	0.0068	0.02584		0.0974	0.0392	2.4837	0.013	0.0823333333333333		0.1088	0.0396	2.7458	0.006	0.0325714285714286		0.0544	0.0025	1.0983	0.0122	0.0199	0.0063
06_cp_lee_2018	0.0754	0.0078	0.0269454545454545		-0.0754	0.0283	-2.6624	0.0078	0.0269454545454545		-0.0435	0.0272	-1.5982	0.11	0.221		-0.0604	0.0271	-2.2241	0.0261	0.0762923076923077		0.1992	0.0068	1.001	0.013	-0.0087	0.0071
08_myocardial_hartiala_2021	0.089	0.0093	0.02945		0.089	0.0342	2.5997	0.0093	0.02945		0.0746	0.0325	2.2925	0.0219	0.118885714285714		0.0858	0.0334	2.5733	0.0101	0.0426444444444444		0.0335	0.0024	0.9691	0.0119	0.0065	0.0055
04_well_baselmans_2019	0.0795	0.0105	0.0306923076923077		-0.0795	0.0311	-2.5574	0.0105	0.0306923076923077		-0.0662	0.0332	-1.9947	0.0461	0.159254545454545		-0.0773	0.0314	-2.4613	0.0138	0.0483636363636364		0.0223	9e-04	1.0068	0.0173	-0.005	0.0086
07_whr_pulit_2019	0.0693	0.0123	0.0333857142857143		0.0693	0.0277	2.5033	0.0123	0.0333857142857143		0.0444	0.0278	1.5962	0.1105	0.221		0.0581	0.0274	2.1219	0.0338	0.0917428571428571		0.1177	0.0073	1.1383	0.0413	0.0178	0.0077
07_bmi_yengo_2018	0.0544	0.0136	0.0344533333333333		0.0544	0.0221	2.468	0.0136	0.0344533333333333		-0.005	0.0236	-0.2138	0.8307	0.903555555555556		0.0199	0.0224	0.8926	0.3721	0.471326666666667		0.2114	0.0067	1.0249	0.0273	0.0044	0.0088
06_int_savage_2018	0.0824	0.014	0.041325		-0.0824	0.0346	-2.3776	0.0174	0.041325		-0.0664	0.0305	-2.1737	0.0297	0.1254		-0.0767	0.0312	-2.4561	0.014	0.0483636363636364		0.196	0.0087	1.0329	0.0249	-0.0051	0.0125
08_sbp_evangelou_2018	0.0613	0.019	0.0424705882352941		0.0613	0.0261	2.3455	0.019	0.0424705882352941		0.0054	0.0299	0.1814	0.856	0.903555555555556		0.0303	0.0283	1.074	0.2828	0.370565517241379		0.1391	0.0058	1.0788	0.0343	0.0211	0.0076
03_epiGen_ilae_2022	0.0914	0.0235	0.0744166666666667		0.088	0.0427	2.0593	0.0395	0.0833888888888889		0.0826	0.0405	2.0386	0.0415	0.1577		0.0914	0.0403	2.2656	0.0235	0.0744166666666667		0.6025	0.0499	1.037	0.0137	-0.0143	0.0078
04_neur_baselmans_2019	0.0862	0.047	0.117257142857143		0.0661	0.0357	1.8544	0.0637	0.117257142857143		0.0862	0.0472	1.8263	0.0678	0.161975		0.0828	0.0417	1.9859	0.047	0.119066666666667		0.0751	0.0042	0.9862	0.0192	0.0032	0.0087
