label	top_p	top_FDR	NA.	gap_gm_outcome_bxy	gap_gm_outcome_se	gap_gm_outcome_p	gap_gm_outcome_nsnp	gap_gm_outcome_FDR	NA.2	gap_wm_outcome_bxy	gap_wm_outcome_se	gap_wm_outcome_p	gap_wm_outcome_nsnp	gap_wm_outcome_FDR	NA.4	gap_gwm_outcome_bxy	gap_gwm_outcome_se	gap_gwm_outcome_p	gap_gwm_outcome_nsnp	gap_gwm_outcome_FDR
Diastolic Blood Pressure (Evangelou et al. 2018)	5.7102e-11	6.85224e-10		0.567634	0.0866467	5.7102e-11	182	6.85224e-10		0.410902	0.0860441	1.79277e-06	184	2.151324e-05		0.543241	0.0832006	6.60805e-11	182	7.92966e-10
Systolic Blood Pressure (Evangelou et al. 2018)	7.08072e-07	4.248432e-06		0.42577	0.0858556	7.08072e-07	174	4.248432e-06		0.317934	0.0865184	0.000238079	172	0.000952316		0.381733	0.0831883	4.45833e-06	173	2.674998e-05
Type-2-Diabetes (Scptt et al. 2017)	6.56156e-05	0.0003936936		0.0899273	0.0343212	0.00878875	47	0.035155		0.14011	0.0351008	6.56156e-05	44	0.0003936936		0.112836	0.0330621	0.000642891	46	0.002571564
HDL-c (Willer et al. 2013)	0.0292562	0.0877686		-0.099675	0.0457221	0.0292562	163	0.0877686		0.0400733	0.0459285	0.382929	161	0.656449714285714		-0.0139469	0.0437614	0.749951	162	0.818128363636364
Coronary Artery Disease (Nikpay et al. 2015)	0.0516587	0.1549761		0.0167447	0.041068	0.683472	50	0.745605818181818		0.0853772	0.0438739	0.0516587	48	0.1549761		0.0184357	0.0396238	0.641739	49	0.7700868
Schizophrenia (Trubetskoy et al. 2022)	0.054349	0.163047		0.0442407	0.0263645	0.0933397	200	0.1866794		0.0410372	0.0260834	0.115647	202	0.231294		0.0478939	0.0248923	0.054349	204	0.163047
Triglyceride (Willer et al. 2013)	0.0720698	0.17296752		0.0734695	0.0408464	0.0720698	109	0.17296752		0.0274951	0.040321	0.495299	104	0.660398666666667		0.0367994	0.0385105	0.339291	107	0.5089365
Educational attainment (Okbay et al. 2016)	0.0902726	0.21665424		0.0981176	0.223845	0.661149	32	0.745605818181818		0.37787	0.223069	0.0902726	32	0.21665424		0.269221	0.213558	0.207436	32	0.414872
Waist-Hip-Ratio (Shungin et al. 2015)	0.128378	0.220076571428571		0.20697	0.136117	0.128378	47	0.220076571428571		0.0959393	0.136874	0.483344	46	0.660398666666667		0.189544	0.129947	0.144666	47	0.3471984
Body-Mass-Index (Locke et al. 2015)	0.177113	0.2656695		0.156153	0.115695	0.177113	86	0.2656695		0.0121024	0.116547	0.917295	83	0.986299		0.115278	0.110801	0.298152	85	0.5089365
LDL-c (Willer et al. 2013)	0.509661	0.679548		0.0197959	0.0300227	0.509661	140	0.679548		-0.000514145	0.0299397	0.986299	140	0.986299		0.0178866	0.0286918	0.53302	141	0.710693333333333
Pulse Pressure (Evangelou et al. 2018)	0.777461	0.9329532		0.00326254	0.112044	0.97677	113	0.97677		-0.0315176	0.111516	0.777461	114	0.9329532		-0.00719962	0.107033	0.946371	113	0.946371
