annotation	Prop._SNPs	top_Enrichment	top_Enrichment_p	top_Enrichment_FDR	NA	gap_gm_Prop._h2	gap_gm_Enrichment	gap_gm_Enrichment_p	gap_gm_Enrichment_FDR	NA.1	gap_wm_Prop._h2	gap_wm_Enrichment	gap_wm_Enrichment_p	gap_wm_Enrichment_FDR	NA.2	gap_gwm_Prop._h2	gap_gwm_Enrichment	gap_gwm_Enrichment_p	gap_gwm_Enrichment_FDR
Super Enhancer (Hnisz)	0.167206746204891	2.88420789824949	2.6248471769533e-14	8.13702624855524e-13		0.449252732426199	2.6868098484238	4.74192587771384e-13	1.46999702209129e-11		0.482259018044744	2.88420789824949	1.10441143750343e-12	3.42367545626063e-11		0.47310031726937	2.82943318979275	2.6248471769533e-14	8.13702624855524e-13
H3K27ac (Hnisz)	0.389043808427187	2.01400738404099	5.0925926275399e-09	7.89351857268684e-08		0.713807023454442	1.83477286617206	8.21819974119955e-08	1.27382095988593e-06		0.783537102887784	2.01400738404099	8.78595405529277e-09	1.36182287857038e-07		0.762411905559591	1.9597070793694	5.0925926275399e-09	7.89351857268684e-08
Conserved (Mammal)	0.0214394549784698	15.4061717961566	6.7933911512146e-06	7.01983752292176e-05		0.33029992661427	15.4061717961566	6.7933911512146e-06	7.01983752292176e-05		0.263016616508341	12.2678779275159	0.00393243418699198	0.0243810919593503		0.297863589725047	13.8932444889187	0.000186256907098546	0.00192465470668498
Conserved (Vertebrate)	0.0294360542974948	10.2784914610444	6.45746247142537e-05	0.000500453341535466		0.302558232743641	10.2784914610444	6.45746247142537e-05	0.000500453341535466		0.17059555945985	5.79546286114741	0.0895360792116924	0.210303941086137		0.23030319141398	7.82384721425044	0.00603336426411529	0.0233792865234467
Conserved (Lindblad-Toh)	0.0246705380614743	11.5713815950537	0.00057041107119956	0.00353654864143727		0.285472210064615	11.5713815950537	0.00057041107119956	0.00353654864143727		0.236407624062759	9.58258889504866	0.0198792737914624	0.0616257487535335		0.256500414781389	10.3970336659152	0.00598189829973811	0.0233792865234467
H3K27ac (PGC2)	0.268521272457252	2.44798289749723	0.000464380554012826	0.0035989492935994		0.595477713137097	2.21761839457951	0.00560411330936015	0.0248182160843093		0.647425409644444	2.41107679745378	0.00108292233583934	0.00839264810275485		0.657335482589546	2.44798289749723	0.000464380554012826	0.0035989492935994
Conserved (Primate)	0.0192690716687812	13.7364081000726	0.000954194440680952	0.00826051654463589		0.255901771056879	13.2804410848437	0.00159880965380049	0.00826051654463589		0.264687832151925	13.7364081000726	0.000954194440680952	0.00839264810275485		0.243997442741645	12.6626464904875	0.00199807979460018	0.0123880947265211
H3K4me1	0.423455069727212	1.87305346069363	0.00507643983008507	0.0233792865234467		0.741170890327909	1.75029405316925	0.0142300791460287	0.0490147170585434		0.789967405705406	1.86552827485168	0.00590319156061142	0.030499823063159		0.793153983800818	1.87305346069363	0.00507643983008507	0.0233792865234467
H3K9ac	0.125302311178078	3.34409726080607	0.00691964761076594	0.0306441537048206		0.353748667985778	2.82316155751537	0.0139262189309902	0.0490147170585434		0.41902311558328	3.34409726080607	0.00691964761076594	0.0306441537048206		0.366127123337707	2.92195028084815	0.0132829638610012	0.0374338072446398
Flanking Bivalent TSS/Enhancer	0.013549378568832	10.9246483370464	0.00894227233940057	0.0317315665119786		0.100416974546033	7.41118672239511	0.05933250363256	0.132891336438374		0.148022196050003	10.9246483370464	0.00894227233940057	0.0317315665119786		0.126668797301689	9.34867947324673	0.0109248053114675	0.0338668964655493
Weak Enhancer	0.0209056661632411	10.5369125320077	0.0092123902776712	0.0317315665119786		0.148455704117425	7.10121853846772	0.0544746699769772	0.132891336438374		0.220281175785424	10.5369125320077	0.0092123902776712	0.0317315665119786		0.207461478929569	9.92369615536834	0.00954474276893825	0.0328763362041206
Transcription Factor Binding Site	0.130971510741451	3.35031172833883	0.0315099319013043	0.0906910974311674		0.43879538851534	3.35031172833883	0.0315099319013043	0.0906910974311674		0.228129129295352	1.74182253838163	0.496672964791613	0.549887925305		0.309294964606564	2.36154384152396	0.179355601716065	0.306993928951545
DNase I hypersensitive sites	0.165742769149422	3.07171843734142	0.0321807119917046	0.0906910974311674		0.509115119852302	3.07171843734142	0.0321807119917046	0.0906910974311674		0.39267462251285	2.36918101783881	0.224360757713105	0.366062288900329		0.406512038512019	2.45266831607921	0.133304057212122	0.270280400153356
