trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Number of treatments/medications taken	Medications	0.1869	5.5794e-09	4.5179498e-06		0.1869	0.0321	5.8289	5.5794e-09	4.5179498e-06		0.0941	0.0363	2.5924	0.0095	0.231570731707317		0.1454	0.0332	4.3776	1.1999e-05	0.00395567033333333		0.0667	0.0027	1.032	0.0087	0.0195	0.0052	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=137
Average total household income before tax	Sociodemographics	0.2069	9.1364e-09	4.5179498e-06		-0.2069	0.036	-5.746	9.1364e-09	4.5179498e-06		-0.1375	0.0348	-3.9571	7.5868e-05	0.037516726		-0.1824	0.0342	-5.327	9.9839e-08	9.8740771e-05		0.0931	0.0039	1.0456	0.0114	0.0118	0.0065	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=738
Overall health rating	Medical history and conditions	0.1748	5.6501e-08	1.86264963333333e-05		0.1748	0.0322	5.4295	5.6501e-08	1.86264963333333e-05		0.0601	0.0398	1.51	0.131	0.509508171206226		0.1216	0.0362	3.362	8e-04	0.0428566666666667		0.0972	0.0032	1.0392	0.0111	0.0041	0.0058	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2178
Number of self-reported non-cancer illnesses	Medical history and conditions	0.1674	1.9007e-07	4.69948075e-05		0.1674	0.0321	5.2088	1.9007e-07	4.69948075e-05		0.0705	0.0353	1.9996	0.0455	0.387289075630252		0.1239	0.0327	3.7873	2e-04	0.01978		0.0657	0.0025	1.0229	0.0099	0.0138	0.0053	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=135
Vascular/heart problems diagnosed by doctor: None of the above	Medical history and conditions	0.1604	4.4629e-07	8.8276162e-05		-0.1604	0.0318	-5.0481	4.4629e-07	8.8276162e-05		-0.0707	0.0405	-1.7434	0.0813	0.423415625		-0.119	0.0369	-3.2286	0.0012	0.0428566666666667		0.1204	0.0049	1.0697	0.0179	-0.0202	0.0058	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Medication for cholesterol, blood pressure or diabetes: None of the above	Medications	0.1914	1.4943e-06	0.00024631045		-0.1914	0.0398	-4.812	1.4943e-06	0.00024631045		-0.0965	0.0454	-2.124	0.0337	0.358775531914894		-0.1499	0.0428	-3.5	5e-04	0.0353214285714286		0.1015	0.0054	1.0414	0.0109	-0.0164	0.006	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Frequency of tiredness / lethargy in last 2 weeks	Mental health	0.1667	2.3484e-06	0.0003305608875		0.1667	0.0353	4.7209	2.3484e-06	0.0003305608875		0.0846	0.0352	2.4058	0.0161	0.263733333333333		0.1338	0.0342	3.9149	9.0426e-05	0.0123625		0.0589	0.0028	1.0163	0.0098	-0.0051	0.0053	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2080
Long-standing illness, disability or infirmity	Medical history and conditions	0.1674	2.6739e-06	0.0003305608875		0.1674	0.0357	4.6944	2.6739e-06	0.0003305608875		0.0747	0.0396	1.8868	0.0592	0.40738940397351		0.1247	0.0379	3.2908	0.001	0.0428566666666667		0.0521	0.0023	1.0221	0.0089	0.0099	0.0054	General health - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2188
Heel bone mineral density (BMD)	Physical measures	0.1343	4.1636e-06	0.000418371725		-0.1331	0.0289	-4.603	4.1636e-06	0.000418371725		-0.1195	0.0392	-3.0446	0.0023	0.189558333333333		-0.1343	0.0347	-3.8761	1e-04	0.0123625		0.3013	0.0348	1.0896	0.0371	-0.0025	0.0067	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3148
Non-cancer illness code, self-reported: hypertension	Medical history and conditions	0.1518	4.5266e-06	0.000418371725		0.1518	0.0331	4.5856	4.5266e-06	0.000418371725		0.0771	0.0431	1.7908	0.0733	0.421568156424581		0.1193	0.039	3.0555	0.0022	0.05375		0.1193	0.005	1.0676	0.0188	0.0174	0.0061	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Heel quantitative ultrasound index (QUI), direct entry	Physical measures	0.1349	5.0725e-06	0.000418371725		-0.1325	0.029	-4.5618	5.0725e-06	0.000418371725		-0.121	0.0394	-3.072	0.0021	0.189558333333333		-0.1349	0.0348	-3.8789	1e-04	0.0123625		0.2995	0.0347	1.0895	0.037	-0.002	0.0067	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3147
Heel bone mineral density (BMD) T-score, automated	Physical measures	0.1349	5.0763e-06	0.000418371725		-0.1325	0.029	-4.5616	5.0763e-06	0.000418371725		-0.121	0.0394	-3.0723	0.0021	0.189558333333333		-0.1349	0.0348	-3.8791	1e-04	0.0123625		0.2996	0.0347	1.0895	0.037	-0.002	0.0067	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=78
Sitting height	Physical measures	0.1376	1.3246e-06	0.000430766014285714		-0.1343	0.0297	-4.5296	5.9098e-06	0.000430766014285714		-0.1212	0.0278	-4.3542	1.3354e-05	0.013207106		-0.1376	0.0285	-4.836	1.3246e-06	0.0006550147		0.3432	0.0191	1.149	0.0468	-0.0274	0.008	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20015
Vascular/heart problems diagnosed by doctor: High blood pressure	Medical history and conditions	0.1487	6.0978e-06	0.000430766014285714		0.1487	0.0329	4.523	6.0978e-06	0.000430766014285714		0.0673	0.0428	1.5735	0.1156	0.493221120689655		0.1115	0.0388	2.876	0.004	0.0614378787878788		0.1209	0.0051	1.0713	0.0188	0.0197	0.0059	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	Medications	0.1684	1.9297e-05	0.00127231553333333		0.1684	0.0394	4.2729	1.9297e-05	0.00127231553333333		0.0891	0.0491	1.8161	0.0694	0.415979393939394		0.1365	0.045	3.0329	0.0024	0.05375		0.1135	0.0056	1.0407	0.0103	0.0171	0.0061	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177
Number of vehicles in household	Sociodemographics	0.181	2.9418e-05	0.00180091082352941		-0.181	0.0433	-4.1779	2.9418e-05	0.00180091082352941		-0.0554	0.0432	-1.2836	0.1993	0.579848104956268		-0.1212	0.0421	-2.8786	0.004	0.0614378787878788		0.031	0.0019	1.022	0.0071	0.0059	0.005	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=728
Heel Broadband ultrasound attenuation, direct entry	Physical measures	0.136	3.0956e-05	0.00180091082352941		-0.1274	0.0306	-4.1663	3.0956e-05	0.00180091082352941		-0.1261	0.0433	-2.9104	0.0036	0.21758		-0.136	0.0378	-3.5981	3e-04	0.0269727272727273		0.2754	0.0312	1.0672	0.0349	-0.005	0.0069	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3144
