p2	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
02_cpd_saunders_2022	0.1342	9.9165e-06	0.000376827		0.1342	0.0304	4.419	9.9165e-06	0.000376827		0.0864	0.0341	2.5325	0.0113	0.10944		0.1173	0.0317	3.6972	2e-04	0.0038		0.0833	0.012	1.0522	0.0229	-0.0047	0.0055
06_rt_davies_2018	0.1358	2.9526e-05	0.001121988		0.0689	0.0307	2.2481	0.0246	0.0437		0.1358	0.0325	4.1771	2.9526e-05	0.001121988		0.1152	0.0301	3.8331	1e-04	0.0038		0.0748	0.0031	1.0214	0.0095	0.0126	0.0052
04_well_baselmans_2019	0.1266	3e-04	0.0038		-0.1266	0.0348	-3.6413	3e-04	0.0038		-0.0925	0.0378	-2.4472	0.0144	0.10944		-0.1171	0.0358	-3.2719	0.0011	0.01045		0.0223	9e-04	1.0068	0.0173	-0.0029	0.0078
08_diabetes_xue_2018	0.1274	4e-04	0.0038		0.1274	0.0359	3.5525	4e-04	0.0038		0.0029	0.04	0.0737	0.9413	0.9794		0.0628	0.0379	1.656	0.0977	0.161417391304348		0.0533	0.0034	1.0429	0.0185	6e-04	0.0073
06_ea_okbay_2022	0.0906	5e-04	0.0038		-0.0906	0.0258	-3.5067	5e-04	0.0038		-0.0562	0.0286	-1.9693	0.0489	0.168927272727273		-0.0769	0.027	-2.8515	0.0044	0.0278666666666667		0.1368	0.0039	0.9753	0.0183	0.0162	0.0073
08_dbp_evangelou_2018	0.1019	6e-04	0.0038		0.1019	0.0298	3.4192	6e-04	0.0038		0.0715	0.0349	2.0515	0.0402	0.168927272727273		0.0913	0.0329	2.775	0.0055	0.028025		0.135	0.006	1.0898	0.0331	0.0223	0.0074
08_myocardial_hartiala_2021	0.127	7e-04	0.0038		0.127	0.0373	3.4015	7e-04	0.0038		0.0767	0.0387	1.9827	0.0474	0.168927272727273		0.105	0.0382	2.7529	0.0059	0.028025		0.0335	0.0023	0.9688	0.0118	0.0018	0.005
02_smkInit_saunders_2022	0.09	7e-04	0.0038		0.09	0.0264	3.4082	7e-04	0.0038		0.0327	0.0278	1.175	0.24	0.414545454545455		0.0647	0.0267	2.4207	0.0155	0.0461846153846154		0.0879	0.0029	1.0484	0.0143	0.0153	0.006
03_stroke_mishra_2022	0.1823	8e-04	0.004275		0.1823	0.0551	3.3094	9e-04	0.004275		0.1442	0.0538	2.6823	0.0073	0.10944		0.1759	0.0525	3.3465	8e-04	0.0101333333333333		0.006	5e-04	1.0732	0.0074	0.0031	0.0054
07_whr_pulit_2019	0.0902	0.003	0.0126666666666667		0.0902	0.0303	2.9723	0.003	0.0126666666666667		0.0583	0.0333	1.7523	0.0797	0.225557142857143		0.0793	0.0322	2.4602	0.0139	0.0461846153846154		0.1177	0.0073	1.1381	0.0412	0.005	0.0072
07_height_yengo_2022	0.0691	0.0033	0.01292		-0.0691	0.0236	-2.9321	0.0034	0.01292		-0.0547	0.022	-2.4905	0.0128	0.10944		-0.0664	0.0226	-2.9391	0.0033	0.02508		0.3904	0.0176	2.245	0.1965	-0.025	0.0126
07_bmi_yengo_2018	0.0754	0.0051	0.0171		0.0754	0.0269	2.799	0.0051	0.0171		-0.0105	0.0294	-0.3557	0.722	0.825270588235294		0.0284	0.0284	1.0018	0.3164	0.4294		0.2114	0.0067	1.0246	0.0273	-2e-04	0.0086
02_cof_zhong_2019	0.1171	0.0054	0.0171		0.1171	0.042	2.785	0.0054	0.0171		0.0911	0.0477	1.9104	0.0561	0.17765		0.1119	0.0445	2.5144	0.0119	0.0461846153846154		0.0537	0.0049	1.0068	0.0111	0.0057	0.0055
02_cud_johnson_2020	0.1426	0.008	0.0233428571428571		0.1426	0.0538	2.6524	0.008	0.0233428571428571		0.0156	0.0467	0.334	0.7384	0.825270588235294		0.084	0.0491	1.7087	0.0875	0.151136363636364		0.0188	0.0016	1.0006	0.0069	-0.002	0.005
01_mdd_howard_2019	0.0845	0.0086	0.0233428571428571		0.0845	0.0322	2.6267	0.0086	0.0233428571428571		0.0345	0.033	1.0464	0.2954	0.488052173913043		0.0619	0.0326	1.8958	0.058	0.122444444444444		0.0608	0.0025	0.9957	0.0104	0.0049	0.0058
02_dpw_saunders_2022	0.1104	0.0137	0.0335294117647059		0.0946	0.0384	2.4658	0.0137	0.0335294117647059		0.1016	0.0474	2.1406	0.0323	0.168927272727273		0.1104	0.0451	2.4491	0.0143	0.0461846153846154		0.0544	0.0025	1.0987	0.0122	0.019	0.0062
04_neur_baselmans_2019	0.1126	0.0142	0.0335294117647059		0.0999	0.0407	2.4516	0.0142	0.0335294117647059		0.106	0.052	2.0374	0.0416	0.168927272727273		0.1126	0.0467	2.4134	0.0158	0.0461846153846154		0.0751	0.0042	0.9862	0.0192	0.0042	0.0078
06_cp_lee_2018	0.08	0.015	0.0335294117647059		-0.08	0.0329	-2.433	0.015	0.0335294117647059		-0.0474	0.0329	-1.4403	0.1498	0.334847058823529		-0.0659	0.0323	-2.0409	0.0413	0.0980875		0.1993	0.0068	1.0004	0.013	-0.0106	0.007
04_lone_day_2018	0.0951	0.0159	0.0335666666666667		0.0951	0.0395	2.4106	0.0159	0.0335666666666667		0.0353	0.0396	0.8917	0.3725	0.589791666666667		0.0681	0.0384	1.7716	0.0765	0.138428571428571		0.0419	0.002	0.9864	0.008	0.0012	0.0055
05_ins_jansen_2019	0.0958	0.0179	0.0342		0.0958	0.0404	2.3685	0.0179	0.0342		0.0716	0.0431	1.6622	0.0965	0.244466666666667		0.089	0.0426	2.0888	0.0367	0.0929733333333333		0.0459	0.0021	1.0142	0.0089	-0.0074	0.0055
01_scz_trubetskoy_2022	0.0826	0.018	0.0342		0.0826	0.0349	2.3659	0.018	0.0342		0.0436	0.0363	1.2006	0.2299	0.414545454545455		0.0673	0.0362	1.8566	0.0634	0.1268		0.363	0.0132	1.0789	0.0149	-0.0055	0.0073
08_cad_aragam_2022	0.0758	0.0253	0.0437		0.0758	0.0339	2.2374	0.0253	0.0437		0.0257	0.0359	0.7159	0.474	0.701951724137931		0.0509	0.0352	1.4463	0.1481	0.225112		0.0333	0.0025	1.0072	0.021	0.0029	0.0055
01_bip_mullins_2021	0.0732	0.0345	0.057		0.0732	0.0346	2.1144	0.0345	0.057		0.0627	0.039	1.6072	0.108	0.2565		0.0714	0.0363	1.9647	0.0494	0.110423529411765		0.0697	0.0031	1.0343	0.0117	0.0012	0.0069
03_als_vanRheenen_2021	0.1357	0.0275	0.0746428571428571		-0.1151	0.0628	-1.8337	0.0667	0.105184		-0.1299	0.0608	-2.1346	0.0328	0.168927272727273		-0.1357	0.0615	-2.2042	0.0275	0.0746428571428571		0.0652	0.0072	1.0287	0.0075	0.0061	0.0053
05_ds_wang_2019	0.0689	0.0692	0.105184		0.0689	0.0379	1.8171	0.0692	0.105184		0.024	0.0364	0.6599	0.5093	0.701951724137931		0.0472	0.0373	1.2656	0.2056	0.290488888888889		0.0483	0.0023	1.0197	0.0092	-0.0041	0.0052
