id	structure	category	n	top_pval	top_fdr	top_rhoabs	NA	gap_gm_rho	gap_gm_pval	gap_gm_fdr	NA.1	gap_wm_rho	gap_wm_pval	gap_wm_fdr	NA.2	gap_gwm_rho	gap_gwm_pval	gap_gwm_fdr
Left.Accumbens.area	Accumbens area (left)	subcortical volume	32272	1e-307	2.75e-306	0.31271734590429		-0.272551799880069	1e-307	3.14285714285714e-306		-0.296884677420078	1e-307	4.4e-306		-0.31271734590429	1e-307	2.75e-306
Right.Lateral.Ventricle	Lateral ventricle (right)	subcortical volume	32272	1e-307	2.75e-306	0.298002570321875		0.274093195634536	1e-307	3.14285714285714e-306		0.274785894268845	1e-307	4.4e-306		0.298002570321875	1e-307	2.75e-306
Left.Lateral.Ventricle	Lateral ventricle (left)	subcortical volume	32272	1e-307	2.75e-306	0.28599183779808		0.262532868542003	1e-307	3.14285714285714e-306		0.265382045124415	1e-307	4.4e-306		0.28599183779808	1e-307	2.75e-306
Right.Accumbens.area	Accumbens area (right)	subcortical volume	32272	1e-307	2.75e-306	0.265678967828948		-0.24318655345305	1e-307	3.14285714285714e-306		-0.244238782473744	1e-307	4.4e-306		-0.265678967828948	1e-307	2.75e-306
Left.Amygdala	Amygdala (left)	subcortical volume	32272	1e-307	2.75e-306	0.24917600241054		-0.24917600241054	1e-307	3.14285714285714e-306		-0.206590290775363	1.9351678293035e-303	7.09561537411283e-302		-0.247318412370815	1e-307	2.75e-306
Right.Hippocampus	Hippocampus (right)	subcortical volume	32272	1e-307	2.75e-306	0.244049904308013		-0.244049904308013	1e-307	3.14285714285714e-306		-0.173447165472176	8.36669870987175e-212	2.30084214521473e-210		-0.225100694562324	1e-307	2.75e-306
Left.Hippocampus	Hippocampus (left)	subcortical volume	32272	1e-307	2.75e-306	0.235775675333399		-0.235775675333399	1e-307	3.14285714285714e-306		-0.168429617901128	2.04248389957544e-199	4.99273842118441e-198		-0.217270759057375	1e-307	2.75e-306
Left.Thalamus.Proper	Thalamus proper (left)	subcortical volume	32272	1e-307	2.75e-306	0.220934752897783		-0.175879469462386	6.00134442344499e-218	1.01561213319838e-216		-0.220934752897783	1e-307	4.4e-306		-0.21826597382508	1e-307	2.75e-306
LH_ThickAvg_superiorfrontal	Superiorfrontal (left)	cortical thickness	32272	2.3540798775277e-272	6.47371966320117e-271	0.19602338567675		-0.19602338567675	2.3540798775277e-272	6.47371966320117e-271		-0.163835125486671	2.07296927316079e-188	4.56053240095374e-187		-0.194830603058219	5.88473382773145e-269	1.43849049122324e-267
Right.Amygdala	Amygdala (right)	subcortical volume	32272	3.18360945051289e-264	7.78215643458706e-263	0.193155942367717		-0.193155942367717	3.18360945051289e-264	7.78215643458706e-263		-0.14737299087731	1.33864861901634e-151	2.26540535525842e-150		-0.183298554638564	2.98269849098919e-237	5.96539698197838e-236
Right.Thalamus.Proper	Thalamus proper (right)	subcortical volume	32272	1.93148543174987e-255	6.07038278549959e-254	0.190006369139135		-0.133225041832766	3.28089704718229e-123	1.41528892231393e-122		-0.190006369139135	1.93148543174987e-255	6.07038278549959e-254		-0.179039043574125	4.58502915206705e-226	8.40588677878959e-225
RH_ThickAvg_superiorfrontal	Superiorfrontal (right)	cortical thickness	32272	6.71044916318065e-247	1.47629881589974e-245	0.186888603958977		-0.184638718468376	7.87636681898338e-241	1.73280070017634e-239		-0.159723830329787	7.81539467038703e-179	1.56307893407741e-177		-0.186888603958977	6.71044916318065e-247	1.47629881589974e-245
LH_GrayVol_superiorfrontal	Superiorfrontal (left)	cortical volume	32272	1.16005646574209e-222	2.32011293148418e-221	0.177721719707657		-0.177721719707657	1.16005646574209e-222	2.32011293148418e-221		-0.118394094531272	1.25428865706299e-96	9.19811681846193e-96		-0.160153932795358	8.0003481732225e-180	9.7782033228275e-179
RH_ThickAvg_superiortemporal	Superiortemporal (right)	cortical thickness	32272	3.47557049932961e-221	6.37187924877095e-220	0.177146847352738		-0.177146847352738	3.47557049932961e-221	6.37187924877095e-220		-0.126668862545328	4.6401746486931e-111	4.08335369084993e-110		-0.162877384467834	3.71750051935482e-186	5.45233409505374e-185
RH_ThickAvg_inferiorparietal	Inferiorparietal (right)	cortical thickness	32272	9.72339454166404e-215	1.52796199940435e-213	0.174613393349918		-0.174613393349918	9.72339454166404e-215	1.52796199940435e-213		-0.140892621119775	3.16493249833425e-138	3.86825083129742e-137		-0.17009591425659	1.73460891274074e-203	2.93549200617664e-202
LH_GrayVol_precentral	Precentral (left)	cortical volume	32272	2.50562146338041e-194	3.6749114796246e-193	0.166321915810967		-0.166321915810967	2.50562146338041e-194	3.6749114796246e-193		-0.0975036854604722	1.20036581632456e-64	5.28160959182806e-64		-0.140675935738952	8.63473967378444e-138	6.12787976849218e-137
LH_ThickAvg_supramarginal	Supramarginal (left)	cortical thickness	32272	6.32539201050725e-192	8.69741401444747e-191	0.165317182657371		-0.165317182657371	6.32539201050725e-192	8.69741401444747e-191		-0.136464620523546	1.89995416507275e-129	2.08994958158003e-128		-0.161955867121555	5.31736384606148e-184	7.31137528833454e-183
RH_ThickAvg_supramarginal	Supramarginal (right)	cortical thickness	32272	6.36115751030662e-192	9.99610465905326e-191	0.165316176439044		-0.163861293125717	1.79733571852958e-188	2.32596387103828e-187		-0.142744874848535	5.51803171116801e-142	7.58729360285601e-141		-0.165316176439044	6.36115751030662e-192	9.99610465905326e-191
RH_GrayVol_superiorfrontal	Superiorfrontal (right)	cortical volume	32272	7.96446964502929e-184	9.73435178836913e-183	0.161880541550912		-0.161880541550912	7.96446964502929e-184	9.73435178836913e-183		-0.115985309734956	1.28920819400811e-92	8.86330633380576e-92		-0.151246236713326	6.79816829994806e-160	6.23165427495239e-159
LH_GrayVol_superiortemporal	Superiortemporal (left)	cortical volume	32272	3.4221383844423e-181	3.96247602409108e-180	0.16074667149382		-0.16074667149382	3.4221383844423e-181	3.96247602409108e-180		-0.0898114320557828	1.8163294911375e-54	6.77275403475e-54		-0.13351615120257	9.16598642445748e-124	5.17055644456576e-123
LH_ThickAvg_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical thickness	32272	2.1916104527122e-180	2.41077149798342e-179	0.160397709825802		-0.160397709825802	2.1916104527122e-180	2.41077149798342e-179		-0.135763256919547	4.38915078383003e-128	4.59815796401241e-127		-0.160266713957954	4.39624096705612e-180	5.68925301619027e-179
RH_ThickAvg_precentral	Precentral (right)	cortical thickness	32272	1.52935136875515e-179	1.77082790066386e-178	0.160031772823529		-0.150151657492134	1.58056922067344e-157	1.12169428563922e-156		-0.145239875277468	3.96630004008494e-147	6.23275720584776e-146		-0.160031772823529	1.52935136875515e-179	1.77082790066386e-178
RH_GrayVol_superiortemporal	Superiortemporal (right)	cortical volume	32272	2.03277031788777e-179	2.12956890445385e-178	0.159978070826813		-0.159978070826813	2.03277031788777e-179	2.12956890445385e-178		-0.0767836571902564	3.6484843457913e-39	9.78861653748885e-39		-0.124314527096933	7.49063966194973e-107	3.23125632476263e-106
LH_GrayVol_rostralmiddlefrontal	Rostralmiddlefrontal (left)	cortical volume	32272	9.32163376160879e-179	9.32163376160879e-178	0.15969040274567		-0.15969040274567	9.32163376160879e-179	9.32163376160879e-178		-0.125779235931781	1.84657643884723e-109	1.56248775594766e-108		-0.153848486177653	1.36180280521768e-165	1.36180280521768e-164
LH_ThickAvg_superiortemporal	Superiortemporal (left)	cortical thickness	32272	5.50659412370251e-173	5.26717698788936e-172	0.157157347446759		-0.157157347446759	5.50659412370251e-173	5.26717698788936e-172		-0.112963659622462	1.05437737659713e-87	6.26927088787483e-87		-0.14471551500118	4.86076293871194e-146	3.96062165376528e-145
LH_ThickAvg_precuneus	Precuneus (left)	cortical thickness	32272	2.39487876004812e-169	2.19530553004411e-168	0.155538211446083		-0.155538211446083	2.39487876004812e-169	2.19530553004411e-168		-0.11565750204023	4.46338995293965e-92	2.88807585190213e-91		-0.145134568937095	6.56263418762079e-147	5.55299815875605e-146
RH_GrayVol_precentral	Precentral (right)	cortical volume	32272	2.38700709884669e-168	2.10056624698509e-167	0.155090700882549		-0.155090700882549	2.38700709884669e-168	2.10056624698509e-167		-0.096179480086632	7.80694218458186e-63	3.30293707809233e-62		-0.134751252539176	3.95296262088612e-126	2.28855730682881e-125
Left.Putamen	Putamen (left)	subcortical volume	32272	2.36589082118601e-168	2.60247990330461e-167	0.155092488899987		-0.142147432041401	9.10354075594292e-141	4.76852134835105e-140		-0.138134096949042	1.00734939835428e-132	1.16640456651548e-131		-0.155092488899987	2.36589082118601e-168	2.60247990330461e-167
LH_ThickAvg_precentral	Precentral (left)	cortical thickness	32272	7.42123315138404e-168	7.77462520621185e-167	0.154869481891549		-0.145556321755417	8.68449352657638e-148	5.45882450241944e-147		-0.14106834541547	1.39949367060728e-138	1.81110945608001e-137		-0.154869481891549	7.42123315138404e-168	7.77462520621185e-167
RH_GrayVol_parsorbitalis	Parsorbitalis (right)	cortical volume	32272	1.7528770196028e-165	1.4832036319716e-164	0.153798790797434		-0.153798790797434	1.7528770196028e-165	1.4832036319716e-164		-0.102203961458554	2.73639827043022e-71	1.33779470998811e-70		-0.137410525614178	2.67401705034234e-131	1.63412153076476e-130
LH_ThickAvg_inferiorparietal	Inferiorparietal (left)	cortical thickness	32272	5.13410067379145e-163	4.183341289756e-162	0.152677618172379		-0.152677618172379	5.13410067379145e-163	4.183341289756e-162		-0.107689375273919	1.90346309370182e-79	9.73864838638141e-79		-0.13936787074354	3.592019893082e-135	2.39467992872133e-134
RH_ThickAvg_superiorparietal	Superiorparietal (right)	cortical thickness	32272	1.02902937281973e-162	9.84288965305829e-162	0.152539816101215		-0.149733912899951	1.25112084456617e-156	8.60145580639242e-156		-0.130394390259864	6.92068074425293e-118	6.61978158145932e-117		-0.152539816101215	1.02902937281973e-162	9.84288965305829e-162
RH_ThickAvg_precuneus	Precuneus (right)	cortical thickness	32272	7.32456881252169e-159	5.75501835269561e-158	0.150769749057713		-0.150769749057713	7.32456881252169e-159	5.75501835269561e-158		-0.120594801680813	2.28148986606466e-100	1.79259918047938e-99		-0.14596276557121	1.23174699070054e-148	1.08393735181648e-147
LH_GrayVol_lateralorbitofrontal	Lateralorbitofrontal (left)	cortical volume	32272	5.50736030660023e-158	4.17799747397259e-157	0.150364126113237		-0.150364126113237	5.50736030660023e-158	4.17799747397259e-157		-0.0948921876391497	4.28207460552092e-61	1.77746493059359e-60		-0.131099962511067	3.33938069076566e-119	1.66969034538283e-118
LH_GrayVol_middletemporal	Middletemporal (left)	cortical volume	32272	1.45819965070566e-157	1.06934641051748e-156	0.150167914910207		-0.150167914910207	1.45819965070566e-157	1.06934641051748e-156		-0.082621174235756	1.01418514481675e-45	3.14254551915049e-45		-0.12201673432334	7.99982876339236e-103	3.14278987133271e-102
LH_GrayVol_precuneus	Precuneus (left)	cortical volume	32272	1.20030000758057e-155	8.00200005053713e-155	0.149275894918212		-0.149275894918212	1.20030000758057e-155	8.00200005053713e-155		-0.0996682930110258	1.14793163914986e-67	5.37329703431849e-67		-0.131369577036235	1.04462076427485e-119	5.4718230509635e-119
Left.Pallidum	Pallidum (left)	subcortical volume	32272	7.30616402481246e-155	1.33946340454895e-153	0.148909297792345		-0.0709353099148479	4.3333847438883e-33	6.90829451924222e-33		-0.148909297792345	7.30616402481246e-155	1.33946340454895e-153		-0.124094651016255	1.83240832655966e-106	7.60622324232312e-106
RH_GrayVol_middletemporal	Middletemporal (right)	cortical volume	32272	2.6022585962214e-149	1.68381438579032e-148	0.146285127290534		-0.146285127290534	2.6022585962214e-149	1.68381438579032e-148		-0.0773597334821627	8.64653306163307e-40	2.40789528298642e-39		-0.116946323842024	3.29698743959743e-94	1.16989876888941e-93
RH_GrayVol_inferiorparietal	Inferiorparietal (right)	cortical volume	32272	1.43330715655186e-146	8.75909929003914e-146	0.144971169756144		-0.144971169756144	1.43330715655186e-146	8.75909929003914e-146		-0.0930839173073708	1.07881222434892e-58	4.31524889739568e-58		-0.124790312657683	1.07289918943057e-107	4.81709840152501e-107
RH_GrayVol_fusiform	Fusiform (right)	cortical volume	32272	9.30198842023043e-146	5.53091203365053e-145	0.144579394240738		-0.144579394240738	9.30198842023043e-146	5.53091203365053e-145		-0.109346294466583	5.36447410366715e-82	2.95046075701693e-81		-0.136912384917406	2.53262692911337e-130	1.50588628217552e-129
RH_GrayVol_parstriangularis	Parstriangularis (right)	cortical volume	32272	2.17466235010662e-144	1.25901504479857e-143	0.143916775602308		-0.143916775602308	2.17466235010662e-144	1.25901504479857e-143		-0.0988747036601622	1.49398025319942e-66	6.84740949383068e-66		-0.13123252339208	1.88700537647449e-119	9.65444611219507e-119
RH_ThickAvg_rostralmiddlefrontal	Rostralmiddlefrontal (right)	cortical thickness	32272	3.1230898147027e-144	1.7617429723964e-143	0.143840439846741		-0.143840439846741	3.1230898147027e-144	1.7617429723964e-143		-0.118835238837438	2.26052384452349e-97	1.71488015791437e-96		-0.14188873576347	3.05569719117241e-140	2.31811511054459e-139
LH_ThickAvg_paracentral	Paracentral (left)	cortical thickness	32272	1.03686172806497e-143	8.14677072051048e-143	0.143587149404718		-0.131556560256893	4.65509347647299e-120	1.896519564489e-119		-0.133922459618462	1.53860811057691e-124	1.53860811057691e-123		-0.143587149404718	1.03686172806497e-143	8.14677072051048e-143
Right.Pallidum	Pallidum (right)	subcortical volume	32272	1.55799251822227e-143	2.28505569339266e-142	0.143501193208028		-0.0608628594904859	9.19051101859892e-24	1.26369526505735e-23		-0.143501193208028	1.55799251822227e-143	2.28505569339266e-142		-0.115072919989058	4.04095818608495e-91	1.3890793764667e-90
RH_GrayVol_rostralmiddlefrontal	Rostralmiddlefrontal (right)	cortical volume	32272	8.8953742869589e-143	4.8924558578274e-142	0.143132071901622		-0.143132071901622	8.8953742869589e-143	4.8924558578274e-142		-0.117952755891271	6.91292248749833e-96	4.90594499112785e-95		-0.14095776556509	2.33709864143454e-138	1.713872337052e-137
LH_ThickAvg_superiorparietal	Superiorparietal (left)	cortical thickness	32272	3.46603052306294e-142	1.85982125627768e-141	0.142843347092402		-0.142843347092402	3.46603052306294e-142	1.85982125627768e-141		-0.115915508370013	1.68021694164178e-92	1.12014462776119e-91		-0.140470411120764	2.23689272637051e-137	1.53786374937973e-136
LH_GrayVol_fusiform	Fusiform (left)	cortical volume	32272	3.83163203678154e-140	1.96036987928358e-139	0.141840120107739		-0.141840120107739	3.83163203678154e-140	1.96036987928358e-139		-0.102784911319089	3.92196462683238e-72	1.96098231341619e-71		-0.130666725204157	2.15003267787021e-118	1.02827649811184e-117
LH_SurfArea_lateralorbitofrontal	Lateralorbitofrontal (left)	cortical surface area	32272	1.5428561809993e-139	7.7142809049965e-139	0.141541830118622		-0.141541830118622	1.5428561809993e-139	7.7142809049965e-139		-0.0901431810819721	6.88489672496718e-55	2.61151255084962e-54		-0.124136384382936	1.54631963770487e-106	6.54212154413599e-106
RH_ThickAvg_paracentral	Paracentral (right)	cortical thickness	32272	5.30178324088628e-134	3.43056562645583e-133	0.13877992593722		-0.128597227702416	1.43632707021763e-114	5.26653259079798e-114		-0.128815059263878	5.73737521158644e-115	5.2592606106209e-114		-0.13877992593722	5.30178324088628e-134	3.43056562645583e-133
RH_GrayVol_precuneus	Precuneus (right)	cortical volume	32272	2.61862223665133e-133	1.28021531569621e-132	0.138429645720306		-0.138429645720306	2.61862223665133e-133	1.28021531569621e-132		-0.0880664173654854	2.81509382845065e-52	9.83048638506576e-52		-0.119204928393984	5.33844406686156e-98	2.02492705984404e-97
RH_GrayVol_lateralorbitofrontal	Lateralorbitofrontal (right)	cortical volume	32272	6.85815760163143e-133	3.27998841817155e-132	0.138218246251257		-0.138218246251257	6.85815760163143e-133	3.27998841817155e-132		-0.0840063547074589	2.39134530082613e-47	7.51565665973927e-47		-0.117758038137033	1.46179052270986e-95	5.35989858326949e-95
LH_GrayVol_parstriangularis	Parstriangularis (left)	cortical volume	32272	2.44842464720517e-131	1.14607111145774e-130	0.137429866490394		-0.137429866490394	2.44842464720517e-131	1.14607111145774e-130		-0.0910470054941526	4.80436291110365e-56	1.88742828650501e-55		-0.124030756010288	2.37593386163553e-106	9.67973054740401e-106
Right.Putamen	Putamen (right)	subcortical volume	32272	2.58437321570657e-131	1.62446316415842e-130	0.137418086367386		-0.12801283977658	1.68409654347643e-113	6.07379081253794e-113		-0.121081023474287	3.32775232483306e-101	2.71150189430842e-100		-0.137418086367386	2.58437321570657e-131	1.62446316415842e-130
LH_GrayVol_parsorbitalis	Parsorbitalis (left)	cortical volume	32272	4.8375356561053e-127	2.2172038423816e-126	0.135224323993062		-0.135224323993062	4.8375356561053e-127	2.2172038423816e-126		-0.0896367114280509	3.02383352068186e-54	1.10873895758335e-53		-0.121132279283208	2.70962173378583e-101	1.04581891479453e-100
RH_GrayVol_superiorparietal	Superiorparietal (right)	cortical volume	32272	9.82043324951869e-127	4.4091741120288e-126	0.135064962358191		-0.135064962358191	9.82043324951869e-127	4.4091741120288e-126		-0.0983559887859507	7.9136172424206e-66	3.55305263945415e-65		-0.124512545894067	3.33875665771765e-107	1.46905292939577e-106
RH_ThickAvg_parstriangularis	Parstriangularis (right)	cortical thickness	32272	1.18172684606545e-123	5.19959812268798e-123	0.133458126960682		-0.133458126960682	1.18172684606545e-123	5.19959812268798e-123		-0.11097467736876	1.52925708454233e-84	8.85359364735033e-84		-0.132156700423731	3.46067461391597e-121	1.85694735380857e-120
LH_ThickAvg_parsopercularis	Parsopercularis (left)	cortical thickness	32272	1.11084395980722e-121	6.10964177893971e-121	0.132418098460679		-0.131766233305193	1.88013805691874e-120	7.80434665136081e-120		-0.114276947186122	8.02075450228496e-90	5.04161711572198e-89		-0.132418098460679	1.11084395980722e-121	6.10964177893971e-121
RH_GrayVol_medialorbitofrontal	Medialorbitofrontal (right)	cortical volume	32272	1.5303130477833e-120	6.47440135600627e-120	0.131813748213829		-0.131813748213829	1.5303130477833e-120	6.47440135600627e-120		-0.0645209926238286	5.56101676923094e-27	1.22342368923081e-26		-0.10364385362048	2.17247551836048e-73	6.45871100053116e-73
RH_ThickAvg_caudalmiddlefrontal	Caudalmiddlefrontal (right)	cortical thickness	32272	5.42547621165647e-119	2.65245503680983e-118	0.130987103621548		-0.128702530275159	9.20992109010742e-115	3.43420786410785e-114		-0.113545575934298	1.22162013515487e-88	7.46545638150198e-88		-0.130987103621548	5.42547621165647e-119	2.65245503680983e-118
LH_GrayVol_parsopercularis	Parsopercularis (left)	cortical volume	32272	8.65051868356671e-119	3.46020747342668e-118	0.130878513042827		-0.130878513042827	8.65051868356671e-119	3.46020747342668e-118		-0.0808590026073337	1.08874773314579e-43	3.23681758502802e-43		-0.113468313541317	1.62368197344488e-88	5.41227324481627e-88
