structure	type	measure	n	top_pval	top_fdr	top_rhoAbs	NA	gap_gm_pval	gap_gm_fdr	gap_gm_rho	gap_gm_rhoAbs	NA.1	gap_wm_pval	gap_wm_fdr	gap_wm_rho	gap_wm_rhoAbs	NA.2	gap_gwm_pval	gap_gwm_fdr	gap_gwm_rho	gap_gwm_rhoAbs
Right lateral ventricle	subcortical	volume	32272	0	0	0.298002570321875		0	0	0.274093195634536	0.274093195634536		0	0	0.274785894268845	0.274785894268845		0	0	0.298002570321875	0.298002570321875
Left accumbens area	subcortical	volume	32272	0	0	0.31271734590429		0	0	-0.272551799880069	0.272551799880069		0	0	-0.296884677420078	0.296884677420078		0	0	-0.31271734590429	0.31271734590429
Left lateral ventricle	subcortical	volume	32272	0	0	0.28599183779808		0	0	0.262532868542003	0.262532868542003		0	0	0.265382045124415	0.265382045124415		0	0	0.28599183779808	0.28599183779808
Left amygdala	subcortical	volume	32272	0	0	0.24917600241054		0	0	-0.24917600241054	0.24917600241054		1.9351678293035e-303	2.7092349610249e-302	-0.206590290775363	0.206590290775363		0	0	-0.247318412370815	0.247318412370815
Right hippocampus	subcortical	volume	32272	0	0	0.244049904308013		0	0	-0.244049904308013	0.244049904308013		8.36669870987175e-212	8.78503364536534e-211	-0.173447165472176	0.173447165472176		0	0	-0.225100694562324	0.225100694562324
Right accumbens area	subcortical	volume	32272	0	0	0.265678967828948		0	0	-0.24318655345305	0.24318655345305		0	0	-0.244238782473744	0.244238782473744		0	0	-0.265678967828948	0.265678967828948
Left hippocampus	subcortical	volume	32272	0	0	0.235775675333399		0	0	-0.235775675333399	0.235775675333399		2.04248389957544e-199	1.90631830627041e-198	-0.168429617901128	0.168429617901128		0	0	-0.217270759057375	0.217270759057375
Left thalamus proper	subcortical	volume	32272	0	0	0.220934752897783		6.00134442344499e-218	4.20094109641149e-217	-0.175879469462386	0.175879469462386		0	0	-0.220934752897783	0.220934752897783		0	0	-0.21826597382508	0.21826597382508
Left superiorfrontal	cortical	cortical thickness	32272	2.3540798775277e-272	2.47178387140408e-271	0.19602338567675		2.3540798775277e-272	2.47178387140408e-271	-0.19602338567675	0.19602338567675		2.07296927316079e-188	1.74129418945506e-187	-0.163835125486671	0.163835125486671		5.88473382773145e-269	5.49241823921602e-268	-0.194830603058219	0.194830603058219
Right amygdala	subcortical	volume	32272	3.18360945051289e-264	2.9713688204787e-263	0.193155942367717		3.18360945051289e-264	2.9713688204787e-263	-0.193155942367717	0.193155942367717		1.33864861901634e-151	8.64972953825943e-151	-0.14737299087731	0.14737299087731		2.98269849098919e-237	2.27769702948265e-236	-0.183298554638564	0.183298554638564
Right thalamus proper	subcortical	volume	32272	1.93148543174987e-255	2.31778251809984e-254	0.190006369139135		3.28089704718229e-123	9.84269114154687e-123	-0.133225041832766	0.133225041832766		1.93148543174987e-255	2.31778251809984e-254	-0.190006369139135	0.190006369139135		4.58502915206705e-226	3.20952040644694e-225	-0.179039043574125	0.179039043574125
Right superiorfrontal	cortical	cortical thickness	32272	6.71044916318065e-247	5.63677729707175e-246	0.186888603958977		7.87636681898338e-241	6.61614812794604e-240	-0.184638718468376	0.184638718468376		7.81539467038703e-179	5.96811956647737e-178	-0.159723830329787	0.159723830329787		6.71044916318065e-247	5.63677729707175e-246	-0.186888603958977	0.186888603958977
Right superiortemporal	cortical	cortical thickness	32272	3.47557049932961e-221	2.65407201766988e-220	0.177146847352738		3.47557049932961e-221	2.65407201766988e-220	-0.177146847352738	0.177146847352738		4.6401746486931e-111	1.55909868196088e-110	-0.126668862545328	0.126668862545328		3.71750051935482e-186	2.0818002908387e-185	-0.162877384467834	0.162877384467834
Right inferiorparietal	cortical	cortical thickness	32272	9.72339454166404e-215	6.28280878076753e-214	0.174613393349918		9.72339454166404e-215	6.28280878076753e-214	-0.174613393349918	0.174613393349918		3.16493249833425e-138	1.47696849922265e-137	-0.140892621119775	0.140892621119775		1.73460891274074e-203	1.12082422054017e-202	-0.17009591425659	0.17009591425659
Left supramarginal	cortical	cortical thickness	32272	6.32539201050725e-192	3.79523520630435e-191	0.165317182657371		6.32539201050725e-192	3.79523520630435e-191	-0.165317182657371	0.165317182657371		1.89995416507275e-129	7.97980749330555e-129	-0.136464620523546	0.136464620523546		5.31736384606148e-184	2.79161601918228e-183	-0.161955867121555	0.161955867121555
Right supramarginal	cortical	cortical thickness	32272	6.36115751030662e-192	3.81669450618397e-191	0.165316176439044		1.79733571852958e-188	1.00650800237656e-187	-0.163861293125717	0.163861293125717		5.51803171116801e-142	2.89696664836321e-141	-0.142744874848535	0.142744874848535		6.36115751030662e-192	3.81669450618397e-191	-0.165316176439044	0.165316176439044
Left rostralmiddlefrontal	cortical	cortical thickness	32272	2.1916104527122e-180	1.1505954876739e-179	0.160397709825802		2.1916104527122e-180	1.1505954876739e-179	-0.160397709825802	0.160397709825802		4.38915078383003e-128	1.75566031353201e-127	-0.135763256919547	0.135763256919547		4.39624096705612e-180	2.17226024254538e-179	-0.160266713957954	0.160266713957954
Right precentral	cortical	cortical thickness	32272	1.52935136875515e-179	7.1369730541907e-179	0.160031772823529		1.58056922067344e-157	6.32227688269376e-157	-0.150151657492134	0.150151657492134		3.96630004008494e-147	2.37978002405096e-146	-0.145239875277468	0.145239875277468		1.52935136875515e-179	7.1369730541907e-179	-0.160031772823529	0.160031772823529
Left superiortemporal	cortical	cortical thickness	32272	5.50659412370251e-173	2.72090533171183e-172	0.157157347446759		5.50659412370251e-173	2.72090533171183e-172	-0.157157347446759	0.157157347446759		1.05437737659713e-87	2.6838696858836e-87	-0.112963659622462	0.112963659622462		4.86076293871194e-146	1.70126702854918e-145	-0.14471551500118	0.14471551500118
Left precuneus	cortical	cortical thickness	32272	2.39487876004812e-169	1.11761008802246e-168	0.155538211446083		2.39487876004812e-169	1.11761008802246e-168	-0.155538211446083	0.155538211446083		4.46338995293965e-92	1.2497491868231e-91	-0.11565750204023	0.11565750204023		6.56263418762079e-147	2.39678813808759e-146	-0.145134568937095	0.145134568937095
Left putamen	subcortical	volume	32272	2.36589082118601e-168	1.04597278410329e-167	0.155092488899987		9.10354075594292e-141	2.9411439365354e-140	-0.142147432041401	0.142147432041401		1.00734939835428e-132	4.45354470851366e-132	-0.138134096949042	0.138134096949042		2.36589082118601e-168	1.04597278410329e-167	-0.155092488899987	0.155092488899987
Left precentral	cortical	cortical thickness	32272	7.42123315138404e-168	3.1169179235813e-167	0.154869481891549		8.68449352657638e-148	3.17172807057572e-147	-0.145556321755417	0.145556321755417		1.39949367060728e-138	6.91514519594185e-138	-0.14106834541547	0.14106834541547		7.42123315138404e-168	3.1169179235813e-167	-0.154869481891549	0.154869481891549
Left inferiorparietal	cortical	cortical thickness	32272	5.13410067379145e-163	2.26981292946569e-162	0.152677618172379		5.13410067379145e-163	2.26981292946569e-162	-0.152677618172379	0.152677618172379		1.90346309370182e-79	4.20765525976192e-79	-0.107689375273919	0.107689375273919		3.592019893082e-135	1.0776059679246e-134	-0.13936787074354	0.13936787074354
Right superiorparietal	cortical	cortical thickness	32272	1.02902937281973e-162	4.11611749127892e-162	0.152539816101215		1.25112084456617e-156	4.77700686107083e-156	-0.149733912899951	0.149733912899951		6.92068074425293e-118	2.52755296746629e-117	-0.130394390259864	0.130394390259864		1.02902937281973e-162	4.11611749127892e-162	-0.152539816101215	0.152539816101215
Right precuneus	cortical	cortical thickness	32272	7.32456881252169e-159	3.07631890125911e-158	0.150769749057713		7.32456881252169e-159	3.07631890125911e-158	-0.150769749057713	0.150769749057713		2.28148986606466e-100	7.09796847220116e-100	-0.120594801680813	0.120594801680813		1.23174699070054e-148	4.70303396449297e-148	-0.14596276557121	0.14596276557121
Left pallidum	subcortical	volume	32272	7.30616402481246e-155	5.11431481736872e-154	0.148909297792345		4.3333847438883e-33	6.16956472011216e-33	-0.0709353099148479	0.0709353099148479		7.30616402481246e-155	5.11431481736872e-154	-0.148909297792345	0.148909297792345		1.83240832655966e-106	4.27561942863921e-106	-0.124094651016255	0.124094651016255
Right rostralmiddlefrontal	cortical	cortical thickness	32272	3.1230898147027e-144	1.09308143514595e-143	0.143840439846741		3.1230898147027e-144	1.09308143514595e-143	-0.143840439846741	0.143840439846741		2.26052384452349e-97	6.78157153357047e-97	-0.118835238837438	0.118835238837438		3.05569719117241e-140	9.87225246378779e-140	-0.14188873576347	0.14188873576347
Left paracentral	cortical	cortical thickness	32272	1.03686172806497e-143	3.4838554062983e-143	0.143587149404718		4.65509347647299e-120	1.30342617341244e-119	-0.131556560256893	0.131556560256893		1.53860811057691e-124	5.87468551311184e-124	-0.133922459618462	0.133922459618462		1.03686172806497e-143	3.4838554062983e-143	-0.143587149404718	0.143587149404718
Right pallidum	subcortical	volume	32272	1.55799251822227e-143	8.72475810204471e-143	0.143501193208028		9.19051101859892e-24	1.1876968085574e-23	-0.0608628594904859	0.0608628594904859		1.55799251822227e-143	8.72475810204471e-143	-0.143501193208028	0.143501193208028		4.04095818608495e-91	8.4860121907784e-91	-0.115072919989058	0.115072919989058
Left superiorparietal	cortical	cortical thickness	32272	3.46603052306294e-142	1.16458625574915e-141	0.142843347092402		3.46603052306294e-142	1.16458625574915e-141	-0.142843347092402	0.142843347092402		1.68021694164178e-92	4.86683527923826e-92	-0.115915508370013	0.115915508370013		2.23689272637051e-137	6.95922181537492e-137	-0.140470411120764	0.140470411120764
Right paracentral	cortical	cortical thickness	32272	5.30178324088628e-134	1.53568893873947e-133	0.13877992593722		1.43632707021763e-114	3.54857276171415e-114	-0.128597227702416	0.128597227702416		5.73737521158644e-115	2.00808132405525e-114	-0.128815059263878	0.128815059263878		5.30178324088628e-134	1.53568893873947e-133	-0.13877992593722	0.13877992593722
Right putamen	subcortical	volume	32272	2.58437321570657e-131	7.2362450039784e-131	0.137418086367386		1.68409654347643e-113	4.04183170434343e-113	-0.12801283977658	0.12801283977658		3.32775232483306e-101	1.07511998186914e-100	-0.121081023474287	0.121081023474287		2.58437321570657e-131	7.2362450039784e-131	-0.137418086367386	0.137418086367386
Right parstriangularis	cortical	cortical thickness	32272	1.18172684606545e-123	3.67648352109251e-123	0.133458126960682		1.18172684606545e-123	3.67648352109251e-123	-0.133458126960682	0.133458126960682		1.52925708454233e-84	3.77816456181046e-84	-0.11097467736876	0.11097467736876		3.46067461391597e-121	9.08427086152942e-121	-0.132156700423731	0.132156700423731
Left parsopercularis	cortical	cortical thickness	32272	1.11084395980722e-121	3.01002879431634e-121	0.132418098460679		1.88013805691874e-120	5.44591713038532e-120	-0.131766233305193	0.131766233305193		8.02075450228496e-90	2.17336573610302e-89	-0.114276947186122	0.114276947186122		1.11084395980722e-121	3.01002879431634e-121	-0.132418098460679	0.132418098460679
